Timestamp,Temperature (deg C),Relative Humidity (%),Wind Speed (km/h),Rain (mm),Snowfall (cm),Cloud Cover (%)
2022-01-01T00:00,-9.6,89,12.9,0.0,0.14,100
2022-01-01T01:00,-10.1,89,12.1,0.0,0.21,100
2022-01-01T02:00,-10.6,89,10.8,0.0,0.28,100
2022-01-01T03:00,-10.9,89,10.5,0.0,0.28,100
2022-01-01T04:00,-11.4,89,9.9,0.0,0.21,100
2022-01-01T05:00,-12.0,89,9.5,0.0,0.14,100
2022-01-01T06:00,-12.5,89,9.4,0.0,0.14,100
2022-01-01T07:00,-14.8,86,8.2,0.0,0.14,100
2022-01-01T08:00,-15.6,85,4.5,0.0,0.07,100
2022-01-01T09:00,-15.6,85,2.8,0.0,0.14,100
2022-01-01T10:00,-15.5,85,5.1,0.0,0.14,100
2022-01-01T11:00,-15.2,85,5.7,0.0,0.14,100
2022-01-01T12:00,-14.8,85,4.5,0.0,0.07,100
2022-01-01T13:00,-14.6,87,5.4,0.0,0.07,100
2022-01-01T14:00,-14.1,86,2.7,0.0,0.0,100
2022-01-01T15:00,-13.7,81,3.3,0.0,0.0,100
2022-01-01T16:00,-12.9,81,3.8,0.0,0.0,88
2022-01-01T17:00,-13.1,80,5.6,0.0,0.0,43
2022-01-01T18:00,-14.2,85,7.1,0.0,0.0,34
2022-01-01T19:00,-13.4,85,4.8,0.0,0.0,43
2022-01-01T20:00,-12.4,78,5.9,0.0,0.0,23
2022-01-01T21:00,-12.1,83,3.1,0.0,0.0,11
2022-01-01T22:00,-12.6,94,2.7,0.0,0.0,35
2022-01-01T23:00,-12.3,91,1.6,0.0,0.0,89
2022-01-02T00:00,-11.9,92,3.3,0.0,0.0,88
2022-01-02T01:00,-11.3,85,6.2,0.0,0.0,75
2022-01-02T02:00,-10.6,69,9.4,0.0,0.0,59
2022-01-02T03:00,-10.6,62,7.2,0.0,0.0,42
2022-01-02T04:00,-10.2,61,5.4,0.0,0.0,17
2022-01-02T05:00,-9.7,64,3.9,0.0,0.0,13
2022-01-02T06:00,-9.3,68,2.8,0.0,0.0,10
2022-01-02T07:00,-11.9,55,15.9,0.0,0.0,0
2022-01-02T08:00,-9.2,49,10.7,0.0,0.0,0
2022-01-02T09:00,-12.2,56,14.3,0.0,0.0,0
2022-01-02T10:00,-4.6,42,6.0,0.0,0.0,0
2022-01-02T11:00,-3.8,42,4.7,0.0,0.0,0
2022-01-02T12:00,-1.8,39,4.3,0.0,0.0,0
2022-01-02T13:00,0.8,35,2.4,0.0,0.0,0
2022-01-02T14:00,2.4,33,2.5,0.0,0.0,0
2022-01-02T15:00,0.8,58,4.9,0.0,0.0,0
2022-01-02T16:00,0.8,55,6.1,0.0,0.0,0
2022-01-02T17:00,3.8,31,4.0,0.0,0.0,0
2022-01-02T18:00,3.0,33,1.1,0.0,0.0,0
2022-01-02T19:00,3.6,32,6.6,0.0,0.0,8
2022-01-02T20:00,-5.0,51,5.2,0.0,0.0,10
2022-01-02T21:00,-7.0,66,2.9,0.0,0.0,12
2022-01-02T22:00,-7.5,68,1.4,0.0,0.0,18
2022-01-02T23:00,-9.0,74,4.4,0.0,0.0,11
2022-01-03T00:00,-8.7,65,4.6,0.0,0.0,16
2022-01-03T01:00,-6.9,50,7.4,0.0,0.0,16
2022-01-03T02:00,-0.6,33,6.2,0.0,0.0,21
2022-01-03T03:00,-0.3,32,6.3,0.0,0.0,29
2022-01-03T04:00,-0.5,32,9.1,0.0,0.0,25
2022-01-03T05:00,-10.1,51,13.3,0.0,0.0,22
2022-01-03T06:00,-10.0,54,14.5,0.0,0.0,26
2022-01-03T07:00,-7.4,50,14.1,0.0,0.0,29
2022-01-03T08:00,-3.8,38,11.8,0.0,0.0,30
2022-01-03T09:00,-1.5,32,4.6,0.0,0.0,37
2022-01-03T10:00,-0.8,30,6.7,0.0,0.0,30
2022-01-03T11:00,1.4,29,10.2,0.0,0.0,30
2022-01-03T12:00,-1.7,51,11.9,0.0,0.0,30
2022-01-03T13:00,3.2,41,7.6,0.0,0.0,30
2022-01-03T14:00,7.3,26,1.8,0.0,0.0,30
2022-01-03T15:00,7.9,25,1.1,0.0,0.0,29
2022-01-03T16:00,8.1,26,2.9,0.0,0.0,30
2022-01-03T17:00,7.1,30,8.2,0.0,0.0,28
2022-01-03T18:00,2.0,44,8.0,0.0,0.0,30
2022-01-03T19:00,1.0,45,9.2,0.0,0.0,22
2022-01-03T20:00,-1.5,56,9.4,0.0,0.0,28
2022-01-03T21:00,-2.4,55,11.2,0.0,0.0,29
2022-01-03T22:00,-2.4,55,10.5,0.0,0.0,31
2022-01-03T23:00,-3.2,51,7.3,0.0,0.0,37
2022-01-04T00:00,4.2,24,7.6,0.0,0.0,45
2022-01-04T01:00,3.4,25,5.0,0.0,0.0,50
2022-01-04T02:00,-4.2,44,9.6,0.0,0.0,54
2022-01-04T03:00,1.0,41,18.8,0.0,0.0,56
2022-01-04T04:00,2.8,38,22.7,0.0,0.0,48
2022-01-04T05:00,3.0,37,13.0,0.0,0.0,44
2022-01-04T06:00,6.4,20,5.2,0.0,0.0,15
2022-01-04T07:00,6.8,18,11.9,0.0,0.0,26
2022-01-04T08:00,1.3,27,10.1,0.0,0.0,23
2022-01-04T09:00,0.4,33,12.0,0.0,0.0,29
2022-01-04T10:00,-0.3,36,10.6,0.0,0.0,86
2022-01-04T11:00,3.6,31,12.0,0.0,0.0,69
2022-01-04T12:00,5.2,31,16.8,0.0,0.0,88
2022-01-04T13:00,5.5,32,21.1,0.0,0.0,100
2022-01-04T14:00,5.3,35,22.9,0.0,0.0,100
2022-01-04T15:00,5.2,37,19.1,0.0,0.0,100
2022-01-04T16:00,5.6,34,20.1,0.0,0.0,100
2022-01-04T17:00,5.0,36,18.7,0.0,0.0,100
2022-01-04T18:00,3.5,43,10.8,0.0,0.0,100
2022-01-04T19:00,1.4,61,9.7,0.0,0.0,100
2022-01-04T20:00,0.8,67,7.3,0.0,0.0,100
2022-01-04T21:00,0.5,68,7.2,0.0,0.14,100
2022-01-04T22:00,0.4,69,7.3,0.0,0.07,100
2022-01-04T23:00,-0.6,76,4.3,0.0,0.14,100
2022-01-05T00:00,0.1,67,4.4,0.0,0.0,100
2022-01-05T01:00,-2.4,79,9.4,0.0,0.0,100
2022-01-05T02:00,-4.7,87,15.5,0.0,0.0,100
2022-01-05T03:00,-6.0,85,11.3,0.0,0.0,100
2022-01-05T04:00,-7.4,88,10.6,0.0,0.0,100
2022-01-05T05:00,-7.8,89,6.0,0.0,0.0,100
2022-01-05T06:00,-8.3,90,4.3,0.0,0.0,100
2022-01-05T07:00,-7.7,86,5.4,0.0,0.0,100
