Timestamp,Temperature (deg C),Relative Humidity (%),Wind Speed (km/h),Rain (mm),Snowfall (cm),Cloud Cover (%)
2022-01-01T00:00,5.1,89,8.2,0.0,0.0,0
2022-01-01T01:00,4.9,91,8.1,0.0,0.0,0
2022-01-01T02:00,4.6,92,8.9,0.0,0.0,0
2022-01-01T03:00,4.1,89,10.7,0.0,0.0,0
2022-01-01T04:00,3.9,82,10.9,0.0,0.0,0
2022-01-01T05:00,3.8,78,11.0,0.0,0.0,0
2022-01-01T06:00,3.6,75,11.5,0.0,0.0,8
2022-01-01T07:00,2.8,80,10.2,0.0,0.0,15
2022-01-01T08:00,2.3,80,11.2,0.0,0.0,19
2022-01-01T09:00,0.4,88,10.0,0.0,0.0,29
2022-01-01T10:00,2.8,77,2.9,0.0,0.0,9
2022-01-01T11:00,2.1,83,5.4,0.0,0.0,8
2022-01-01T12:00,4.4,70,6.2,0.0,0.0,14
2022-01-01T13:00,5.7,60,5.2,0.0,0.0,2
2022-01-01T14:00,6.9,56,2.9,0.0,0.0,0
2022-01-01T15:00,7.8,54,1.5,0.0,0.0,2
2022-01-01T16:00,8.6,53,0.5,0.0,0.0,2
2022-01-01T17:00,9.0,52,1.9,0.0,0.0,12
2022-01-01T18:00,9.1,52,2.1,0.0,0.0,14
2022-01-01T19:00,8.7,66,3.1,0.0,0.0,5
2022-01-01T20:00,6.7,68,5.0,0.0,0.0,2
2022-01-01T21:00,6.7,67,3.8,0.0,0.0,0
2022-01-01T22:00,3.2,85,7.8,0.0,0.0,0
2022-01-01T23:00,2.9,84,7.2,0.0,0.0,0
2022-01-02T00:00,2.4,85,6.8,0.0,0.0,0
2022-01-02T01:00,1.5,87,7.8,0.0,0.0,0
2022-01-02T02:00,1.3,89,7.4,0.0,0.0,0
2022-01-02T03:00,0.5,91,9.1,0.0,0.0,0
2022-01-02T04:00,0.4,91,8.8,0.0,0.0,0
2022-01-02T05:00,-0.0,94,8.3,0.0,0.0,0
2022-01-02T06:00,0.3,94,6.8,0.0,0.0,0
2022-01-02T07:00,0.6,97,5.5,0.0,0.0,0
2022-01-02T08:00,-1.1,97,8.1,0.0,0.0,0
2022-01-02T09:00,-0.9,99,6.5,0.0,0.0,0
2022-01-02T10:00,-1.1,100,4.7,0.0,0.0,90
2022-01-02T11:00,0.3,100,6.2,0.0,0.0,90
2022-01-02T12:00,1.6,98,4.3,0.0,0.0,90
2022-01-02T13:00,3.8,87,5.8,0.0,0.0,58
2022-01-02T14:00,6.1,81,5.5,0.0,0.0,22
2022-01-02T15:00,8.1,76,6.0,0.0,0.0,10
2022-01-02T16:00,9.5,72,6.3,0.0,0.0,1
2022-01-02T17:00,10.4,69,5.8,0.0,0.0,0
2022-01-02T18:00,10.8,68,5.3,0.0,0.0,8
2022-01-02T19:00,10.2,73,0.5,0.0,0.0,30
2022-01-02T20:00,6.3,88,5.0,0.0,0.0,30
2022-01-02T21:00,4.4,95,8.2,0.0,0.0,30
2022-01-02T22:00,4.8,94,4.9,0.0,0.0,32
2022-01-02T23:00,4.3,95,4.1,0.0,0.0,32
2022-01-03T00:00,5.2,94,1.8,0.0,0.0,31
2022-01-03T01:00,3.7,98,4.0,0.0,0.0,31
2022-01-03T02:00,3.9,98,3.5,0.0,0.0,27
2022-01-03T03:00,2.3,99,4.2,0.0,0.0,25
2022-01-03T04:00,3.0,98,6.2,0.0,0.0,1
2022-01-03T05:00,3.2,97,7.4,0.0,0.0,18
2022-01-03T06:00,2.9,97,8.2,0.0,0.0,20
2022-01-03T07:00,2.6,95,4.7,0.0,0.0,55
2022-01-03T08:00,2.8,94,5.4,0.0,0.0,58
2022-01-03T09:00,2.4,96,6.8,0.0,0.0,42
2022-01-03T10:00,2.1,98,8.0,0.0,0.0,35
2022-01-03T11:00,2.4,97,9.1,0.0,0.0,35
2022-01-03T12:00,4.0,93,8.0,0.0,0.0,60
2022-01-03T13:00,6.2,86,7.8,0.0,0.0,56
2022-01-03T14:00,8.5,81,8.9,0.0,0.0,74
2022-01-03T15:00,10.4,77,9.4,0.0,0.0,85
2022-01-03T16:00,11.6,74,11.1,0.0,0.0,76
2022-01-03T17:00,12.1,73,14.1,0.0,0.0,68
2022-01-03T18:00,12.2,73,13.7,0.0,0.0,57
2022-01-03T19:00,11.1,78,16.5,0.0,0.0,100
2022-01-03T20:00,10.9,78,17.2,0.0,0.0,100
2022-01-03T21:00,11.0,75,18.2,0.0,0.0,100
2022-01-03T22:00,11.0,77,16.4,0.0,0.0,100
2022-01-03T23:00,10.5,83,14.3,0.8,0.0,100
2022-01-04T00:00,9.8,86,13.1,3.5,0.0,100
2022-01-04T01:00,9.4,90,9.7,0.9,0.0,100
2022-01-04T02:00,9.0,93,9.9,0.0,0.0,100
2022-01-04T03:00,8.9,93,12.1,0.0,0.0,100
2022-01-04T04:00,8.5,93,11.7,0.0,0.0,100
2022-01-04T05:00,8.1,94,10.2,0.0,0.0,100
2022-01-04T06:00,7.5,95,10.7,0.0,0.0,100
2022-01-04T07:00,8.0,91,10.2,0.0,0.0,100
2022-01-04T08:00,7.7,91,9.7,0.0,0.0,100
2022-01-04T09:00,7.6,90,9.4,0.0,0.0,100
2022-01-04T10:00,7.2,91,7.4,0.0,0.0,100
2022-01-04T11:00,7.6,89,7.3,0.0,0.0,100
2022-01-04T12:00,8.0,90,8.0,0.0,0.0,100
2022-01-04T13:00,8.8,88,8.1,0.0,0.0,75
2022-01-04T14:00,9.7,87,6.4,0.0,0.0,100
2022-01-04T15:00,10.9,86,4.6,0.0,0.0,100
2022-01-04T16:00,11.8,84,4.9,0.0,0.0,100
2022-01-04T17:00,12.0,87,4.6,0.0,0.0,100
2022-01-04T18:00,12.4,87,3.5,0.0,0.0,100
2022-01-04T19:00,12.7,91,3.4,0.0,0.0,69
2022-01-04T20:00,9.8,94,6.2,0.0,0.0,100
2022-01-04T21:00,8.7,96,6.5,0.0,0.0,100
2022-01-04T22:00,9.1,96,5.0,0.0,0.0,96
2022-01-04T23:00,10.3,93,2.5,0.0,0.0,90
2022-01-05T00:00,7.6,99,8.1,0.0,0.0,5
2022-01-05T01:00,9.1,97,5.8,0.0,0.0,12
2022-01-05T02:00,8.9,96,5.6,0.0,0.0,17
2022-01-05T03:00,6.5,99,7.2,0.0,0.0,9
2022-01-05T04:00,5.7,100,8.9,0.0,0.0,100
2022-01-05T05:00,6.2,100,8.3,0.0,0.0,100
2022-01-05T06:00,6.8,100,6.8,0.0,0.0,100
2022-01-05T07:00,7.6,100,4.7,0.0,0.0,100
2022-01-05T08:00,7.7,100,5.4,0.0,0.0,100
2022-01-05T09:00,8.8,99,8.0,0.0,0.0,100
2022-01-05T10:00,8.8,100,5.6,0.0,0.0,100
2022-01-05T11:00,8.9,100,3.2,0.0,0.0,100
2022-01-05T12:00,9.7,97,0.4,0.0,0.0,100
2022-01-05T13:00,10.9,94,3.0,0.0,0.0,100
2022-01-05T14:00,12.6,88,6.5,0.0,0.0,100
2022-01-05T15:00,13.7,85,9.1,0.0,0.0,100
2022-01-05T16:00,14.3,83,11.7,0.0,0.0,92
2022-01-05T17:00,14.5,82,11.3,0.0,0.0,90
2022-01-05T18:00,14.5,82,11.1,0.0,0.0,94
2022-01-05T19:00,14.4,85,5.6,0.0,0.0,100
2022-01-05T20:00,13.1,91,4.7,0.0,0.0,100
2022-01-05T21:00,11.6,95,4.9,0.0,0.0,100
2022-01-05T22:00,11.2,96,6.4,0.0,0.0,100
2022-01-05T23:00,10.7,98,5.8,0.0,0.0,100
2022-01-06T00:00,10.0,98,6.3,0.0,0.0,64
2022-01-06T01:00,8.8,99,5.2,0.0,0.0,34
2022-01-06T02:00,7.4,100,7.1,0.0,0.0,23
2022-01-06T03:00,7.2,100,6.6,0.0,0.0,90
2022-01-06T04:00,7.5,100,3.8,0.0,0.0,90
2022-01-06T05:00,6.9,100,3.3,0.0,0.0,90
2022-01-06T06:00,7.0,99,2.4,0.0,0.0,90
2022-01-06T07:00,7.8,100,2.7,0.0,0.0,92
2022-01-06T08:00,8.3,99,3.8,0.0,0.0,90
2022-01-06T09:00,8.4,100,3.4,0.0,0.0,90
2022-01-06T10:00,8.5,100,2.5,0.0,0.0,90
2022-01-06T11:00,8.6,100,1.0,0.0,0.0,90
2022-01-06T12:00,9.4,98,1.3,0.0,0.0,90
2022-01-06T13:00,10.7,91,2.3,0.0,0.0,90
2022-01-06T14:00,11.5,88,2.3,0.0,0.0,90
2022-01-06T15:00,12.2,85,1.8,0.0,0.0,90
2022-01-06T16:00,12.7,83,2.9,0.0,0.0,90
2022-01-06T17:00,13.1,82,4.0,0.0,0.0,90
2022-01-06T18:00,13.1,82,3.4,0.0,0.0,90
2022-01-06T19:00,12.2,84,1.9,0.0,0.0,90
2022-01-06T20:00,11.0,90,4.7,0.0,0.0,88
2022-01-06T21:00,10.0,95,4.6,0.0,0.0,28
2022-01-06T22:00,9.3,96,3.9,0.0,0.0,90
2022-01-06T23:00,9.1,96,5.4,0.0,0.0,90
2022-01-07T00:00,10.0,94,4.7,0.0,0.0,90
2022-01-07T01:00,10.2,93,7.6,0.0,0.0,90
2022-01-07T02:00,10.6,91,8.0,0.0,0.0,84
2022-01-07T03:00,10.1,94,4.9,0.0,0.0,43
2022-01-07T04:00,8.9,96,6.6,0.0,0.0,53
2022-01-07T05:00,9.1,96,6.5,0.0,0.0,96
2022-01-07T06:00,8.1,97,4.6,0.0,0.0,60
