Timestamp,Temperature (deg C),Relative Humidity (%),Wind Speed (km/h),Rain (mm),Snowfall (cm),Cloud Cover (%)
2022-01-01T00:00,-22.0,69,17.9,0.0,0.0,100
2022-01-01T01:00,-22.2,72,17.6,0.0,0.0,100
2022-01-01T02:00,-22.6,71,16.6,0.0,0.0,100
2022-01-01T03:00,-22.8,70,16.9,0.0,0.0,100
2022-01-01T04:00,-23.1,70,16.3,0.0,0.0,100
2022-01-01T05:00,-23.3,68,16.9,0.0,0.0,100
2022-01-01T06:00,-23.5,69,12.8,0.0,0.0,100
2022-01-01T07:00,-23.7,65,13.0,0.0,0.0,90
2022-01-01T08:00,-24.0,65,13.4,0.0,0.0,61
2022-01-01T09:00,-24.1,64,10.2,0.0,0.0,55
2022-01-01T10:00,-23.7,66,13.2,0.0,0.0,58
2022-01-01T11:00,-22.8,66,11.4,0.0,0.0,100
2022-01-01T12:00,-22.0,66,13.2,0.0,0.0,97
2022-01-01T13:00,-21.2,68,13.6,0.0,0.0,86
2022-01-01T14:00,-20.7,68,14.7,0.0,0.0,66
2022-01-01T15:00,-20.2,69,15.3,0.0,0.0,68
2022-01-01T16:00,-19.7,69,13.1,0.0,0.0,35
2022-01-01T17:00,-19.8,70,12.6,0.0,0.0,41
2022-01-01T18:00,-20.9,73,8.7,0.0,0.0,47
2022-01-01T19:00,-22.0,77,7.0,0.0,0.0,78
2022-01-01T20:00,-23.7,80,9.6,0.0,0.0,68
2022-01-01T21:00,-24.6,82,10.5,0.0,0.0,69
2022-01-01T22:00,-21.4,79,8.6,0.0,0.0,68
2022-01-01T23:00,-24.8,87,10.4,0.0,0.0,61
2022-01-02T00:00,-25.3,89,11.3,0.0,0.0,32
2022-01-02T01:00,-23.0,84,10.8,0.0,0.0,49
2022-01-02T02:00,-20.9,77,10.3,0.0,0.0,49
2022-01-02T03:00,-20.6,77,8.4,0.0,0.0,58
2022-01-02T04:00,-20.2,76,7.0,0.0,0.0,69
2022-01-02T05:00,-20.0,78,6.9,0.0,0.0,85
2022-01-02T06:00,-20.3,81,9.5,0.0,0.0,69
2022-01-02T07:00,-24.1,78,12.0,0.0,0.0,16
2022-01-02T08:00,-23.8,81,11.0,0.0,0.0,32
2022-01-02T09:00,-24.8,84,12.0,0.0,0.0,2
2022-01-02T10:00,-25.1,82,14.6,0.0,0.0,1
2022-01-02T11:00,-22.0,72,9.0,0.0,0.0,0
2022-01-02T12:00,-17.4,63,7.6,0.0,0.0,0
2022-01-02T13:00,-14.9,60,9.0,0.0,0.0,0
2022-01-02T14:00,-12.8,58,10.8,0.0,0.0,0
2022-01-02T15:00,-11.3,57,10.8,0.0,0.0,0
2022-01-02T16:00,-10.5,57,8.3,0.0,0.0,0
2022-01-02T17:00,-10.9,60,8.7,0.0,0.0,0
2022-01-02T18:00,-12.2,62,9.5,0.0,0.0,0
2022-01-02T19:00,-11.2,61,12.5,0.0,0.0,4
2022-01-02T20:00,-10.8,60,13.5,0.0,0.0,0
2022-01-02T21:00,-10.7,60,14.7,0.0,0.0,0
2022-01-02T22:00,-10.4,61,14.6,0.0,0.0,0
2022-01-02T23:00,-10.1,61,15.4,0.0,0.0,0
2022-01-03T00:00,-9.6,61,14.2,0.0,0.0,0
2022-01-03T01:00,-9.4,62,13.2,0.0,0.0,1
2022-01-03T02:00,-9.2,64,12.5,0.0,0.0,0
2022-01-03T03:00,-8.9,66,10.7,0.0,0.0,0
2022-01-03T04:00,-9.2,72,8.9,0.0,0.0,0
2022-01-03T05:00,-10.1,74,11.6,0.0,0.0,0
2022-01-03T06:00,-10.1,76,10.2,0.0,0.0,0
2022-01-03T07:00,-12.6,81,11.3,0.0,0.0,22
