Timestamp,Temperature (deg C),Relative Humidity (%),Wind Speed (km/h),Rain (mm),Snowfall (cm),Cloud Cover (%)
2022-01-01T00:00,9.8,91,19.8,0.0,0.0,100
2022-01-01T01:00,10.8,95,22.9,0.0,0.0,48
2022-01-01T02:00,10.8,94,23.4,0.1,0.0,100
2022-01-01T03:00,10.8,98,24.1,1.1,0.0,100
2022-01-01T04:00,10.8,98,21.6,0.8,0.0,100
2022-01-01T05:00,10.7,98,18.2,1.4,0.0,100
2022-01-01T06:00,10.5,98,14.9,1.0,0.0,100
2022-01-01T07:00,10.2,96,18.3,1.2,0.0,100
2022-01-01T08:00,10.2,99,12.9,2.6,0.0,100
2022-01-01T09:00,10.4,99,10.4,2.7,0.0,100
2022-01-01T10:00,10.6,99,7.1,2.8,0.0,100
2022-01-01T11:00,11.5,99,3.8,1.9,0.0,98
2022-01-01T12:00,11.4,98,6.8,0.6,0.0,100
2022-01-01T13:00,11.9,99,4.6,0.6,0.0,100
2022-01-01T14:00,11.6,99,8.0,0.2,0.0,100
2022-01-01T15:00,12.4,100,8.3,1.1,0.0,100
2022-01-01T16:00,12.5,99,13.9,1.3,0.0,97
2022-01-01T17:00,13.0,98,22.0,1.3,0.0,100
2022-01-01T18:00,13.1,99,17.6,1.8,0.0,100
2022-01-01T19:00,12.8,96,14.8,3.7,0.0,100
2022-01-01T20:00,9.7,97,9.0,4.7,0.0,100
2022-01-01T21:00,9.2,97,11.5,2.2,0.0,100
2022-01-01T22:00,9.2,96,17.6,0.9,0.0,91
2022-01-01T23:00,9.1,97,17.3,1.7,0.0,84
2022-01-02T00:00,9.0,97,19.2,1.8,0.0,100
2022-01-02T01:00,9.0,96,18.8,0.8,0.0,94
2022-01-02T02:00,8.8,97,17.0,2.4,0.0,100
2022-01-02T03:00,8.6,97,16.3,1.3,0.0,100
2022-01-02T04:00,8.9,92,17.6,1.2,0.0,90
2022-01-02T05:00,8.5,95,23.5,0.0,0.0,100
2022-01-02T06:00,8.5,98,23.1,0.0,0.0,100
2022-01-02T07:00,9.5,96,24.9,0.0,0.0,100
2022-01-02T08:00,9.1,99,23.0,0.1,0.0,100
2022-01-02T09:00,9.1,99,20.5,0.3,0.0,100
2022-01-02T10:00,8.6,98,22.0,1.2,0.0,100
2022-01-02T11:00,8.1,96,21.3,0.3,0.0,100
2022-01-02T12:00,8.0,96,21.7,0.3,0.0,100
2022-01-02T13:00,7.3,98,19.6,0.3,0.0,100
2022-01-02T14:00,6.1,99,18.2,0.3,0.0,100
2022-01-02T15:00,4.8,99,19.4,0.7,0.0,100
2022-01-02T16:00,3.2,99,21.3,0.4,0.0,100
2022-01-02T17:00,1.7,100,18.0,0.3,0.28,100
2022-01-02T18:00,0.7,96,19.1,0.1,0.21,100
2022-01-02T19:00,0.7,98,16.9,0.0,0.14,100
2022-01-02T20:00,-0.4,97,15.9,0.0,0.0,100
2022-01-02T21:00,-1.3,97,16.0,0.0,0.07,100
2022-01-02T22:00,-2.2,97,15.1,0.0,0.07,100
2022-01-02T23:00,-2.7,97,12.0,0.0,0.0,100
2022-01-03T00:00,-3.4,95,11.9,0.0,0.07,100
2022-01-03T01:00,-3.8,95,12.0,0.0,0.07,100
2022-01-03T02:00,-4.0,93,9.8,0.0,0.21,100
2022-01-03T03:00,-3.9,92,8.0,0.0,0.14,100
2022-01-03T04:00,-3.7,91,8.0,0.0,0.14,96
2022-01-03T05:00,-4.1,89,10.8,0.0,0.14,100
2022-01-03T06:00,-5.0,87,14.5,0.0,0.28,100
2022-01-03T07:00,-4.8,87,10.0,0.0,0.21,100
2022-01-03T08:00,-5.0,85,9.2,0.0,0.14,97
2022-01-03T09:00,-5.8,83,16.2,0.0,0.21,92
2022-01-03T10:00,-5.6,78,14.5,0.0,0.07,90
2022-01-03T11:00,-5.8,78,14.6,0.0,0.0,99
2022-01-03T12:00,-5.7,72,16.8,0.0,0.0,62
2022-01-03T13:00,-4.7,60,20.0,0.0,0.0,23
2022-01-03T14:00,-4.8,63,22.6,0.0,0.0,4
2022-01-03T15:00,-4.9,56,24.7,0.0,0.0,0
2022-01-03T16:00,-5.7,59,23.8,0.0,0.0,0
2022-01-03T17:00,-7.1,66,23.5,0.0,0.0,0
2022-01-03T18:00,-7.9,70,25.3,0.0,0.0,0
2022-01-03T19:00,-9.3,81,22.9,0.0,0.0,15
2022-01-03T20:00,-9.6,85,24.1,0.0,0.0,48
2022-01-03T21:00,-9.6,86,25.2,0.0,0.0,87
2022-01-03T22:00,-9.2,84,26.2,0.0,0.0,90
2022-01-03T23:00,-9.0,84,26.0,0.0,0.0,89
2022-01-04T00:00,-9.0,87,24.0,0.0,0.0,90
2022-01-04T01:00,-8.7,89,20.8,0.0,0.0,90
2022-01-04T02:00,-8.4,86,16.2,0.0,0.0,81
2022-01-04T03:00,-7.9,81,15.0,0.0,0.0,52
2022-01-04T04:00,-7.9,80,16.9,0.0,0.0,36
2022-01-04T05:00,-7.0,62,13.0,0.0,0.0,20
2022-01-04T06:00,-6.6,56,8.9,0.0,0.0,26
2022-01-04T07:00,-7.1,59,5.4,0.0,0.0,30
2022-01-04T08:00,-6.2,57,4.7,0.0,0.0,19
2022-01-04T09:00,-1.9,41,4.1,0.0,0.0,4
2022-01-04T10:00,2.2,31,6.0,0.0,0.0,2
2022-01-04T11:00,2.9,32,9.6,0.0,0.0,3
2022-01-04T12:00,3.1,32,10.8,0.0,0.0,10
2022-01-04T13:00,3.6,35,11.3,0.0,0.0,8
2022-01-04T14:00,3.5,50,12.4,0.0,0.0,7
2022-01-04T15:00,3.1,51,12.6,0.0,0.0,2
2022-01-04T16:00,1.6,57,10.5,0.0,0.0,24
2022-01-04T17:00,-1.4,61,10.4,0.0,0.0,30
2022-01-04T18:00,-2.8,60,11.6,0.0,0.0,28
2022-01-04T19:00,-3.2,52,13.6,0.0,0.0,7
2022-01-04T20:00,-3.5,52,12.9,0.0,0.0,0
2022-01-04T21:00,-4.2,57,10.0,0.0,0.0,28
2022-01-04T22:00,-4.3,59,9.9,0.0,0.0,30
2022-01-04T23:00,-4.1,60,11.7,0.0,0.0,30
2022-01-05T00:00,-3.6,57,13.6,0.0,0.0,30
2022-01-05T01:00,-3.0,53,14.1,0.0,0.0,30
2022-01-05T02:00,-2.0,48,15.0,0.0,0.0,30
2022-01-05T03:00,-1.6,52,15.5,0.0,0.0,30
2022-01-05T04:00,-1.2,57,14.7,0.0,0.0,34
2022-01-05T05:00,-0.7,56,15.6,0.0,0.0,30
2022-01-05T06:00,0.4,52,19.1,0.0,0.0,52
2022-01-05T07:00,1.0,53,21.6,0.0,0.0,69
2022-01-05T08:00,1.1,56,20.4,0.0,0.0,63
2022-01-05T09:00,1.7,56,21.1,0.0,0.0,59
2022-01-05T10:00,2.3,57,18.7,0.0,0.0,90
2022-01-05T11:00,2.8,58,22.5,0.0,0.0,88
2022-01-05T12:00,3.1,65,26.0,0.0,0.0,82
2022-01-05T13:00,3.7,64,28.8,0.0,0.0,47
2022-01-05T14:00,4.3,62,25.1,0.0,0.0,10
2022-01-05T15:00,4.7,63,24.6,0.0,0.0,7
2022-01-05T16:00,4.5,61,24.6,0.0,0.0,9
2022-01-05T17:00,3.3,67,24.5,0.0,0.0,54
2022-01-05T18:00,2.8,76,24.0,0.0,0.0,84
2022-01-05T19:00,2.8,70,22.9,0.0,0.0,18
2022-01-05T20:00,2.9,70,27.2,0.0,0.0,38
2022-01-05T21:00,2.7,71,31.0,0.0,0.0,53
