Timestamp,Temperature (deg C),Relative Humidity (%),Wind Speed (km/h),Rain (mm),Snowfall (cm),Cloud Cover (%)
2022-01-01T00:00,10.8,52,13.6,0.0,0.0,60
2022-01-01T01:00,10.1,55,11.7,0.0,0.0,60
2022-01-01T02:00,10.0,57,10.8,0.0,0.0,60
2022-01-01T03:00,9.4,61,8.0,0.0,0.0,60
2022-01-01T04:00,8.6,64,7.8,0.0,0.0,60
2022-01-01T05:00,7.9,67,9.1,0.0,0.0,60
2022-01-01T06:00,7.4,68,9.5,0.0,0.0,52
2022-01-01T07:00,5.7,76,6.0,0.0,0.0,59
2022-01-01T08:00,5.7,75,7.2,0.0,0.0,20
2022-01-01T09:00,3.1,88,6.3,0.0,0.0,1
2022-01-01T10:00,2.0,90,6.6,0.0,0.0,0
2022-01-01T11:00,1.4,91,6.8,0.0,0.0,0
2022-01-01T12:00,1.1,92,7.1,0.0,0.0,0
2022-01-01T13:00,1.0,91,7.7,0.0,0.0,0
2022-01-01T14:00,0.8,91,8.0,0.0,0.0,0
2022-01-01T15:00,0.6,90,8.4,0.0,0.0,0
2022-01-01T16:00,0.4,89,7.6,0.0,0.0,0
2022-01-01T17:00,0.0,88,7.5,0.0,0.0,0
2022-01-01T18:00,-0.3,89,7.1,0.0,0.0,0
2022-01-01T19:00,1.2,86,9.4,0.0,0.0,0
2022-01-01T20:00,3.6,78,6.6,0.0,0.0,3
2022-01-01T21:00,6.5,68,7.2,0.0,0.0,0
2022-01-01T22:00,8.8,59,9.7,0.0,0.0,0
2022-01-01T23:00,10.0,53,10.2,0.0,0.0,0
2022-01-02T00:00,10.7,47,9.6,0.0,0.0,2
2022-01-02T01:00,11.1,42,9.3,0.0,0.0,27
2022-01-02T02:00,10.9,43,9.2,0.0,0.0,30
2022-01-02T03:00,10.2,49,9.0,0.0,0.0,29
2022-01-02T04:00,7.4,65,7.8,0.0,0.0,39
2022-01-02T05:00,7.0,66,8.4,0.0,0.0,100
2022-01-02T06:00,6.4,71,12.1,0.0,0.0,63
2022-01-02T07:00,5.5,80,12.8,0.0,0.0,22
2022-01-02T08:00,4.5,87,10.1,0.0,0.0,0
2022-01-02T09:00,3.7,91,9.0,0.0,0.0,43
2022-01-02T10:00,3.3,92,8.1,0.0,0.0,11
2022-01-02T11:00,2.9,92,7.8,0.0,0.0,25
2022-01-02T12:00,2.0,94,6.8,0.0,0.0,22
2022-01-02T13:00,1.4,94,7.9,0.0,0.0,0
2022-01-02T14:00,1.0,93,9.4,0.0,0.0,0
2022-01-02T15:00,1.7,91,8.0,0.0,0.0,0
2022-01-02T16:00,2.8,89,6.5,0.0,0.0,0
