Timestamp,Temperature (deg C),Relative Humidity (%),Wind Speed (km/h),Rain (mm),Snowfall (cm),Cloud Cover (%)
2022-01-01T00:00,-17.8,49,8.9,0.0,0.0,59
2022-01-01T01:00,-17.8,48,9.8,0.0,0.0,75
2022-01-01T02:00,-18.0,49,11.0,0.0,0.0,74
2022-01-01T03:00,-18.0,48,11.9,0.0,0.0,100
2022-01-01T04:00,-18.2,49,9.8,0.0,0.0,100
2022-01-01T05:00,-18.2,48,8.4,0.0,0.0,100
2022-01-01T06:00,-18.3,48,7.9,0.0,0.0,100
2022-01-01T07:00,-19.1,54,2.5,0.0,0.0,100
2022-01-01T08:00,-18.4,52,8.2,0.0,0.0,100
2022-01-01T09:00,-18.2,52,8.9,0.0,0.0,38
2022-01-01T10:00,-18.0,51,9.7,0.0,0.0,62
2022-01-01T11:00,-17.2,48,9.4,0.0,0.0,26
2022-01-01T12:00,-16.2,44,7.6,0.0,0.0,12
2022-01-01T13:00,-15.1,41,7.6,0.0,0.0,0
2022-01-01T14:00,-13.9,38,9.0,0.0,0.0,0
2022-01-01T15:00,-13.0,36,8.6,0.0,0.0,0
2022-01-01T16:00,-12.4,35,8.3,0.0,0.0,0
2022-01-01T17:00,-12.2,35,8.7,0.0,0.0,0
2022-01-01T18:00,-12.6,37,8.4,0.0,0.0,0
2022-01-01T19:00,-16.5,61,7.9,0.0,0.0,0
2022-01-01T20:00,-16.1,58,7.3,0.0,0.0,0
2022-01-01T21:00,-16.4,59,8.6,0.0,0.0,0
2022-01-01T22:00,-16.4,60,7.9,0.0,0.0,0
2022-01-01T23:00,-16.4,61,8.0,0.0,0.0,0
2022-01-02T00:00,-16.3,63,10.6,0.0,0.0,0
2022-01-02T01:00,-15.4,64,13.6,0.0,0.0,0
2022-01-02T02:00,-14.7,60,15.3,0.0,0.0,0
2022-01-02T03:00,-14.0,55,16.1,0.0,0.0,0
2022-01-02T04:00,-13.4,53,15.6,0.0,0.0,0
2022-01-02T05:00,-13.2,54,15.8,0.0,0.0,0
2022-01-02T06:00,-12.9,54,16.9,0.0,0.0,0
2022-01-02T07:00,-12.3,55,18.8,0.0,0.0,0
2022-01-02T08:00,-12.2,55,17.3,0.0,0.0,11
2022-01-02T09:00,-11.6,53,14.7,0.0,0.0,3
2022-01-02T10:00,-10.9,51,15.2,0.0,0.0,8
2022-01-02T11:00,-8.4,44,18.2,0.0,0.0,29
2022-01-02T12:00,-5.6,39,20.1,0.0,0.0,26
2022-01-02T13:00,-2.3,35,14.3,0.0,0.0,29
2022-01-02T14:00,0.5,32,15.6,0.0,0.0,13
2022-01-02T15:00,2.6,30,16.1,0.0,0.0,25
2022-01-02T16:00,3.7,30,14.3,0.0,0.0,27
2022-01-02T17:00,3.8,31,14.7,0.0,0.0,28
2022-01-02T18:00,1.6,37,12.4,0.0,0.0,30
2022-01-02T19:00,-1.3,50,13.5,0.0,0.0,30
2022-01-02T20:00,-1.8,54,17.6,0.0,0.0,20
2022-01-02T21:00,-1.5,52,19.6,0.0,0.0,18
2022-01-02T22:00,-1.3,50,21.0,0.0,0.0,15
2022-01-02T23:00,-2.0,52,21.9,0.0,0.0,33
2022-01-03T00:00,-2.2,51,21.9,0.0,0.0,26
2022-01-03T01:00,-2.3,51,22.4,0.0,0.0,30
2022-01-03T02:00,-1.8,47,25.5,0.0,0.0,21
2022-01-03T03:00,-1.4,45,27.5,0.0,0.0,8
2022-01-03T04:00,-1.8,47,28.2,0.0,0.0,4
2022-01-03T05:00,-2.3,49,28.4,0.0,0.0,21
2022-01-03T06:00,-2.4,49,29.0,0.0,0.0,18
