Timestamp,Temperature (deg C),Relative Humidity (%),Wind Speed (km/h),Rain (mm),Snowfall (cm),Cloud Cover (%)
2022-01-01T00:00,12.1,80,13.4,0.3,0.0,90
2022-01-01T01:00,12.1,81,15.1,0.1,0.0,86
2022-01-01T02:00,12.5,77,13.2,0.0,0.0,15
2022-01-01T03:00,12.5,77,15.6,0.1,0.0,17
2022-01-01T04:00,14.5,66,26.3,0.0,0.0,20
2022-01-01T05:00,12.2,69,26.2,0.1,0.0,16
2022-01-01T06:00,12.6,66,28.9,0.0,0.0,5
2022-01-01T07:00,13.5,60,26.4,0.0,0.0,0
2022-01-01T08:00,12.6,61,22.5,0.0,0.0,0
2022-01-01T09:00,11.3,63,18.4,0.0,0.0,0
2022-01-01T10:00,12.2,58,14.7,0.0,0.0,0
2022-01-01T11:00,14.1,52,13.6,0.0,0.0,0
2022-01-01T12:00,15.6,45,13.4,0.0,0.0,0
2022-01-01T13:00,17.7,39,22.3,0.0,0.0,0
2022-01-01T14:00,19.7,30,25.0,0.0,0.0,0
2022-01-01T15:00,20.0,26,39.2,0.0,0.0,0
2022-01-01T16:00,19.1,30,40.7,0.0,0.0,0
2022-01-01T17:00,19.0,31,40.4,0.0,0.0,5
2022-01-01T18:00,17.8,36,36.1,0.0,0.0,8
2022-01-01T19:00,16.4,36,34.3,0.0,0.0,1
2022-01-01T20:00,14.8,38,30.7,0.0,0.0,4
2022-01-01T21:00,12.5,51,25.2,0.0,0.0,39
2022-01-01T22:00,11.5,54,37.9,0.2,0.0,35
2022-01-01T23:00,10.6,49,33.8,0.1,0.0,21
2022-01-02T00:00,6.3,51,26.3,0.0,0.0,52
2022-01-02T01:00,2.2,59,21.2,0.0,0.0,0
2022-01-02T02:00,0.0,59,19.4,0.0,0.0,12
2022-01-02T03:00,-0.9,60,16.3,0.0,0.0,2
2022-01-02T04:00,-1.1,58,18.5,0.0,0.0,0
2022-01-02T05:00,-1.2,59,14.6,0.0,0.0,0
2022-01-02T06:00,-1.5,59,17.6,0.0,0.0,0
2022-01-02T07:00,-5.0,64,18.8,0.0,0.0,0
2022-01-02T08:00,-5.2,65,14.8,0.0,0.0,0
2022-01-02T09:00,-5.3,66,13.0,0.0,0.0,0
2022-01-02T10:00,-4.3,60,8.9,0.0,0.0,0
2022-01-02T11:00,-2.8,55,6.4,0.0,0.0,0
2022-01-02T12:00,-0.9,51,7.9,0.0,0.0,0
2022-01-02T13:00,1.1,46,6.2,0.0,0.0,0
2022-01-02T14:00,3.0,41,7.9,0.0,0.0,0
2022-01-02T15:00,4.7,36,6.1,0.0,0.0,0
2022-01-02T16:00,5.9,33,5.6,0.0,0.0,0
2022-01-02T17:00,6.6,31,4.2,0.0,0.0,0
2022-01-02T18:00,6.6,31,0.8,0.0,0.0,0
2022-01-02T19:00,4.9,56,3.8,0.0,0.0,0
2022-01-02T20:00,4.4,49,6.8,0.0,0.0,0
2022-01-02T21:00,3.5,45,9.0,0.0,0.0,0
2022-01-02T22:00,2.6,49,9.4,0.0,0.0,0
2022-01-02T23:00,1.8,54,9.3,0.0,0.0,4
2022-01-03T00:00,1.1,56,9.4,0.0,0.0,0
2022-01-03T01:00,0.4,59,9.0,0.0,0.0,0
2022-01-03T02:00,-0.1,59,9.5,0.0,0.0,0
2022-01-03T03:00,-0.6,60,9.0,0.0,0.0,0
2022-01-03T04:00,-1.3,68,7.6,0.0,0.0,0
2022-01-03T05:00,-1.6,71,5.2,0.0,0.0,0
2022-01-03T06:00,-2.0,73,4.9,0.0,0.0,0
2022-01-03T07:00,-1.4,70,2.9,0.0,0.0,0
2022-01-03T08:00,-2.4,76,3.7,0.0,0.0,0
2022-01-03T09:00,-4.4,86,6.0,0.0,0.0,0
2022-01-03T10:00,-1.7,73,7.4,0.0,0.0,7
2022-01-03T11:00,1.5,61,7.0,0.0,0.0,0
2022-01-03T12:00,4.0,53,5.9,0.0,0.0,0
2022-01-03T13:00,6.3,46,3.6,0.0,0.0,1
2022-01-03T14:00,8.5,39,2.1,0.0,0.0,0
2022-01-03T15:00,10.4,35,3.9,0.0,0.0,0
2022-01-03T16:00,12.2,30,7.4,0.0,0.0,0
2022-01-03T17:00,13.1,26,9.3,0.0,0.0,0
2022-01-03T18:00,12.8,27,10.9,0.0,0.0,6
2022-01-03T19:00,10.6,42,9.9,0.0,0.0,30
2022-01-03T20:00,9.6,36,11.0,0.0,0.0,30
2022-01-03T21:00,7.7,52,7.3,0.0,0.0,30
2022-01-03T22:00,6.7,55,13.0,0.0,0.0,30
2022-01-03T23:00,6.1,58,11.8,0.0,0.0,8
2022-01-04T00:00,4.7,64,11.4,0.0,0.0,16
2022-01-04T01:00,3.6,69,12.3,0.0,0.0,0
2022-01-04T02:00,3.0,62,12.3,0.0,0.0,0
2022-01-04T03:00,2.8,49,11.2,0.0,0.0,0
2022-01-04T04:00,1.9,55,9.4,0.0,0.0,0
2022-01-04T05:00,1.2,63,10.5,0.0,0.0,0
2022-01-04T06:00,-0.0,71,7.3,0.0,0.0,0
2022-01-04T07:00,0.1,57,10.8,0.0,0.0,0
2022-01-04T08:00,-0.2,60,10.8,0.0,0.0,0
2022-01-04T09:00,-0.2,62,10.3,0.0,0.0,0
2022-01-04T10:00,3.3,52,7.9,0.0,0.0,0
2022-01-04T11:00,8.8,38,6.9,0.0,0.0,0
2022-01-04T12:00,14.1,29,10.5,0.0,0.0,0
2022-01-04T13:00,17.1,24,16.5,0.0,0.0,0
2022-01-04T14:00,19.1,23,16.0,0.0,0.0,1
2022-01-04T15:00,21.4,15,31.7,0.0,0.0,0
2022-01-04T16:00,21.3,15,34.7,0.0,0.0,1
2022-01-04T17:00,20.5,17,32.8,0.0,0.0,0
2022-01-04T18:00,19.1,20,28.6,0.0,0.0,1
2022-01-04T19:00,17.2,22,25.7,0.0,0.0,1
2022-01-04T20:00,15.7,25,21.7,0.0,0.0,0
2022-01-04T21:00,14.7,26,21.4,0.0,0.0,0
2022-01-04T22:00,14.3,26,24.5,0.0,0.0,0
2022-01-04T23:00,13.7,29,24.9,0.0,0.0,0
2022-01-05T00:00,13.0,31,23.7,0.0,0.0,0
2022-01-05T01:00,12.4,32,23.6,0.0,0.0,0
2022-01-05T02:00,11.8,32,22.5,0.0,0.0,0
2022-01-05T03:00,10.7,35,19.5,0.0,0.0,0
2022-01-05T04:00,9.7,37,17.8,0.0,0.0,0
2022-01-05T05:00,8.8,38,17.5,0.0,0.0,0
2022-01-05T06:00,8.3,39,17.4,0.0,0.0,0
2022-01-05T07:00,8.1,37,18.1,0.0,0.0,0
