Timestamp,Temperature (deg C),Relative Humidity (%),Wind Speed (km/h),Rain (mm),Snowfall (cm),Cloud Cover (%)
2022-01-01T00:00,3.8,54,4.1,0.0,0.0,21
2022-01-01T01:00,2.1,43,14.9,0.0,0.0,0
2022-01-01T02:00,0.5,49,16.7,0.0,0.0,0
2022-01-01T03:00,-0.7,54,12.7,0.0,0.0,0
2022-01-01T04:00,-2.3,62,8.4,0.0,0.0,0
2022-01-01T05:00,-2.3,57,5.6,0.0,0.0,0
2022-01-01T06:00,-3.1,60,6.9,0.0,0.0,0
2022-01-01T07:00,-3.2,60,9.7,0.0,0.0,0
2022-01-01T08:00,-2.5,54,10.5,0.0,0.0,0
2022-01-01T09:00,-2.2,54,12.6,0.0,0.0,0
2022-01-01T10:00,-2.8,57,11.1,0.0,0.0,0
2022-01-01T11:00,-1.2,54,10.2,0.0,0.0,0
2022-01-01T12:00,0.4,41,15.8,0.0,0.0,0
2022-01-01T13:00,1.2,37,22.0,0.0,0.0,0
2022-01-01T14:00,2.1,36,24.7,0.0,0.0,0
2022-01-01T15:00,2.9,35,23.7,0.0,0.0,1
2022-01-01T16:00,3.5,34,22.7,0.0,0.0,0
2022-01-01T17:00,3.8,33,21.4,0.0,0.0,0
2022-01-01T18:00,3.5,34,20.9,0.0,0.0,2
2022-01-01T19:00,3.6,36,16.1,0.0,0.0,1
2022-01-01T20:00,2.0,42,16.0,0.0,0.0,6
2022-01-01T21:00,1.2,45,16.4,0.0,0.0,2
2022-01-01T22:00,0.7,45,18.6,0.0,0.0,1
2022-01-01T23:00,0.0,47,19.2,0.0,0.0,0
2022-01-02T00:00,-0.8,51,18.6,0.0,0.0,0
2022-01-02T01:00,-1.3,52,17.8,0.0,0.0,0
2022-01-02T02:00,-1.7,51,16.3,0.0,0.0,0
2022-01-02T03:00,-2.1,52,16.5,0.0,0.0,0
2022-01-02T04:00,-2.5,51,18.1,0.0,0.0,0
2022-01-02T05:00,-2.8,50,18.2,0.0,0.0,0
2022-01-02T06:00,-2.9,48,17.7,0.0,0.0,0
