Timestamp,Temperature (deg C),Relative Humidity (%),Wind Speed (km/h),Rain (mm),Snowfall (cm),Cloud Cover (%)
2022-01-01T00:00,4.7,77,10.6,0.0,0.0,0
2022-01-01T01:00,4.4,79,10.7,0.0,0.0,0
2022-01-01T02:00,4.4,80,12.2,0.0,0.0,0
2022-01-01T03:00,4.4,76,12.3,0.0,0.0,0
2022-01-01T04:00,4.3,71,12.3,0.0,0.0,0
2022-01-01T05:00,4.0,69,10.9,0.0,0.0,0
2022-01-01T06:00,3.5,69,10.1,0.0,0.0,0
2022-01-01T07:00,2.4,74,7.9,0.0,0.0,20
2022-01-01T08:00,2.4,73,9.0,0.0,0.0,28
2022-01-01T09:00,1.6,74,7.6,0.0,0.0,30
2022-01-01T10:00,1.6,70,8.9,0.0,0.0,16
2022-01-01T11:00,2.2,64,10.8,0.0,0.0,14
2022-01-01T12:00,4.3,56,12.0,0.0,0.0,18
2022-01-01T13:00,5.2,53,9.7,0.0,0.0,0
2022-01-01T14:00,5.7,53,7.6,0.0,0.0,0
2022-01-01T15:00,6.4,52,6.3,0.0,0.0,0
2022-01-01T16:00,7.1,49,4.7,0.0,0.0,8
2022-01-01T17:00,7.5,47,4.0,0.0,0.0,16
2022-01-01T18:00,7.6,44,3.3,0.0,0.0,10
2022-01-01T19:00,6.9,53,2.6,0.0,0.0,13
2022-01-01T20:00,6.2,54,3.8,0.0,0.0,0
2022-01-01T21:00,3.8,64,5.9,0.0,0.0,0
2022-01-01T22:00,2.1,74,8.9,0.0,0.0,0
2022-01-01T23:00,1.6,79,8.9,0.0,0.0,1
2022-01-02T00:00,1.4,80,5.9,0.0,0.0,0
2022-01-02T01:00,1.2,81,3.1,0.0,0.0,0
2022-01-02T02:00,0.9,82,3.8,0.0,0.0,0
2022-01-02T03:00,1.0,81,4.7,0.0,0.0,0
2022-01-02T04:00,1.4,79,5.4,0.0,0.0,0
2022-01-02T05:00,1.2,78,4.5,0.0,0.0,0
2022-01-02T06:00,0.9,73,3.4,0.0,0.0,0
2022-01-02T07:00,1.4,71,1.6,0.0,0.0,0
2022-01-02T08:00,-0.8,76,4.3,0.0,0.0,0
2022-01-02T09:00,-0.7,69,3.7,0.0,0.0,0
2022-01-02T10:00,-1.2,71,1.3,0.0,0.0,0
2022-01-02T11:00,0.4,70,0.8,0.0,0.0,0
2022-01-02T12:00,4.6,65,1.0,0.0,0.0,0
2022-01-02T13:00,6.9,62,4.9,0.0,0.0,1
2022-01-02T14:00,8.0,68,6.3,0.0,0.0,3
2022-01-02T15:00,9.4,71,8.0,0.0,0.0,2
2022-01-02T16:00,10.3,70,7.9,0.0,0.0,10
2022-01-02T17:00,10.7,70,7.2,0.0,0.0,5
2022-01-02T18:00,10.5,71,7.5,0.0,0.0,1
2022-01-02T19:00,8.6,80,3.9,0.0,0.0,16
2022-01-02T20:00,6.2,89,4.3,0.0,0.0,36
2022-01-02T21:00,5.0,91,4.5,0.0,0.0,32
2022-01-02T22:00,7.7,77,0.5,0.0,0.0,30
2022-01-02T23:00,8.0,73,2.3,0.0,0.0,30
2022-01-03T00:00,3.8,85,4.9,0.0,0.0,29
2022-01-03T01:00,3.5,85,3.4,0.0,0.0,49
2022-01-03T02:00,3.5,88,2.9,0.0,0.0,68
2022-01-03T03:00,3.0,91,0.8,0.0,0.0,39
2022-01-03T04:00,6.1,81,1.1,0.0,0.0,46
2022-01-03T05:00,6.1,81,3.6,0.0,0.0,11
2022-01-03T06:00,7.4,77,1.1,0.0,0.0,7
2022-01-03T07:00,3.7,84,4.4,0.0,0.0,38
2022-01-03T08:00,5.3,81,4.2,0.0,0.0,46
2022-01-03T09:00,3.7,86,2.6,0.0,0.0,37
2022-01-03T10:00,2.7,90,3.8,0.0,0.0,51
2022-01-03T11:00,3.9,89,3.3,0.0,0.0,79
2022-01-03T12:00,6.9,84,6.9,0.0,0.0,30
2022-01-03T13:00,9.6,78,1.9,0.0,0.0,30
2022-01-03T14:00,10.9,76,2.6,0.0,0.0,32
2022-01-03T15:00,12.0,76,2.1,0.0,0.0,61
2022-01-03T16:00,13.0,67,4.0,0.0,0.0,84
2022-01-03T17:00,12.9,62,3.8,0.0,0.0,61
2022-01-03T18:00,12.8,63,6.8,0.0,0.0,76
2022-01-03T19:00,11.1,78,6.7,0.0,0.0,100
2022-01-03T20:00,9.7,82,7.8,0.0,0.0,100
2022-01-03T21:00,10.2,77,11.9,0.0,0.0,100
2022-01-03T22:00,10.3,78,12.9,0.0,0.0,100
2022-01-03T23:00,10.2,80,10.4,0.0,0.0,100
2022-01-04T00:00,10.3,80,8.3,0.0,0.0,100
2022-01-04T01:00,9.9,82,6.8,0.0,0.0,100
2022-01-04T02:00,9.2,87,5.6,0.0,0.0,100
2022-01-04T03:00,9.3,87,6.0,0.0,0.0,100
2022-01-04T04:00,8.8,89,7.4,0.0,0.0,100
2022-01-04T05:00,9.1,90,8.2,0.0,0.0,100
2022-01-04T06:00,9.0,91,5.9,0.0,0.0,100
2022-01-04T07:00,8.7,91,5.1,0.0,0.0,69
2022-01-04T08:00,7.1,94,5.6,0.0,0.0,72
2022-01-04T09:00,8.4,91,4.4,0.0,0.0,100
2022-01-04T10:00,9.5,89,1.3,0.0,0.0,43
2022-01-04T11:00,7.9,95,3.8,0.0,0.0,72
2022-01-04T12:00,10.2,89,3.7,0.0,0.0,64
2022-01-04T13:00,12.1,83,2.6,0.0,0.0,100
2022-01-04T14:00,12.6,82,1.5,0.0,0.0,100
2022-01-04T15:00,12.9,83,2.9,0.0,0.0,100
2022-01-04T16:00,12.7,87,5.2,0.1,0.0,100
2022-01-04T17:00,12.7,89,3.6,0.3,0.0,84
2022-01-04T18:00,12.8,86,6.6,0.4,0.0,66
2022-01-04T19:00,13.0,86,1.3,0.2,0.0,48
2022-01-04T20:00,11.8,91,5.6,0.0,0.0,54
2022-01-04T21:00,10.5,94,5.4,0.0,0.0,52
2022-01-04T22:00,9.8,94,6.9,0.0,0.0,49
2022-01-04T23:00,9.4,94,5.4,0.0,0.0,14
2022-01-05T00:00,8.7,93,6.8,0.0,0.0,1
2022-01-05T01:00,8.6,92,7.9,0.0,0.0,0
2022-01-05T02:00,8.3,91,7.9,0.0,0.0,9
2022-01-05T03:00,7.5,92,6.9,0.0,0.0,35
2022-01-05T04:00,7.2,92,8.0,0.0,0.0,49
2022-01-05T05:00,7.4,90,9.2,0.0,0.0,32
2022-01-05T06:00,7.7,88,9.5,0.0,0.0,13
2022-01-05T07:00,7.7,88,7.7,0.0,0.0,100
2022-01-05T08:00,9.3,81,8.7,0.0,0.0,100
2022-01-05T09:00,10.3,77,10.1,0.0,0.0,53
2022-01-05T10:00,9.4,83,8.3,0.0,0.0,35
2022-01-05T11:00,9.3,86,5.7,0.0,0.0,48
2022-01-05T12:00,11.7,81,4.6,0.0,0.0,100
2022-01-05T13:00,11.8,86,5.5,0.0,0.0,100
2022-01-05T14:00,12.2,88,8.2,0.0,0.0,100
2022-01-05T15:00,13.6,85,11.6,0.0,0.0,72
2022-01-05T16:00,14.6,80,16.6,0.0,0.0,99
2022-01-05T17:00,14.6,80,15.4,0.0,0.0,43
2022-01-05T18:00,14.5,81,13.0,0.0,0.0,38
2022-01-05T19:00,14.6,81,8.5,0.0,0.0,100
2022-01-05T20:00,12.8,91,5.9,0.0,0.0,100
2022-01-05T21:00,11.8,96,3.3,0.0,0.0,100
2022-01-05T22:00,11.6,97,3.0,0.0,0.0,100
2022-01-05T23:00,11.4,98,4.4,0.0,0.0,100
2022-01-06T00:00,11.2,98,4.3,0.0,0.0,100
2022-01-06T01:00,10.7,99,3.3,0.0,0.0,100
2022-01-06T02:00,10.5,99,5.0,0.0,0.0,100
2022-01-06T03:00,10.4,99,5.9,0.0,0.0,91
2022-01-06T04:00,10.4,98,5.0,0.0,0.0,66
2022-01-06T05:00,9.6,97,5.8,0.0,0.0,72
2022-01-06T06:00,9.5,98,5.0,0.0,0.0,78
2022-01-06T07:00,10.3,98,2.2,0.0,0.0,85
2022-01-06T08:00,10.0,99,1.4,0.0,0.0,77
2022-01-06T09:00,8.8,100,2.3,0.0,0.0,90
2022-01-06T10:00,8.9,99,2.8,0.0,0.0,90
2022-01-06T11:00,9.4,98,3.8,0.0,0.0,90
2022-01-06T12:00,10.1,96,2.1,0.0,0.0,90
2022-01-06T13:00,11.2,91,2.6,0.0,0.0,44
2022-01-06T14:00,11.9,91,6.0,0.0,0.0,67
2022-01-06T15:00,12.2,91,6.4,0.0,0.0,90
2022-01-06T16:00,12.6,89,4.7,0.0,0.0,90
2022-01-06T17:00,13.5,84,7.2,0.0,0.0,90
2022-01-06T18:00,14.1,82,7.8,0.0,0.0,90
2022-01-06T19:00,11.5,91,6.4,0.0,0.0,90
2022-01-06T20:00,10.4,95,3.4,0.0,0.0,24
2022-01-06T21:00,10.0,97,3.4,0.0,0.0,16
2022-01-06T22:00,10.3,96,4.6,0.0,0.0,24
2022-01-06T23:00,10.0,98,4.3,0.0,0.0,90
2022-01-07T00:00,9.6,98,3.5,0.0,0.0,90
2022-01-07T01:00,9.6,99,5.1,0.0,0.0,90
2022-01-07T02:00,9.7,99,6.4,0.0,0.0,90
2022-01-07T03:00,9.7,97,7.4,0.0,0.0,100
2022-01-07T04:00,9.4,94,7.2,0.0,0.0,87
2022-01-07T05:00,9.1,91,5.9,0.0,0.0,62
2022-01-07T06:00,8.7,89,6.5,0.0,0.0,50
2022-01-07T07:00,9.6,97,2.5,0.0,0.0,100
2022-01-07T08:00,9.7,98,4.6,0.4,0.0,100
2022-01-07T09:00,9.7,97,2.2,0.2,0.0,100
2022-01-07T10:00,9.6,97,4.8,0.0,0.0,100
2022-01-07T11:00,10.0,94,9.4,0.0,0.0,100
2022-01-07T12:00,10.9,89,6.9,0.0,0.0,100
2022-01-07T13:00,11.2,90,3.3,0.1,0.0,100
2022-01-07T14:00,10.8,96,5.1,0.1,0.0,100
2022-01-07T15:00,10.9,98,4.7,0.0,0.0,100
2022-01-07T16:00,11.7,92,4.0,0.0,0.0,100
2022-01-07T17:00,11.9,92,2.0,0.0,0.0,100
2022-01-07T18:00,12.1,90,4.6,0.3,0.0,100
2022-01-07T19:00,11.1,95,5.6,0.1,0.0,100
2022-01-07T20:00,10.5,96,5.2,0.1,0.0,21
2022-01-07T21:00,9.6,94,5.8,0.0,0.0,22
2022-01-07T22:00,8.9,93,7.6,0.0,0.0,8
2022-01-07T23:00,8.3,92,7.9,0.0,0.0,0
2022-01-08T00:00,7.6,91,7.7,0.0,0.0,1
2022-01-08T01:00,6.9,92,8.9,0.0,0.0,16
2022-01-08T02:00,6.5,91,8.5,0.0,0.0,6
2022-01-08T03:00,6.4,91,7.9,0.0,0.0,9
2022-01-08T04:00,6.2,91,7.4,0.0,0.0,4
2022-01-08T05:00,6.1,88,7.4,0.0,0.0,0
2022-01-08T06:00,5.7,87,7.2,0.0,0.0,1
