Timestamp,Temperature (deg C),Relative Humidity (%),Wind Speed (km/h),Rain (mm),Snowfall (cm),Cloud Cover (%)
2022-01-01T00:00,16.5,94,14.3,0.0,0.0,51
2022-01-01T01:00,16.4,97,13.5,0.0,0.0,33
2022-01-01T02:00,16.4,97,13.9,0.0,0.0,90
2022-01-01T03:00,16.6,97,14.8,0.0,0.0,91
2022-01-01T04:00,16.7,97,13.6,0.9,0.0,100
2022-01-01T05:00,17.1,98,13.6,0.8,0.0,100
2022-01-01T06:00,17.4,98,10.5,1.3,0.0,100
2022-01-01T07:00,19.4,98,14.8,0.0,0.0,100
2022-01-01T08:00,19.7,96,16.8,0.0,0.0,100
2022-01-01T09:00,19.6,98,13.6,0.3,0.0,100
2022-01-01T10:00,20.3,92,18.6,0.0,0.0,49
2022-01-01T11:00,21.5,85,18.2,0.0,0.0,55
2022-01-01T12:00,22.7,75,23.7,0.0,0.0,54
2022-01-01T13:00,24.0,66,25.2,0.1,0.0,61
2022-01-01T14:00,23.9,66,24.4,0.0,0.0,51
2022-01-01T15:00,23.9,66,24.2,0.0,0.0,72
2022-01-01T16:00,23.7,66,22.5,0.0,0.0,69
2022-01-01T17:00,22.6,68,21.5,0.0,0.0,62
2022-01-01T18:00,22.1,71,20.6,0.0,0.0,62
2022-01-01T19:00,22.2,70,24.3,0.0,0.0,74
2022-01-01T20:00,22.0,68,23.7,0.0,0.0,35
2022-01-01T21:00,21.6,69,22.1,0.0,0.0,13
2022-01-01T22:00,21.4,69,22.1,0.0,0.0,38
2022-01-01T23:00,21.2,70,22.4,0.0,0.0,39
2022-01-02T00:00,20.9,71,22.8,0.0,0.0,37
2022-01-02T01:00,20.8,71,22.1,0.0,0.0,98
2022-01-02T02:00,21.0,70,25.5,0.0,0.0,72
2022-01-02T03:00,20.7,70,26.0,0.0,0.0,95
2022-01-02T04:00,20.7,70,27.4,0.0,0.0,100
2022-01-02T05:00,20.8,71,25.6,0.0,0.0,100
2022-01-02T06:00,20.8,73,22.3,0.0,0.0,100
2022-01-02T07:00,17.5,99,13.3,0.0,0.0,100
2022-01-02T08:00,17.7,100,9.4,3.5,0.0,92
2022-01-02T09:00,17.8,100,11.8,0.3,0.0,90
2022-01-02T10:00,17.8,100,11.0,1.4,0.0,90
2022-01-02T11:00,18.4,97,10.7,0.3,0.0,92
2022-01-02T12:00,18.5,96,13.2,0.0,0.0,90
2022-01-02T13:00,18.8,92,10.4,0.3,0.0,90
2022-01-02T14:00,18.4,94,11.0,0.1,0.0,91
2022-01-02T15:00,18.3,95,11.7,0.0,0.0,90
2022-01-02T16:00,18.5,96,12.9,0.0,0.0,95
2022-01-02T17:00,17.7,95,10.9,0.3,0.0,100
2022-01-02T18:00,16.4,99,5.8,2.7,0.0,100
2022-01-02T19:00,16.9,100,6.4,3.2,0.0,96
2022-01-02T20:00,16.8,100,3.8,2.0,0.0,95
2022-01-02T21:00,15.7,99,6.5,2.6,0.0,100
