Timestamp,Temperature (deg C),Relative Humidity (%),Wind Speed (km/h),Rain (mm),Snowfall (cm),Cloud Cover (%)
2022-01-01T00:00,2.0,94,13.2,0.0,0.0,100
2022-01-01T01:00,1.6,95,14.3,0.0,0.0,100
2022-01-01T02:00,1.2,95,15.5,0.0,0.0,100
2022-01-01T03:00,0.7,93,15.8,0.0,0.0,100
2022-01-01T04:00,0.1,91,16.9,0.0,0.0,100
2022-01-01T05:00,-0.2,89,16.2,0.0,0.0,100
2022-01-01T06:00,-0.6,87,16.9,0.0,0.0,100
2022-01-01T07:00,-0.1,90,13.7,0.0,0.0,100
2022-01-01T08:00,-0.3,88,17.4,0.0,0.0,100
2022-01-01T09:00,-0.8,88,15.5,0.0,0.0,100
2022-01-01T10:00,-1.3,85,22.3,0.0,0.07,100
2022-01-01T11:00,-1.7,81,21.9,0.0,0.07,100
2022-01-01T12:00,-1.8,80,20.3,0.0,0.07,100
2022-01-01T13:00,-1.8,81,18.8,0.0,0.21,100
2022-01-01T14:00,-1.5,84,17.3,0.0,0.42,100
2022-01-01T15:00,-0.8,83,25.8,0.0,0.49,100
2022-01-01T16:00,-1.5,85,18.9,0.0,0.56,100
2022-01-01T17:00,-2.8,84,17.0,0.0,1.05,100
2022-01-01T18:00,-3.7,85,16.5,0.0,0.77,100
2022-01-01T19:00,-5.8,86,20.9,0.0,0.84,100
2022-01-01T20:00,-5.7,82,21.0,0.0,0.49,100
2022-01-01T21:00,-5.9,82,19.1,0.0,0.28,100
2022-01-01T22:00,-6.1,86,17.3,0.0,0.21,100
2022-01-01T23:00,-6.5,86,18.4,0.0,0.28,100
2022-01-02T00:00,-6.4,86,15.2,0.0,0.21,100
2022-01-02T01:00,-6.3,87,16.2,0.0,0.21,100
2022-01-02T02:00,-7.1,86,19.0,0.0,0.21,100
2022-01-02T03:00,-7.2,84,17.2,0.0,0.14,100
2022-01-02T04:00,-7.2,81,16.8,0.0,0.07,100
2022-01-02T05:00,-8.2,82,13.8,0.0,0.0,100
2022-01-02T06:00,-8.5,81,15.6,0.0,0.0,100
2022-01-02T07:00,-9.7,84,13.7,0.0,0.0,100
2022-01-02T08:00,-10.3,86,13.3,0.0,0.0,100
2022-01-02T09:00,-10.3,83,14.3,0.0,0.0,100
2022-01-02T10:00,-10.2,81,13.5,0.0,0.0,100
2022-01-02T11:00,-9.2,77,12.2,0.0,0.0,79
2022-01-02T12:00,-8.1,73,13.2,0.0,0.0,85
2022-01-02T13:00,-7.5,72,13.1,0.0,0.0,90
2022-01-02T14:00,-7.5,73,12.7,0.0,0.0,90
2022-01-02T15:00,-7.4,73,11.0,0.0,0.0,68
2022-01-02T16:00,-7.9,75,8.8,0.0,0.0,53
2022-01-02T17:00,-9.3,78,8.0,0.0,0.0,6
2022-01-02T18:00,-11.2,82,8.4,0.0,0.0,13
2022-01-02T19:00,-12.2,82,11.5,0.0,0.0,0
2022-01-02T20:00,-12.5,81,9.4,0.0,0.0,0
2022-01-02T21:00,-13.3,81,8.4,0.0,0.0,0
2022-01-02T22:00,-13.9,81,8.9,0.0,0.0,0
2022-01-02T23:00,-15.3,81,6.6,0.0,0.0,0
2022-01-03T00:00,-16.2,81,6.6,0.0,0.0,0
2022-01-03T01:00,-16.5,82,7.7,0.0,0.0,0
2022-01-03T02:00,-16.9,82,7.4,0.0,0.0,0
2022-01-03T03:00,-18.1,81,6.8,0.0,0.0,0
2022-01-03T04:00,-19.4,81,8.8,0.0,0.0,0
2022-01-03T05:00,-19.8,81,8.3,0.0,0.0,0
2022-01-03T06:00,-20.3,80,8.4,0.0,0.0,0
2022-01-03T07:00,-19.1,79,6.0,0.0,0.0,0
2022-01-03T08:00,-19.4,79,6.4,0.0,0.0,0
2022-01-03T09:00,-19.0,78,7.6,0.0,0.0,0
2022-01-03T10:00,-17.0,71,7.5,0.0,0.0,0
2022-01-03T11:00,-14.8,66,8.4,0.0,0.0,0
2022-01-03T12:00,-12.6,61,9.8,0.0,0.0,0
2022-01-03T13:00,-10.8,59,10.6,0.0,0.0,0
2022-01-03T14:00,-9.1,60,10.2,0.0,0.0,0
2022-01-03T15:00,-7.8,61,10.8,0.0,0.0,0
2022-01-03T16:00,-7.0,63,11.3,0.0,0.0,0
2022-01-03T17:00,-7.2,67,11.8,0.0,0.0,0
2022-01-03T18:00,-7.8,71,13.7,0.0,0.0,0
2022-01-03T19:00,-8.7,73,15.2,0.0,0.0,0
2022-01-03T20:00,-8.7,72,14.8,0.0,0.0,0
2022-01-03T21:00,-8.6,71,15.0,0.0,0.0,0
2022-01-03T22:00,-8.5,71,15.1,0.0,0.0,0
2022-01-03T23:00,-8.3,72,14.7,0.0,0.0,0
2022-01-04T00:00,-8.0,72,15.3,0.0,0.0,3
2022-01-04T01:00,-7.8,72,15.3,0.0,0.0,0
2022-01-04T02:00,-7.6,72,15.5,0.0,0.0,14
2022-01-04T03:00,-7.6,71,14.8,0.0,0.0,4
2022-01-04T04:00,-7.6,71,14.8,0.0,0.0,19
2022-01-04T05:00,-7.6,71,15.4,0.0,0.0,0
2022-01-04T06:00,-7.6,71,14.9,0.0,0.0,4
2022-01-04T07:00,-6.7,73,16.2,0.0,0.0,0
2022-01-04T08:00,-6.6,74,17.0,0.0,0.0,2
2022-01-04T09:00,-6.2,76,17.7,0.0,0.0,25
2022-01-04T10:00,-4.8,76,15.8,0.0,0.0,27
2022-01-04T11:00,-3.4,74,18.4,0.0,0.0,30
2022-01-04T12:00,-2.2,75,18.7,0.0,0.0,30
2022-01-04T13:00,-1.1,74,19.9,0.0,0.0,30
2022-01-04T14:00,-0.2,74,18.8,0.0,0.0,30
2022-01-04T15:00,0.3,75,15.2,0.0,0.0,30
2022-01-04T16:00,0.6,73,21.2,0.0,0.0,30
2022-01-04T17:00,0.4,69,20.9,0.0,0.0,30
2022-01-04T18:00,0.1,69,21.9,0.0,0.0,30
2022-01-04T19:00,-1.7,76,20.0,0.0,0.0,30
