Timestamp,Temperature (deg C),Relative Humidity (%),Wind Speed (km/h),Rain (mm),Snowfall (cm),Cloud Cover (%)
2022-01-01T00:00,-1.2,82,17.6,0.0,0.0,100
2022-01-01T01:00,-1.5,81,19.0,0.0,0.0,100
2022-01-01T02:00,-1.7,79,20.4,0.0,0.0,100
2022-01-01T03:00,-2.5,75,21.3,0.0,0.0,100
2022-01-01T04:00,-3.5,69,20.4,0.1,0.0,100
2022-01-01T05:00,-4.2,70,20.5,0.2,0.0,100
2022-01-01T06:00,-5.1,70,21.1,0.1,0.0,100
2022-01-01T07:00,-6.7,86,23.6,0.2,0.0,100
2022-01-01T08:00,-8.2,83,22.6,0.2,0.28,100
2022-01-01T09:00,-8.9,81,22.5,0.0,0.28,100
2022-01-01T10:00,-9.3,80,20.9,0.0,0.42,100
2022-01-01T11:00,-9.5,78,19.5,0.0,0.77,100
2022-01-01T12:00,-10.5,76,23.9,0.0,1.05,100
2022-01-01T13:00,-12.0,76,25.6,0.0,0.77,100
2022-01-01T14:00,-13.0,75,23.7,0.0,0.35,100
2022-01-01T15:00,-12.7,76,21.6,0.0,0.42,100
2022-01-01T16:00,-12.8,75,21.3,0.0,0.14,100
2022-01-01T17:00,-13.1,75,22.0,0.0,0.0,100
2022-01-01T18:00,-13.6,75,22.0,0.0,0.07,100
2022-01-01T19:00,-12.8,70,22.1,0.0,0.07,100
2022-01-01T20:00,-12.4,69,20.3,0.0,0.07,100
2022-01-01T21:00,-12.3,69,18.0,0.0,0.07,100
2022-01-01T22:00,-12.3,69,17.9,0.0,0.07,100
2022-01-01T23:00,-12.7,70,18.8,0.0,0.14,100
2022-01-02T00:00,-12.9,68,18.1,0.0,0.07,100
2022-01-02T01:00,-13.3,66,19.8,0.0,0.0,100
2022-01-02T02:00,-14.0,69,16.4,0.0,0.07,100
2022-01-02T03:00,-14.1,65,14.7,0.0,0.0,63
2022-01-02T04:00,-14.2,63,15.5,0.0,0.0,62
2022-01-02T05:00,-14.7,64,14.0,0.0,0.07,57
2022-01-02T06:00,-15.1,65,11.3,0.0,0.07,19
2022-01-02T07:00,-15.9,67,12.8,0.0,0.0,11
2022-01-02T08:00,-17.1,68,9.2,0.0,0.0,7
2022-01-02T09:00,-17.8,68,8.6,0.0,0.0,0
2022-01-02T10:00,-17.4,62,7.3,0.0,0.0,0
2022-01-02T11:00,-16.1,58,6.7,0.0,0.0,0
2022-01-02T12:00,-14.4,53,9.2,0.0,0.0,0
2022-01-02T13:00,-13.0,50,8.2,0.0,0.0,0
2022-01-02T14:00,-10.3,35,8.1,0.0,0.0,0
2022-01-02T15:00,-9.2,34,9.0,0.0,0.0,0
2022-01-02T16:00,-8.6,33,7.8,0.0,0.0,0
2022-01-02T17:00,-8.7,34,5.6,0.0,0.0,0
2022-01-02T18:00,-9.4,36,4.4,0.0,0.0,0
2022-01-02T19:00,-9.6,44,5.9,0.0,0.0,0
2022-01-02T20:00,-10.4,48,5.2,0.0,0.0,0
2022-01-02T21:00,-10.5,51,5.2,0.0,0.0,0
2022-01-02T22:00,-10.6,52,5.4,0.0,0.0,0
2022-01-02T23:00,-10.5,52,5.1,0.0,0.0,0
2022-01-03T00:00,-10.3,51,5.6,0.0,0.0,0
2022-01-03T01:00,-10.0,50,6.3,0.0,0.0,0
2022-01-03T02:00,-9.7,50,5.9,0.0,0.0,0
2022-01-03T03:00,-9.4,52,6.1,0.0,0.0,0
2022-01-03T04:00,-9.3,53,6.2,0.0,0.0,0
2022-01-03T05:00,-9.3,55,5.9,0.0,0.0,0
2022-01-03T06:00,-9.4,57,5.3,0.0,0.0,0
2022-01-03T07:00,-11.4,72,10.2,0.0,0.0,0
2022-01-03T08:00,-10.7,66,10.8,0.0,0.0,0
2022-01-03T09:00,-13.2,72,12.6,0.0,0.0,0
2022-01-03T10:00,-9.1,61,11.2,0.0,0.0,0
2022-01-03T11:00,-4.0,44,7.0,0.0,0.0,0
2022-01-03T12:00,-0.9,37,8.6,0.0,0.0,0
2022-01-03T13:00,2.0,33,9.9,0.0,0.0,0
2022-01-03T14:00,4.2,29,10.9,0.0,0.0,0
2022-01-03T15:00,5.5,27,11.5,0.0,0.0,0
2022-01-03T16:00,5.9,27,12.6,0.0,0.0,0
2022-01-03T17:00,5.0,30,11.2,0.0,0.0,0
2022-01-03T18:00,1.1,41,9.1,0.0,0.0,0
2022-01-03T19:00,-0.7,54,10.2,0.0,0.0,0
2022-01-03T20:00,-0.5,54,12.3,0.0,0.0,0
2022-01-03T21:00,-0.9,55,12.4,0.0,0.0,0
2022-01-03T22:00,-1.2,55,12.3,0.0,0.0,4
2022-01-03T23:00,-1.4,56,12.6,0.0,0.0,25
2022-01-04T00:00,-1.2,57,14.1,0.0,0.0,25
2022-01-04T01:00,-0.8,58,14.8,0.0,0.0,0
2022-01-04T02:00,-0.8,63,14.8,0.0,0.0,0
