Timestamp,Temperature (deg C),Relative Humidity (%),Wind Speed (km/h),Rain (mm),Snowfall (cm),Cloud Cover (%)
2022-01-01T00:00,-4.9,74,20.9,0.0,0.0,100
2022-01-01T01:00,-5.1,72,19.5,0.0,0.0,100
2022-01-01T02:00,-5.3,67,21.1,0.0,0.0,100
2022-01-01T03:00,-6.1,66,23.7,0.0,0.21,100
2022-01-01T04:00,-6.7,58,23.8,0.0,0.07,100
2022-01-01T05:00,-7.7,60,23.9,0.1,0.07,100
2022-01-01T06:00,-8.5,59,24.0,0.0,0.14,100
2022-01-01T07:00,-10.6,68,26.4,0.1,0.28,100
2022-01-01T08:00,-11.3,66,25.4,0.0,0.21,100
2022-01-01T09:00,-11.8,64,23.9,0.0,0.14,100
2022-01-01T10:00,-12.2,65,25.9,0.0,0.56,100
2022-01-01T11:00,-12.7,66,24.6,0.0,0.7,100
2022-01-01T12:00,-13.3,67,27.2,0.0,0.63,100
2022-01-01T13:00,-13.7,69,23.4,0.0,0.7,100
2022-01-01T14:00,-14.2,74,24.3,0.0,0.42,100
2022-01-01T15:00,-14.2,75,24.1,0.0,0.14,100
2022-01-01T16:00,-14.0,74,23.4,0.0,0.07,100
2022-01-01T17:00,-14.0,75,22.9,0.0,0.07,100
2022-01-01T18:00,-14.0,75,22.9,0.0,0.07,100
2022-01-01T19:00,-13.9,77,18.8,0.0,0.07,100
2022-01-01T20:00,-13.6,75,19.1,0.0,0.07,100
2022-01-01T21:00,-13.7,75,17.5,0.0,0.07,100
2022-01-01T22:00,-14.0,75,18.1,0.0,0.07,100
2022-01-01T23:00,-14.2,75,20.5,0.0,0.14,100
2022-01-02T00:00,-14.2,73,18.8,0.0,0.07,100
2022-01-02T01:00,-14.2,71,18.0,0.0,0.07,100
2022-01-02T02:00,-14.2,70,17.1,0.0,0.07,100
2022-01-02T03:00,-14.2,69,16.7,0.0,0.07,60
2022-01-02T04:00,-14.5,68,14.1,0.0,0.07,60
2022-01-02T05:00,-14.8,69,11.0,0.0,0.0,58
2022-01-02T06:00,-15.6,70,9.3,0.0,0.0,1
2022-01-02T07:00,-16.5,74,11.3,0.0,0.0,0
2022-01-02T08:00,-18.6,75,8.4,0.0,0.0,0
2022-01-02T09:00,-21.3,76,11.0,0.0,0.0,0
2022-01-02T10:00,-20.4,70,7.8,0.0,0.0,0
2022-01-02T11:00,-16.7,62,7.6,0.0,0.0,0
2022-01-02T12:00,-15.0,60,7.8,0.0,0.0,0
2022-01-02T13:00,-13.5,59,6.1,0.0,0.0,0
2022-01-02T14:00,-11.8,55,5.8,0.0,0.0,0
2022-01-02T15:00,-10.6,55,4.3,0.0,0.0,0
2022-01-02T16:00,-10.0,55,4.9,0.0,0.0,0
2022-01-02T17:00,-10.0,55,6.4,0.0,0.0,0
2022-01-02T18:00,-12.5,57,12.1,0.0,0.0,0
2022-01-02T19:00,-11.7,63,13.0,0.0,0.0,0
2022-01-02T20:00,-12.8,61,12.1,0.0,0.0,0
2022-01-02T21:00,-12.0,61,11.0,0.0,0.0,5
2022-01-02T22:00,-11.7,62,11.0,0.0,0.0,0
2022-01-02T23:00,-10.9,61,9.7,0.0,0.0,0
2022-01-03T00:00,-10.0,61,9.9,0.0,0.0,0
2022-01-03T01:00,-9.0,62,11.3,0.0,0.0,0
2022-01-03T02:00,-8.9,63,10.4,0.0,0.0,0
2022-01-03T03:00,-9.5,64,8.7,0.0,0.0,2
2022-01-03T04:00,-10.0,63,9.7,0.0,0.0,0
2022-01-03T05:00,-9.4,62,8.9,0.0,0.0,0
2022-01-03T06:00,-9.1,63,9.1,0.0,0.0,0
2022-01-03T07:00,-7.5,66,10.7,0.0,0.0,0
2022-01-03T08:00,-8.3,68,10.2,0.0,0.0,0
2022-01-03T09:00,-8.3,69,9.3,0.0,0.0,0
2022-01-03T10:00,-6.3,65,10.5,0.0,0.0,0
2022-01-03T11:00,-4.0,64,9.1,0.0,0.0,0
2022-01-03T12:00,-1.1,57,7.5,0.0,0.0,0
2022-01-03T13:00,1.2,54,8.8,0.0,0.0,0
2022-01-03T14:00,2.6,54,9.0,0.0,0.0,0
2022-01-03T15:00,3.3,53,9.4,0.0,0.0,0
2022-01-03T16:00,3.5,56,11.7,0.0,0.0,0
2022-01-03T17:00,3.6,51,17.0,0.0,0.0,0
2022-01-03T18:00,2.3,53,18.0,0.0,0.0,0
2022-01-03T19:00,1.6,54,20.8,0.0,0.0,10
2022-01-03T20:00,1.5,52,22.9,0.0,0.0,4
2022-01-03T21:00,1.1,51,24.1,0.0,0.0,16
2022-01-03T22:00,1.0,51,24.5,0.0,0.0,28
2022-01-03T23:00,1.0,51,25.6,0.0,0.0,4
2022-01-04T00:00,1.0,52,26.7,0.0,0.0,0
2022-01-04T01:00,1.0,53,26.8,0.0,0.0,0
2022-01-04T02:00,1.1,54,28.8,0.0,0.0,0
2022-01-04T03:00,1.1,55,29.5,0.0,0.0,0
2022-01-04T04:00,1.1,59,28.6,0.0,0.0,0
2022-01-04T05:00,1.0,61,26.3,0.0,0.0,0
2022-01-04T06:00,0.7,61,26.5,0.0,0.0,30
2022-01-04T07:00,1.7,57,25.1,0.0,0.0,30
2022-01-04T08:00,1.9,54,23.4,0.0,0.0,30
2022-01-04T09:00,1.9,52,24.1,0.0,0.0,28
2022-01-04T10:00,2.8,48,28.9,0.0,0.0,21
2022-01-04T11:00,4.4,43,29.9,0.0,0.0,4
2022-01-04T12:00,6.1,41,25.4,0.0,0.0,4
2022-01-04T13:00,7.3,38,28.4,0.0,0.0,21
2022-01-04T14:00,8.3,36,27.9,0.0,0.0,18
2022-01-04T15:00,8.7,37,26.7,0.0,0.0,30
2022-01-04T16:00,8.6,39,22.9,0.0,0.0,25
2022-01-04T17:00,8.0,40,22.2,0.0,0.0,1
2022-01-04T18:00,6.8,41,21.3,0.0,0.0,0
2022-01-04T19:00,6.0,48,20.5,0.0,0.0,6
2022-01-04T20:00,7.0,44,22.2,0.0,0.0,6
2022-01-04T21:00,5.5,50,19.9,0.0,0.0,8
2022-01-04T22:00,4.6,54,22.7,0.0,0.0,0
2022-01-04T23:00,2.0,55,28.0,0.0,0.0,3
2022-01-05T00:00,-0.3,62,23.9,0.0,0.0,13
2022-01-05T01:00,-2.6,59,29.7,0.0,0.0,1
2022-01-05T02:00,-4.3,54,16.1,0.0,0.0,2
2022-01-05T03:00,-5.2,55,15.3,0.0,0.0,21
2022-01-05T04:00,-5.6,52,14.5,0.0,0.0,34
2022-01-05T05:00,-5.8,49,15.1,0.0,0.0,18
2022-01-05T06:00,-6.4,47,11.6,0.0,0.0,0
2022-01-05T07:00,-9.0,52,13.1,0.0,0.0,20
2022-01-05T08:00,-9.4,52,13.2,0.0,0.0,3
2022-01-05T09:00,-9.4,51,14.3,0.0,0.0,8
2022-01-05T10:00,-8.5,44,18.2,0.0,0.0,0
2022-01-05T11:00,-8.1,39,19.5,0.0,0.0,48
2022-01-05T12:00,-7.6,34,17.6,0.0,0.0,71
2022-01-05T13:00,-6.7,29,15.9,0.0,0.0,32
2022-01-05T14:00,-6.3,28,16.3,0.0,0.0,45
2022-01-05T15:00,-5.9,27,13.7,0.0,0.0,88
2022-01-05T16:00,-6.3,27,14.7,0.0,0.0,90
2022-01-05T17:00,-6.8,29,14.7,0.0,0.0,90
2022-01-05T18:00,-7.5,35,15.9,0.0,0.07,90
2022-01-05T19:00,-8.9,50,17.7,0.0,0.14,90
2022-01-05T20:00,-9.7,53,19.6,0.0,0.21,89
2022-01-05T21:00,-10.1,52,17.6,0.0,0.14,90
2022-01-05T22:00,-10.2,51,16.6,0.0,0.14,90
2022-01-05T23:00,-10.6,51,17.5,0.0,0.14,90
2022-01-06T00:00,-10.8,52,16.3,0.0,0.07,90
2022-01-06T01:00,-11.2,52,16.9,0.0,0.14,91
2022-01-06T02:00,-11.6,54,18.4,0.0,0.28,90
2022-01-06T03:00,-12.0,53,18.9,0.0,0.21,100
2022-01-06T04:00,-12.3,54,19.6,0.0,0.14,100
2022-01-06T05:00,-12.6,57,20.4,0.0,0.28,94
2022-01-06T06:00,-12.8,53,20.5,0.0,0.14,76
2022-01-06T07:00,-14.0,56,21.9,0.0,0.07,85
2022-01-06T08:00,-14.6,56,21.2,0.0,0.0,60
2022-01-06T09:00,-14.8,56,18.6,0.0,0.0,63
2022-01-06T10:00,-14.4,54,19.0,0.0,0.0,4
2022-01-06T11:00,-13.5,49,19.7,0.0,0.0,3
2022-01-06T12:00,-12.6,45,18.5,0.0,0.0,12
2022-01-06T13:00,-11.6,40,17.4,0.0,0.0,6
2022-01-06T14:00,-10.7,37,15.0,0.0,0.0,3
2022-01-06T15:00,-10.0,35,14.5,0.0,0.0,26
2022-01-06T16:00,-9.7,34,13.8,0.0,0.0,25
2022-01-06T17:00,-9.8,34,13.0,0.0,0.0,31
2022-01-06T18:00,-10.2,34,10.5,0.0,0.0,30
2022-01-06T19:00,-12.6,45,7.6,0.0,0.0,33
2022-01-06T20:00,-12.5,44,7.7,0.0,0.0,70
2022-01-06T21:00,-12.5,43,5.7,0.0,0.0,60
2022-01-06T22:00,-12.4,42,6.7,0.0,0.0,90
2022-01-06T23:00,-11.9,39,5.6,0.0,0.0,90
2022-01-07T00:00,-11.8,39,1.1,0.0,0.0,90
2022-01-07T01:00,-11.7,40,3.4,0.0,0.0,80
2022-01-07T02:00,-11.7,42,6.4,0.0,0.0,80
2022-01-07T03:00,-11.6,42,7.2,0.0,0.0,37
2022-01-07T04:00,-11.9,42,3.8,0.0,0.0,34
2022-01-07T05:00,-11.9,42,5.1,0.0,0.0,40
2022-01-07T06:00,-11.6,41,7.4,0.0,0.0,30
2022-01-07T07:00,-13.0,49,9.3,0.0,0.0,35
2022-01-07T08:00,-13.1,49,10.8,0.0,0.0,29
2022-01-07T09:00,-13.1,49,11.7,0.0,0.0,39
2022-01-07T10:00,-12.1,46,13.5,0.0,0.0,40
2022-01-07T11:00,-10.3,40,13.5,0.0,0.0,10
2022-01-07T12:00,-8.1,34,15.8,0.0,0.0,30
2022-01-07T13:00,-6.3,31,15.3,0.0,0.0,29
2022-01-07T14:00,-4.9,30,17.6,0.0,0.0,30
2022-01-07T15:00,-3.9,30,21.4,0.0,0.0,30
2022-01-07T16:00,-3.3,32,23.2,0.0,0.0,22
2022-01-07T17:00,-3.0,33,19.6,0.0,0.0,2
2022-01-07T18:00,-3.9,37,19.3,0.0,0.0,0
2022-01-07T19:00,-6.3,50,18.6,0.0,0.0,9
2022-01-07T20:00,-6.2,51,18.7,0.0,0.0,10
2022-01-07T21:00,-5.7,52,21.7,0.0,0.0,0
2022-01-07T22:00,-5.1,56,22.9,0.0,0.0,0
2022-01-07T23:00,-4.6,61,19.8,0.0,0.0,0
2022-01-08T00:00,-4.2,64,21.4,0.0,0.0,0
2022-01-08T01:00,-3.7,68,20.7,0.0,0.0,0
2022-01-08T02:00,-3.2,69,19.6,0.0,0.0,0
2022-01-08T03:00,-2.8,72,17.8,0.0,0.0,0
2022-01-08T04:00,-2.4,77,17.9,0.0,0.0,0
2022-01-08T05:00,-2.4,83,16.8,0.0,0.0,4
2022-01-08T06:00,-2.4,88,16.9,0.0,0.0,71
2022-01-08T07:00,-2.4,91,16.6,0.0,0.0,90
2022-01-08T08:00,-0.2,92,16.1,0.0,0.0,90
2022-01-08T09:00,0.8,94,15.1,0.0,0.0,90
2022-01-08T10:00,2.2,96,16.0,0.0,0.0,90
2022-01-08T11:00,4.6,94,14.4,0.0,0.0,90
2022-01-08T12:00,6.2,92,14.8,0.0,0.0,92
2022-01-08T13:00,7.1,91,17.4,0.0,0.0,100
2022-01-08T14:00,7.6,90,15.5,0.0,0.0,96
