Timestamp,Temperature (deg C),Relative Humidity (%),Wind Speed (km/h),Rain (mm),Snowfall (cm),Cloud Cover (%)
2022-01-01T00:00,-27.6,73,13.3,0.0,0.0,0
2022-01-01T01:00,-27.7,74,12.6,0.0,0.0,0
2022-01-01T02:00,-27.6,72,12.5,0.0,0.0,0
2022-01-01T03:00,-26.1,66,10.4,0.0,0.0,0
2022-01-01T04:00,-24.0,59,9.3,0.0,0.0,0
2022-01-01T05:00,-20.6,53,11.8,0.0,0.0,0
2022-01-01T06:00,-18.4,52,14.0,0.0,0.0,0
2022-01-01T07:00,-15.9,52,21.3,0.0,0.0,0
2022-01-01T08:00,-15.7,52,21.1,0.0,0.0,27
2022-01-01T09:00,-15.2,52,21.5,0.0,0.0,7
2022-01-01T10:00,-14.5,51,23.2,0.0,0.0,11
2022-01-01T11:00,-14.0,50,23.8,0.0,0.0,18
2022-01-01T12:00,-12.8,48,24.5,0.0,0.0,20
2022-01-01T13:00,-11.5,48,24.8,0.0,0.0,24
2022-01-01T14:00,-10.2,44,22.3,0.0,0.0,34
2022-01-01T15:00,-9.5,44,25.3,0.0,0.0,22
2022-01-01T16:00,-8.9,43,25.0,0.0,0.0,37
2022-01-01T17:00,-9.0,44,33.0,0.0,0.0,30
2022-01-01T18:00,-9.2,42,30.5,0.0,0.0,33
2022-01-01T19:00,-10.5,48,30.3,0.0,0.0,34
2022-01-01T20:00,-10.4,49,29.7,0.0,0.0,49
2022-01-01T21:00,-9.4,49,34.2,0.0,0.0,79
2022-01-01T22:00,-8.4,48,30.4,0.0,0.0,84
2022-01-01T23:00,-8.1,48,27.8,0.0,0.0,97
2022-01-02T00:00,-7.1,46,36.6,0.0,0.0,86
2022-01-02T01:00,-6.3,44,37.8,0.0,0.0,86
2022-01-02T02:00,-5.7,43,36.0,0.0,0.0,76
2022-01-02T03:00,-5.4,43,31.9,0.0,0.0,83
2022-01-02T04:00,-4.8,41,33.1,0.0,0.0,70
2022-01-02T05:00,-4.3,40,33.5,0.0,0.0,52
2022-01-02T06:00,-4.5,41,26.3,0.0,0.0,30
2022-01-02T07:00,-5.8,44,18.1,0.0,0.0,26
2022-01-02T08:00,-4.6,40,34.7,0.0,0.0,23
2022-01-02T09:00,-4.2,39,41.7,0.0,0.0,40
2022-01-02T10:00,-4.3,39,37.2,0.0,0.0,8
2022-01-02T11:00,-4.4,40,31.6,0.0,0.0,7
