Timestamp,Temperature (deg C),Relative Humidity (%),Wind Speed (km/h),Rain (mm),Snowfall (cm),Cloud Cover (%)
2022-01-01T00:00,23.4,82,18.3,0.0,0.0,20
2022-01-01T01:00,22.6,84,18.1,0.0,0.0,9
2022-01-01T02:00,22.1,86,14.5,0.0,0.0,10
2022-01-01T03:00,20.7,91,6.3,0.0,0.0,2
2022-01-01T04:00,20.6,91,9.5,0.0,0.0,6
2022-01-01T05:00,19.9,92,7.1,0.0,0.0,33
2022-01-01T06:00,19.8,92,10.2,0.0,0.0,32
2022-01-01T07:00,20.5,95,5.2,0.0,0.0,100
2022-01-01T08:00,20.7,95,5.9,0.0,0.0,30
2022-01-01T09:00,19.9,98,7.5,0.0,0.0,31
2022-01-01T10:00,21.4,89,8.0,0.0,0.0,30
2022-01-01T11:00,23.4,71,10.8,0.0,0.0,30
2022-01-01T12:00,25.7,55,10.5,0.0,0.0,30
2022-01-01T13:00,28.1,44,12.1,0.0,0.0,30
2022-01-01T14:00,29.3,32,14.8,0.0,0.0,30
2022-01-01T15:00,29.5,27,15.5,0.0,0.0,30
2022-01-01T16:00,29.7,25,12.8,0.0,0.0,11
2022-01-01T17:00,30.1,23,12.3,0.0,0.0,22
2022-01-01T18:00,28.2,40,5.9,0.0,0.0,0
2022-01-01T19:00,23.9,49,8.0,0.0,0.0,9
2022-01-01T20:00,23.4,53,12.0,0.0,0.0,0
2022-01-01T21:00,22.3,60,10.2,0.0,0.0,9
2022-01-01T22:00,20.8,67,7.9,0.0,0.0,1
2022-01-01T23:00,19.5,77,8.1,0.0,0.0,0
2022-01-02T00:00,19.5,85,11.7,0.0,0.0,0
2022-01-02T01:00,17.4,57,35.9,0.0,0.0,0
2022-01-02T02:00,12.7,40,27.7,0.0,0.0,0
2022-01-02T03:00,9.2,39,24.5,0.0,0.0,0
2022-01-02T04:00,7.5,37,20.5,0.0,0.0,0
2022-01-02T05:00,6.3,37,19.9,0.0,0.0,0
2022-01-02T06:00,5.0,36,19.8,0.0,0.0,0
2022-01-02T07:00,3.1,43,20.6,0.0,0.0,0
2022-01-02T08:00,2.2,42,23.9,0.0,0.0,0
2022-01-02T09:00,1.3,42,21.0,0.0,0.0,0
2022-01-02T10:00,1.6,39,23.4,0.0,0.0,0
2022-01-02T11:00,3.0,34,27.2,0.0,0.0,0
2022-01-02T12:00,4.6,31,26.7,0.0,0.0,0
2022-01-02T13:00,6.8,27,29.0,0.0,0.0,0
2022-01-02T14:00,8.3,24,27.2,0.0,0.0,0
2022-01-02T15:00,9.5,23,24.9,0.0,0.0,0
2022-01-02T16:00,10.4,22,23.1,0.0,0.0,0
2022-01-02T17:00,10.7,22,19.9,0.0,0.0,0
2022-01-02T18:00,10.3,22,17.2,0.0,0.0,0
2022-01-02T19:00,8.4,26,7.9,0.0,0.0,0
2022-01-02T20:00,7.4,30,6.5,0.0,0.0,0
2022-01-02T21:00,6.4,34,6.5,0.0,0.0,0
2022-01-02T22:00,5.8,37,7.2,0.0,0.0,0
2022-01-02T23:00,5.1,38,7.4,0.0,0.0,0
2022-01-03T00:00,4.2,41,6.0,0.0,0.0,0
2022-01-03T01:00,3.0,47,8.5,0.0,0.0,0
2022-01-03T02:00,2.5,50,7.5,0.0,0.0,0
2022-01-03T03:00,2.0,53,5.5,0.0,0.0,0
2022-01-03T04:00,1.6,56,4.8,0.0,0.0,0
2022-01-03T05:00,1.1,58,5.0,0.0,0.0,0
2022-01-03T06:00,0.5,63,6.9,0.0,0.0,0
2022-01-03T07:00,0.1,67,4.0,0.0,0.0,0
2022-01-03T08:00,-1.2,72,4.3,0.0,0.0,0
2022-01-03T09:00,-0.3,69,1.9,0.0,0.0,0
