Timestamp,Temperature (deg C),Relative Humidity (%),Wind Speed (km/h),Rain (mm),Snowfall (cm),Cloud Cover (%)
2022-01-01T00:00,7.9,99,8.8,0.0,0.0,100
2022-01-01T01:00,8.1,99,9.7,0.0,0.0,100
2022-01-01T02:00,8.3,99,9.3,0.1,0.0,100
2022-01-01T03:00,8.5,99,12.6,0.1,0.0,100
2022-01-01T04:00,8.6,100,11.5,0.4,0.0,100
2022-01-01T05:00,8.6,100,9.2,0.3,0.0,97
2022-01-01T06:00,8.2,100,6.2,0.2,0.0,91
2022-01-01T07:00,9.8,94,8.0,0.2,0.0,90
2022-01-01T08:00,9.5,99,9.7,0.3,0.0,90
2022-01-01T09:00,9.5,99,8.6,0.7,0.0,90
2022-01-01T10:00,10.2,99,10.9,0.5,0.0,90
2022-01-01T11:00,10.5,99,8.8,0.5,0.0,90
2022-01-01T12:00,11.2,100,9.0,0.3,0.0,91
2022-01-01T13:00,11.3,99,8.7,0.5,0.0,100
2022-01-01T14:00,11.4,99,7.1,0.4,0.0,100
2022-01-01T15:00,11.4,99,3.7,0.5,0.0,100
2022-01-01T16:00,11.3,97,2.2,1.6,0.0,100
2022-01-01T17:00,10.2,100,5.8,2.3,0.0,100
2022-01-01T18:00,9.9,100,5.8,2.7,0.0,100
2022-01-01T19:00,9.7,97,9.6,3.6,0.0,100
2022-01-01T20:00,9.4,100,4.7,1.9,0.0,100
2022-01-01T21:00,9.6,100,6.4,1.9,0.0,100
2022-01-01T22:00,8.7,100,3.4,0.1,0.0,100
2022-01-01T23:00,9.1,100,0.0,0.0,0.0,100
2022-01-02T00:00,8.8,100,3.3,0.2,0.0,100
2022-01-02T01:00,8.6,100,3.1,0.2,0.0,100
2022-01-02T02:00,8.4,100,3.3,0.2,0.0,100
2022-01-02T03:00,8.5,100,5.0,0.2,0.0,100
2022-01-02T04:00,8.2,100,5.8,0.1,0.0,100
2022-01-02T05:00,8.3,100,7.4,0.0,0.0,100
2022-01-02T06:00,8.8,100,7.5,0.0,0.0,100
2022-01-02T07:00,9.7,98,10.3,0.0,0.0,100
2022-01-02T08:00,9.4,98,11.4,0.0,0.0,100
2022-01-02T09:00,9.3,95,12.4,0.0,0.0,100
2022-01-02T10:00,8.7,96,12.0,0.0,0.0,100
2022-01-02T11:00,8.5,93,13.3,0.0,0.0,100
