Timestamp,Temperature (deg C),Relative Humidity (%),Wind Speed (km/h),Rain (mm),Snowfall (cm),Cloud Cover (%)
2022-01-01T00:00,-16.1,68,13.7,0.0,0.0,0
2022-01-01T01:00,-16.7,70,13.7,0.0,0.0,0
2022-01-01T02:00,-17.4,71,13.4,0.0,0.0,0
2022-01-01T03:00,-17.9,71,13.4,0.0,0.0,0
2022-01-01T04:00,-18.5,70,12.4,0.0,0.0,0
2022-01-01T05:00,-18.8,68,13.0,0.0,0.0,0
2022-01-01T06:00,-19.1,67,13.9,0.0,0.0,0
2022-01-01T07:00,-18.8,75,11.9,0.0,0.0,0
2022-01-01T08:00,-20.2,80,12.4,0.0,0.0,0
2022-01-01T09:00,-20.6,81,12.8,0.0,0.0,0
2022-01-01T10:00,-20.7,80,14.1,0.0,0.0,30
2022-01-01T11:00,-19.8,76,14.9,0.0,0.0,58
2022-01-01T12:00,-18.0,73,14.3,0.0,0.0,0
2022-01-01T13:00,-16.5,69,12.0,0.0,0.0,0
2022-01-01T14:00,-14.1,64,7.6,0.0,0.0,0
2022-01-01T15:00,-11.8,58,5.8,0.0,0.0,0
2022-01-01T16:00,-10.8,54,4.9,0.0,0.0,0
2022-01-01T17:00,-10.7,51,4.1,0.0,0.0,0
2022-01-01T18:00,-10.9,50,6.1,0.0,0.0,0
2022-01-01T19:00,-12.1,58,7.8,0.0,0.0,0
2022-01-01T20:00,-13.2,54,8.9,0.0,0.0,0
2022-01-01T21:00,-9.9,42,6.5,0.0,0.0,0
2022-01-01T22:00,-9.6,39,5.9,0.0,0.0,0
2022-01-01T23:00,-8.8,35,6.6,0.0,0.0,0
2022-01-02T00:00,-8.4,32,6.1,0.0,0.0,3
2022-01-02T01:00,-8.1,31,7.7,0.0,0.0,1
2022-01-02T02:00,-7.7,29,7.7,0.0,0.0,0
2022-01-02T03:00,-7.4,28,7.4,0.0,0.0,23
2022-01-02T04:00,-7.4,28,6.6,0.0,0.0,31
2022-01-02T05:00,-7.7,29,5.2,0.0,0.0,40
2022-01-02T06:00,-7.9,31,7.2,0.0,0.0,41
2022-01-02T07:00,-9.6,43,6.7,0.0,0.0,41
2022-01-02T08:00,-14.0,56,9.7,0.0,0.0,70
2022-01-02T09:00,-14.9,60,11.2,0.0,0.0,62
2022-01-02T10:00,-15.1,58,11.9,0.0,0.0,88
2022-01-02T11:00,-13.7,55,10.4,0.0,0.0,85
2022-01-02T12:00,-12.9,54,9.4,0.0,0.0,54
2022-01-02T13:00,-12.3,56,9.4,0.0,0.0,53
2022-01-02T14:00,-10.8,55,10.8,0.0,0.0,40
2022-01-02T15:00,-10.0,56,9.8,0.0,0.0,32
2022-01-02T16:00,-9.5,57,8.8,0.0,0.0,31
2022-01-02T17:00,-8.9,53,7.6,0.0,0.0,35
2022-01-02T18:00,-10.1,57,8.6,0.0,0.0,73
2022-01-02T19:00,-7.6,55,6.8,0.0,0.0,50
2022-01-02T20:00,-7.5,51,7.2,0.0,0.0,18
2022-01-02T21:00,-7.3,49,7.4,0.0,0.0,4
2022-01-02T22:00,-9.1,52,8.4,0.0,0.0,9
2022-01-02T23:00,-10.7,54,10.6,0.0,0.0,3
2022-01-03T00:00,-9.8,50,11.0,0.0,0.0,0
2022-01-03T01:00,-10.2,50,11.7,0.0,0.0,0
2022-01-03T02:00,-10.5,50,11.9,0.0,0.0,4
2022-01-03T03:00,-10.7,50,11.6,0.0,0.0,15
2022-01-03T04:00,-10.5,50,12.0,0.0,0.0,22
2022-01-03T05:00,-8.8,48,10.7,0.0,0.0,26
2022-01-03T06:00,-7.3,47,9.7,0.0,0.0,27
2022-01-03T07:00,-9.2,56,11.5,0.0,0.0,14
2022-01-03T08:00,-11.1,58,14.2,0.0,0.0,26
2022-01-03T09:00,-11.1,55,15.6,0.0,0.0,8
2022-01-03T10:00,-10.3,53,17.6,0.0,0.0,0
2022-01-03T11:00,-9.6,52,14.0,0.0,0.0,0
2022-01-03T12:00,-9.1,54,15.4,0.0,0.0,10
2022-01-03T13:00,-5.0,48,19.6,0.0,0.0,12
2022-01-03T14:00,-2.9,47,21.1,0.0,0.0,21
2022-01-03T15:00,-2.1,49,22.1,0.0,0.0,27
2022-01-03T16:00,-1.5,50,24.3,0.0,0.0,37
2022-01-03T17:00,-0.9,51,25.3,0.0,0.0,54
2022-01-03T18:00,-0.6,53,28.6,0.0,0.0,53
2022-01-03T19:00,-1.8,58,23.9,0.0,0.0,100
2022-01-03T20:00,-1.0,59,26.2,0.0,0.0,100
2022-01-03T21:00,0.2,59,28.8,0.0,0.0,61
2022-01-03T22:00,0.2,60,29.5,0.0,0.0,100
2022-01-03T23:00,0.9,63,30.8,0.0,0.0,100
2022-01-04T00:00,0.6,63,26.3,0.0,0.0,100
2022-01-04T01:00,-0.9,74,18.9,0.0,0.35,100
2022-01-04T02:00,-1.3,93,12.1,0.0,2.38,100
2022-01-04T03:00,-1.2,92,13.0,0.0,0.77,100
2022-01-04T04:00,-1.4,90,16.3,0.0,0.28,100
2022-01-04T05:00,-2.1,86,15.1,0.0,0.35,100
2022-01-04T06:00,-2.4,85,15.3,0.0,0.21,100
2022-01-04T07:00,-3.0,87,10.8,0.0,0.14,100
2022-01-04T08:00,-2.9,89,9.8,0.0,0.42,100
2022-01-04T09:00,-3.3,91,8.7,0.0,0.49,100
2022-01-04T10:00,-3.3,88,9.0,0.0,0.14,100
2022-01-04T11:00,-3.2,86,8.1,0.0,0.21,100
2022-01-04T12:00,-3.1,86,8.8,0.0,0.49,100
2022-01-04T13:00,-2.8,85,8.8,0.0,0.56,100
2022-01-04T14:00,-2.3,82,8.2,0.0,0.21,100
2022-01-04T15:00,-1.7,80,5.8,0.0,0.0,100
2022-01-04T16:00,-2.0,86,4.4,0.0,0.21,100
2022-01-04T17:00,-2.0,86,5.5,0.0,0.21,100
2022-01-04T18:00,-2.0,88,6.1,0.0,0.42,100
2022-01-04T19:00,-3.1,90,6.2,0.0,0.7,100
2022-01-04T20:00,-2.1,89,8.3,0.0,0.14,100
2022-01-04T21:00,-1.4,91,7.6,0.0,0.35,100
2022-01-04T22:00,-0.8,91,10.5,0.0,0.49,100
2022-01-04T23:00,-0.6,89,13.2,0.0,0.35,100
2022-01-05T00:00,-0.3,88,13.5,0.0,0.49,100
2022-01-05T01:00,-0.1,89,12.2,0.0,0.7,100
2022-01-05T02:00,0.4,90,16.5,0.0,0.63,100
2022-01-05T03:00,0.6,91,19.9,0.0,0.56,100
2022-01-05T04:00,0.7,92,21.5,0.0,0.63,100
2022-01-05T05:00,1.1,90,21.6,0.0,0.63,100
2022-01-05T06:00,1.7,88,23.2,0.0,0.56,100
2022-01-05T07:00,1.6,90,23.1,0.2,0.56,100
2022-01-05T08:00,1.7,90,21.7,0.2,0.07,100
2022-01-05T09:00,1.7,91,22.3,0.3,0.21,100
2022-01-05T10:00,1.5,91,20.2,0.1,0.84,100
2022-01-05T11:00,1.4,90,18.4,0.1,0.91,100
2022-01-05T12:00,1.2,91,13.3,0.1,0.56,100
2022-01-05T13:00,0.9,92,11.3,0.0,0.42,100
2022-01-05T14:00,0.6,94,8.2,0.0,0.21,100
2022-01-05T15:00,0.2,95,5.0,0.0,0.35,100
2022-01-05T16:00,-0.2,99,2.2,0.0,0.42,100
2022-01-05T17:00,-0.3,99,2.2,0.0,0.42,100
2022-01-05T18:00,-0.6,99,2.4,0.0,0.49,100
2022-01-05T19:00,-1.3,99,2.2,0.0,0.56,100
2022-01-05T20:00,-1.2,99,0.5,0.0,0.42,100
