Timestamp,Temperature (deg C),Relative Humidity (%),Wind Speed (km/h),Rain (mm),Snowfall (cm),Cloud Cover (%)
2022-01-01T00:00,-16.5,75,15.3,0.0,0.0,0
2022-01-01T01:00,-17.3,76,16.1,0.0,0.0,100
2022-01-01T02:00,-17.9,77,16.8,0.0,0.0,100
2022-01-01T03:00,-18.7,76,17.4,0.0,0.0,100
2022-01-01T04:00,-20.0,75,16.0,0.0,0.0,100
2022-01-01T05:00,-20.7,74,17.2,0.0,0.0,100
2022-01-01T06:00,-21.6,74,13.7,0.0,0.0,100
2022-01-01T07:00,-21.1,74,13.0,0.0,0.0,100
2022-01-01T08:00,-21.8,75,15.6,0.0,0.0,49
2022-01-01T09:00,-22.7,75,13.7,0.0,0.0,62
2022-01-01T10:00,-22.9,73,13.9,0.0,0.0,100
2022-01-01T11:00,-22.7,70,15.5,0.0,0.0,93
2022-01-01T12:00,-22.0,67,11.9,0.0,0.0,89
2022-01-01T13:00,-21.2,63,12.9,0.0,0.0,86
2022-01-01T14:00,-20.7,62,14.0,0.0,0.0,86
2022-01-01T15:00,-20.3,61,12.2,0.0,0.0,54
2022-01-01T16:00,-20.1,62,12.6,0.0,0.0,81
2022-01-01T17:00,-20.3,63,12.4,0.0,0.0,83
2022-01-01T18:00,-20.7,65,13.0,0.0,0.0,85
2022-01-01T19:00,-21.1,70,12.6,0.0,0.0,68
2022-01-01T20:00,-22.0,70,9.7,0.0,0.0,35
2022-01-01T21:00,-22.6,70,9.9,0.0,0.0,25
2022-01-01T22:00,-23.2,70,9.0,0.0,0.0,2
2022-01-01T23:00,-23.5,69,8.0,0.0,0.0,0
2022-01-02T00:00,-23.6,68,7.7,0.0,0.0,0
2022-01-02T01:00,-23.8,68,7.7,0.0,0.0,1
2022-01-02T02:00,-24.1,69,7.3,0.0,0.0,1
2022-01-02T03:00,-24.4,69,7.6,0.0,0.0,2
2022-01-02T04:00,-25.0,70,7.9,0.0,0.0,0
2022-01-02T05:00,-25.6,71,7.6,0.0,0.0,0
2022-01-02T06:00,-26.1,71,6.8,0.0,0.0,0
2022-01-02T07:00,-25.8,68,6.5,0.0,0.0,0
2022-01-02T08:00,-26.5,68,5.4,0.0,0.0,0
2022-01-02T09:00,-26.7,68,5.8,0.0,0.0,0
2022-01-02T10:00,-25.7,65,5.1,0.0,0.0,0
2022-01-02T11:00,-23.9,61,5.7,0.0,0.0,0
2022-01-02T12:00,-21.9,57,6.0,0.0,0.0,0
2022-01-02T13:00,-19.9,54,5.8,0.0,0.0,0
2022-01-02T14:00,-18.1,52,4.8,0.0,0.0,0
2022-01-02T15:00,-16.6,53,3.1,0.0,0.0,0
2022-01-02T16:00,-16.7,61,4.0,0.0,0.0,0
2022-01-02T17:00,-14.8,40,4.0,0.0,0.0,0
2022-01-02T18:00,-14.8,41,5.6,0.0,0.0,0
2022-01-02T19:00,-18.2,61,11.0,0.0,0.0,5
2022-01-02T20:00,-17.0,58,8.6,0.0,0.0,0
2022-01-02T21:00,-16.7,59,9.0,0.0,0.0,0
2022-01-02T22:00,-15.9,60,11.9,0.0,0.0,0
2022-01-02T23:00,-15.1,60,13.1,0.0,0.0,0
2022-01-03T00:00,-14.3,61,13.5,0.0,0.0,0
2022-01-03T01:00,-13.7,62,14.3,0.0,0.0,0
2022-01-03T02:00,-13.2,63,14.7,0.0,0.0,0
