Timestamp,Temperature (deg C),Relative Humidity (%),Wind Speed (km/h),Rain (mm),Snowfall (cm),Cloud Cover (%)
2022-01-01T00:00,7.0,98,17.3,0.0,0.0,100
2022-01-01T01:00,7.0,99,15.9,0.0,0.0,100
2022-01-01T02:00,7.2,99,13.0,0.0,0.0,100
2022-01-01T03:00,6.9,99,10.0,0.1,0.0,100
2022-01-01T04:00,6.7,99,7.1,0.3,0.0,100
2022-01-01T05:00,6.6,100,3.2,0.1,0.0,100
2022-01-01T06:00,7.0,98,5.9,0.0,0.0,100
2022-01-01T07:00,7.4,98,5.1,0.0,0.0,100
2022-01-01T08:00,7.8,98,8.0,0.0,0.0,100
2022-01-01T09:00,7.7,99,6.5,0.0,0.0,100
2022-01-01T10:00,7.8,99,9.4,0.0,0.0,100
2022-01-01T11:00,7.7,99,11.9,0.0,0.0,100
2022-01-01T12:00,7.4,99,15.2,0.1,0.0,100
2022-01-01T13:00,7.4,99,17.6,0.4,0.0,100
2022-01-01T14:00,8.1,97,20.5,0.0,0.0,100
2022-01-01T15:00,8.7,99,21.4,0.0,0.0,100
2022-01-01T16:00,9.5,98,21.7,0.0,0.0,100
2022-01-01T17:00,9.9,96,24.3,0.1,0.0,100
2022-01-01T18:00,9.8,94,24.0,0.8,0.0,100
2022-01-01T19:00,10.1,95,21.7,1.2,0.0,100
2022-01-01T20:00,10.1,95,20.9,0.0,0.0,100
2022-01-01T21:00,9.7,95,20.6,0.1,0.0,100
2022-01-01T22:00,9.1,96,20.6,0.0,0.0,100
2022-01-01T23:00,9.1,95,21.7,0.0,0.0,100
2022-01-02T00:00,9.1,96,18.7,0.0,0.0,100
2022-01-02T01:00,8.9,97,18.9,0.0,0.0,100
2022-01-02T02:00,8.9,97,19.2,0.0,0.0,100
2022-01-02T03:00,8.9,97,18.4,0.0,0.0,100
2022-01-02T04:00,9.0,97,16.8,0.0,0.0,100
2022-01-02T05:00,9.3,96,19.6,0.0,0.0,100
2022-01-02T06:00,9.2,97,17.3,0.0,0.0,100
2022-01-02T07:00,8.7,97,19.0,0.4,0.0,100
2022-01-02T08:00,9.0,96,22.0,0.6,0.0,100
2022-01-02T09:00,8.8,95,16.0,0.3,0.0,100
2022-01-02T10:00,8.6,97,11.9,0.9,0.0,100
2022-01-02T11:00,8.2,98,11.0,0.8,0.0,100
2022-01-02T12:00,8.2,97,13.2,2.0,0.0,100
2022-01-02T13:00,7.3,97,20.3,2.2,0.0,100
2022-01-02T14:00,6.8,96,22.7,1.2,0.0,100
2022-01-02T15:00,6.9,96,23.5,0.1,0.0,100
2022-01-02T16:00,7.1,95,25.5,0.0,0.0,91
2022-01-02T17:00,7.1,96,25.5,0.0,0.0,100
2022-01-02T18:00,7.5,93,22.2,0.0,0.0,100
2022-01-02T19:00,7.1,95,17.8,0.0,0.0,100
2022-01-02T20:00,7.1,96,16.9,0.0,0.0,100
2022-01-02T21:00,7.1,96,17.3,0.0,0.0,100
2022-01-02T22:00,7.0,96,16.6,0.1,0.0,100
2022-01-02T23:00,6.8,96,20.0,0.9,0.0,100
2022-01-03T00:00,6.8,94,20.3,0.1,0.0,100
2022-01-03T01:00,6.7,94,21.1,0.0,0.0,10
2022-01-03T02:00,6.2,94,23.2,0.0,0.0,94
2022-01-03T03:00,6.3,93,23.6,0.0,0.0,100
2022-01-03T04:00,6.6,90,23.8,0.0,0.0,100
2022-01-03T05:00,7.0,90,25.1,0.0,0.0,100
2022-01-03T06:00,7.6,88,28.0,0.0,0.0,57
2022-01-03T07:00,7.7,89,26.4,0.0,0.0,79
2022-01-03T08:00,7.5,89,29.6,0.1,0.0,51
