Timestamp,Temperature (deg C),Relative Humidity (%),Wind Speed (km/h),Rain (mm),Snowfall (cm),Cloud Cover (%)
2022-01-01T00:00,22.6,77,15.5,0.0,0.0,60
2022-01-01T01:00,22.5,81,6.1,0.0,0.0,22
2022-01-01T02:00,20.3,92,5.9,0.0,0.0,41
2022-01-01T03:00,20.5,93,6.6,0.0,0.0,40
2022-01-01T04:00,20.0,95,8.3,0.0,0.0,50
2022-01-01T05:00,19.9,95,12.0,0.0,0.0,37
2022-01-01T06:00,19.6,96,6.8,0.0,0.0,43
2022-01-01T07:00,20.9,95,4.8,0.0,0.0,100
2022-01-01T08:00,19.8,98,4.6,0.0,0.0,38
2022-01-01T09:00,19.1,99,3.8,0.0,0.0,32
2022-01-01T10:00,20.4,94,8.6,0.0,0.0,30
2022-01-01T11:00,22.0,77,7.2,0.0,0.0,31
2022-01-01T12:00,24.5,63,6.8,0.0,0.0,30
2022-01-01T13:00,26.8,45,12.6,0.0,0.0,30
2022-01-01T14:00,28.9,20,22.0,0.0,0.0,18
2022-01-01T15:00,29.7,16,20.5,0.0,0.0,1
2022-01-01T16:00,29.8,14,17.9,0.0,0.0,0
2022-01-01T17:00,29.7,15,13.9,0.0,0.0,0
2022-01-01T18:00,27.1,35,6.7,0.0,0.0,0
2022-01-01T19:00,22.7,38,8.1,0.0,0.0,0
2022-01-01T20:00,20.3,50,9.8,0.0,0.0,0
2022-01-01T21:00,19.4,59,10.1,0.0,0.0,0
2022-01-01T22:00,18.8,67,6.7,0.0,0.0,0
2022-01-01T23:00,18.5,62,11.4,0.0,0.0,0
2022-01-02T00:00,19.1,28,32.4,0.0,0.0,0
2022-01-02T01:00,13.4,39,29.2,0.0,0.0,0
2022-01-02T02:00,8.9,45,25.9,0.0,0.0,0
2022-01-02T03:00,6.6,40,23.4,0.0,0.0,0
2022-01-02T04:00,5.5,38,18.7,0.0,0.0,0
2022-01-02T05:00,4.2,36,17.4,0.0,0.0,0
2022-01-02T06:00,3.1,35,18.8,0.0,0.0,0
2022-01-02T07:00,0.9,44,19.7,0.0,0.0,0
2022-01-02T08:00,0.2,44,16.4,0.0,0.0,0
2022-01-02T09:00,-0.9,44,19.6,0.0,0.0,0
2022-01-02T10:00,-0.2,41,25.5,0.0,0.0,0
2022-01-02T11:00,1.6,36,23.9,0.0,0.0,0
2022-01-02T12:00,3.6,31,24.5,0.0,0.0,0
2022-01-02T13:00,5.6,27,24.2,0.0,0.0,0
2022-01-02T14:00,7.6,24,21.9,0.0,0.0,0
2022-01-02T15:00,9.1,22,20.0,0.0,0.0,0
2022-01-02T16:00,10.1,21,19.5,0.0,0.0,0
2022-01-02T17:00,10.3,20,18.3,0.0,0.0,0
2022-01-02T18:00,9.9,20,16.0,0.0,0.0,0
2022-01-02T19:00,7.9,25,8.8,0.0,0.0,0
2022-01-02T20:00,6.8,28,8.0,0.0,0.0,0
2022-01-02T21:00,5.6,31,6.3,0.0,0.0,0
2022-01-02T22:00,4.6,35,6.2,0.0,0.0,0
2022-01-02T23:00,3.8,38,6.2,0.0,0.0,0
2022-01-03T00:00,2.5,44,7.1,0.0,0.0,0
2022-01-03T01:00,1.8,48,6.7,0.0,0.0,0
2022-01-03T02:00,1.2,51,5.4,0.0,0.0,0
2022-01-03T03:00,0.7,53,4.2,0.0,0.0,0
2022-01-03T04:00,0.5,54,3.3,0.0,0.0,0
2022-01-03T05:00,0.1,56,4.3,0.0,0.0,0
2022-01-03T06:00,-0.4,59,4.3,0.0,0.0,0
2022-01-03T07:00,-1.4,63,3.6,0.0,0.0,0
2022-01-03T08:00,-2.3,66,2.9,0.0,0.0,0
2022-01-03T09:00,-1.8,64,2.5,0.0,0.0,0
2022-01-03T10:00,2.5,53,1.8,0.0,0.0,0
2022-01-03T11:00,6.3,33,2.9,0.0,0.0,0
2022-01-03T12:00,8.7,27,6.8,0.0,0.0,0
2022-01-03T13:00,10.4,24,6.9,0.0,0.0,0
2022-01-03T14:00,11.7,22,6.5,0.0,0.0,0
2022-01-03T15:00,12.7,20,6.9,0.0,0.0,0
2022-01-03T16:00,13.1,20,7.6,0.0,0.0,0
2022-01-03T17:00,13.0,20,8.4,0.0,0.0,0
2022-01-03T18:00,12.1,21,8.7,0.0,0.0,0
2022-01-03T19:00,9.8,25,7.7,0.0,0.0,29
2022-01-03T20:00,9.4,26,9.4,0.0,0.0,20
2022-01-03T21:00,8.6,27,10.2,0.0,0.0,79
2022-01-03T22:00,8.8,27,11.5,0.0,0.0,85
2022-01-03T23:00,8.9,26,11.0,0.0,0.0,90
2022-01-04T00:00,8.6,27,11.0,0.0,0.0,38
2022-01-04T01:00,7.5,31,9.9,0.0,0.0,50
2022-01-04T02:00,7.1,32,9.9,0.0,0.0,36
2022-01-04T03:00,5.8,37,8.9,0.0,0.0,16
2022-01-04T04:00,5.4,39,14.7,0.0,0.0,16
2022-01-04T05:00,4.2,44,8.5,0.0,0.0,0
2022-01-04T06:00,3.4,48,8.8,0.0,0.0,0
2022-01-04T07:00,3.3,50,9.9,0.0,0.0,0
2022-01-04T08:00,3.9,46,7.7,0.0,0.0,0
2022-01-04T09:00,3.7,51,7.4,0.0,0.0,0
2022-01-04T10:00,6.7,43,4.0,0.0,0.0,0
2022-01-04T11:00,9.6,40,5.5,0.0,0.0,0
2022-01-04T12:00,12.2,40,9.3,0.0,0.0,0
2022-01-04T13:00,14.3,39,12.5,0.0,0.0,0
2022-01-04T14:00,16.0,35,13.1,0.0,0.0,0
2022-01-04T15:00,17.2,32,12.6,0.0,0.0,0
2022-01-04T16:00,18.0,32,12.2,0.0,0.0,0
2022-01-04T17:00,18.3,32,11.3,0.0,0.0,0
2022-01-04T18:00,17.7,34,8.8,0.0,0.0,0
2022-01-04T19:00,15.2,39,7.6,0.0,0.0,0
2022-01-04T20:00,13.8,44,8.0,0.0,0.0,0
2022-01-04T21:00,11.8,51,9.5,0.0,0.0,0
2022-01-04T22:00,11.8,52,9.2,0.0,0.0,0
2022-01-04T23:00,12.5,50,6.9,0.0,0.0,0
2022-01-05T00:00,12.2,51,6.8,0.0,0.0,0
2022-01-05T01:00,12.3,51,7.9,0.0,0.0,0
2022-01-05T02:00,12.3,52,5.8,0.0,0.0,0
2022-01-05T03:00,11.7,54,4.4,0.0,0.0,0
2022-01-05T04:00,10.1,60,2.5,0.0,0.0,0
2022-01-05T05:00,7.7,71,3.3,0.0,0.0,0
2022-01-05T06:00,8.7,67,1.5,0.0,0.0,0
2022-01-05T07:00,9.5,65,1.1,0.0,0.0,0
2022-01-05T08:00,5.6,79,4.8,0.0,0.0,0
2022-01-05T09:00,6.0,82,5.1,0.0,0.0,0
2022-01-05T10:00,10.3,65,9.5,0.0,0.0,0
2022-01-05T11:00,14.8,51,6.3,0.0,0.0,0
2022-01-05T12:00,18.4,38,6.7,0.0,0.0,0
2022-01-05T13:00,21.3,25,10.0,0.0,0.0,0
2022-01-05T14:00,23.2,19,9.3,0.0,0.0,4
2022-01-05T15:00,24.4,17,7.9,0.0,0.0,0
2022-01-05T16:00,25.1,15,6.2,0.0,0.0,4
2022-01-05T17:00,25.1,14,3.9,0.0,0.0,6
2022-01-05T18:00,22.4,24,5.2,0.0,0.0,10
2022-01-05T19:00,19.0,23,8.7,0.0,0.0,0
2022-01-05T20:00,17.5,26,8.7,0.0,0.0,0
2022-01-05T21:00,14.9,33,12.3,0.0,0.0,0
2022-01-05T22:00,13.6,33,6.1,0.0,0.0,0
2022-01-05T23:00,12.3,42,7.3,0.0,0.0,0
2022-01-06T00:00,11.3,47,10.3,0.0,0.0,0
2022-01-06T01:00,10.6,42,7.0,0.0,0.0,0
2022-01-06T02:00,9.2,42,6.1,0.0,0.0,0
2022-01-06T03:00,8.4,44,5.3,0.0,0.0,0
2022-01-06T04:00,7.7,47,5.9,0.0,0.0,0
2022-01-06T05:00,6.9,51,5.6,0.0,0.0,0
2022-01-06T06:00,6.6,53,5.5,0.0,0.0,0
2022-01-06T07:00,7.3,48,5.2,0.0,0.0,0
2022-01-06T08:00,6.1,52,5.4,0.0,0.0,0
2022-01-06T09:00,6.2,51,6.9,0.0,0.0,0
2022-01-06T10:00,10.9,39,6.9,0.0,0.0,0
2022-01-06T11:00,16.8,27,4.0,0.0,0.0,0
2022-01-06T12:00,21.2,17,4.0,0.0,0.0,0
2022-01-06T13:00,23.4,14,15.5,0.0,0.0,0
2022-01-06T14:00,22.0,15,19.5,0.0,0.0,0
2022-01-06T15:00,21.5,18,18.8,0.0,0.0,0
2022-01-06T16:00,20.2,20,20.9,0.0,0.0,0
2022-01-06T17:00,18.3,21,22.2,0.0,0.0,0
2022-01-06T18:00,15.7,22,21.0,0.0,0.0,0
2022-01-06T19:00,12.3,27,21.8,0.0,0.0,0
2022-01-06T20:00,10.2,27,21.0,0.0,0.0,0
2022-01-06T21:00,8.6,27,21.5,0.0,0.0,0
