Timestamp,Temperature (deg C),Relative Humidity (%),Wind Speed (km/h),Rain (mm),Snowfall (cm),Cloud Cover (%)
2022-01-01T00:00,8.6,70,16.8,0.3,0.0,100
2022-01-01T01:00,5.7,68,16.4,0.0,0.0,100
2022-01-01T02:00,4.4,72,18.9,0.2,0.0,100
2022-01-01T03:00,2.9,77,19.4,0.1,0.0,100
2022-01-01T04:00,2.1,77,20.7,0.1,0.0,100
2022-01-01T05:00,1.4,82,19.5,0.5,0.0,100
2022-01-01T06:00,1.0,84,21.5,0.2,0.0,100
2022-01-01T07:00,-0.5,82,19.0,0.1,0.0,100
2022-01-01T08:00,-1.5,86,20.3,0.4,0.0,100
2022-01-01T09:00,-2.1,89,19.4,1.1,0.0,100
2022-01-01T10:00,-2.7,87,20.6,0.4,0.0,71
2022-01-01T11:00,-2.5,84,21.5,0.1,0.0,100
2022-01-01T12:00,-3.8,80,26.7,0.0,0.0,100
2022-01-01T13:00,-5.1,73,25.7,0.0,0.0,100
2022-01-01T14:00,-6.0,68,24.2,0.0,0.0,100
2022-01-01T15:00,-6.9,64,24.1,0.0,0.0,90
2022-01-01T16:00,-7.1,59,26.1,0.0,0.0,90
2022-01-01T17:00,-8.2,56,28.1,0.0,0.0,97
2022-01-01T18:00,-9.0,55,27.0,0.0,0.0,91
2022-01-01T19:00,-11.0,58,25.2,0.0,0.0,93
2022-01-01T20:00,-11.0,55,27.7,0.0,0.0,58
2022-01-01T21:00,-11.1,57,23.8,0.0,0.0,35
2022-01-01T22:00,-10.6,57,19.8,0.0,0.0,100
2022-01-01T23:00,-10.6,59,21.1,0.0,0.07,100
2022-01-02T00:00,-10.5,61,21.4,0.0,0.07,100
2022-01-02T01:00,-10.7,62,25.6,0.0,0.0,78
2022-01-02T02:00,-10.8,60,25.3,0.0,0.0,100
2022-01-02T03:00,-10.9,58,22.9,0.0,0.0,100
2022-01-02T04:00,-10.6,57,19.4,0.0,0.0,100
2022-01-02T05:00,-10.2,56,21.0,0.0,0.0,87
2022-01-02T06:00,-10.4,56,19.9,0.0,0.0,0
2022-01-02T07:00,-10.9,60,17.7,0.0,0.0,23
2022-01-02T08:00,-11.7,62,14.4,0.0,0.0,27
2022-01-02T09:00,-11.6,60,14.1,0.0,0.0,1
2022-01-02T10:00,-10.7,50,17.6,0.0,0.0,0
2022-01-02T11:00,-9.1,42,15.4,0.0,0.0,0
2022-01-02T12:00,-6.9,34,12.8,0.0,0.0,0
2022-01-02T13:00,-4.9,27,13.3,0.0,0.0,0
2022-01-02T14:00,-3.2,23,11.8,0.0,0.0,0
2022-01-02T15:00,-2.1,22,12.1,0.0,0.0,0
2022-01-02T16:00,-1.7,23,8.7,0.0,0.0,0
2022-01-02T17:00,-2.0,24,7.0,0.0,0.0,0
2022-01-02T18:00,-4.4,29,6.9,0.0,0.0,0
2022-01-02T19:00,-5.9,39,7.1,0.0,0.0,0
2022-01-02T20:00,-6.0,44,7.7,0.0,0.0,0
2022-01-02T21:00,-6.0,49,9.4,0.0,0.0,0
2022-01-02T22:00,-5.8,51,10.2,0.0,0.0,0
2022-01-02T23:00,-5.7,53,9.9,0.0,0.0,0
2022-01-03T00:00,-5.6,54,9.4,0.0,0.0,0
2022-01-03T01:00,-5.5,56,9.2,0.0,0.0,0
2022-01-03T02:00,-5.5,57,8.7,0.0,0.0,0
2022-01-03T03:00,-5.3,58,9.7,0.0,0.0,0
2022-01-03T04:00,-5.3,60,9.2,0.0,0.0,0
2022-01-03T05:00,-5.5,62,7.1,0.0,0.0,0
2022-01-03T06:00,-6.3,68,7.7,0.0,0.0,0
2022-01-03T07:00,-6.0,75,6.9,0.0,0.0,0
2022-01-03T08:00,-6.4,78,8.4,0.0,0.0,0
2022-01-03T09:00,-6.3,76,7.4,0.0,0.0,0
2022-01-03T10:00,-3.3,59,10.5,0.0,0.0,0
2022-01-03T11:00,-0.2,45,8.5,0.0,0.0,0
2022-01-03T12:00,2.5,35,8.7,0.0,0.0,0
2022-01-03T13:00,4.8,28,10.5,0.0,0.0,0
2022-01-03T14:00,6.7,24,11.5,0.0,0.0,0
2022-01-03T15:00,7.8,22,12.6,0.0,0.0,0
2022-01-03T16:00,8.1,22,14.1,0.0,0.0,0
2022-01-03T17:00,7.1,25,13.8,0.0,0.0,0
2022-01-03T18:00,4.1,34,13.4,0.0,0.0,0
2022-01-03T19:00,2.5,43,15.3,0.0,0.0,0
2022-01-03T20:00,2.6,45,17.5,0.0,0.0,0
2022-01-03T21:00,2.4,48,19.6,0.0,0.0,0
2022-01-03T22:00,2.0,54,19.6,0.0,0.0,0
2022-01-03T23:00,1.9,61,20.2,0.0,0.0,0
2022-01-04T00:00,1.6,66,20.5,0.0,0.0,0
2022-01-04T01:00,1.3,66,20.9,0.0,0.0,0
2022-01-04T02:00,1.1,65,22.3,0.0,0.0,0
2022-01-04T03:00,0.9,64,23.0,0.0,0.0,0
2022-01-04T04:00,0.8,63,25.2,0.0,0.0,0
2022-01-04T05:00,0.8,60,24.5,0.0,0.0,0
2022-01-04T06:00,0.7,58,25.2,0.0,0.0,0
2022-01-04T07:00,2.5,49,29.3,0.0,0.0,26
2022-01-04T08:00,2.5,49,28.7,0.0,0.0,30
