Timestamp,Temperature (deg C),Relative Humidity (%),Wind Speed (km/h),Rain (mm),Snowfall (cm),Cloud Cover (%)
2022-01-01T00:00,-20.3,48,20.9,0.0,0.0,90
2022-01-01T01:00,-20.7,53,19.6,0.0,0.0,69
2022-01-01T02:00,-20.5,55,20.2,0.0,0.0,60
2022-01-01T03:00,-20.8,55,20.1,0.0,0.0,60
2022-01-01T04:00,-21.2,57,20.8,0.0,0.0,90
2022-01-01T05:00,-21.3,53,19.1,0.0,0.0,36
2022-01-01T06:00,-22.0,54,17.9,0.0,0.0,89
2022-01-01T07:00,-22.3,51,18.2,0.0,0.0,89
2022-01-01T08:00,-22.7,52,16.6,0.0,0.0,51
2022-01-01T09:00,-22.5,51,16.3,0.0,0.0,87
2022-01-01T10:00,-22.3,50,15.8,0.0,0.0,89
2022-01-01T11:00,-21.3,47,16.5,0.0,0.0,86
2022-01-01T12:00,-20.2,45,17.2,0.0,0.0,85
2022-01-01T13:00,-19.3,47,17.4,0.0,0.0,43
2022-01-01T14:00,-18.3,47,17.3,0.0,0.0,41
2022-01-01T15:00,-17.8,47,16.1,0.0,0.0,62
2022-01-01T16:00,-17.6,49,16.5,0.0,0.0,66
2022-01-01T17:00,-17.9,52,16.9,0.0,0.0,55
2022-01-01T18:00,-18.9,59,14.0,0.0,0.0,13
2022-01-01T19:00,-19.7,68,13.0,0.0,0.0,5
2022-01-01T20:00,-20.0,69,11.9,0.0,0.0,2
2022-01-01T21:00,-20.1,71,10.5,0.0,0.0,24
2022-01-01T22:00,-20.2,72,8.0,0.0,0.0,13
2022-01-01T23:00,-20.3,75,7.2,0.0,0.0,30
2022-01-02T00:00,-20.4,74,8.0,0.0,0.0,24
2022-01-02T01:00,-20.6,71,7.6,0.0,0.0,0
2022-01-02T02:00,-20.7,68,6.7,0.0,0.0,0
2022-01-02T03:00,-20.8,67,7.1,0.0,0.0,0
2022-01-02T04:00,-20.8,63,5.9,0.0,0.0,0
2022-01-02T05:00,-20.8,60,5.6,0.0,0.0,0
2022-01-02T06:00,-20.8,58,4.0,0.0,0.0,0
2022-01-02T07:00,-22.3,63,6.1,0.0,0.0,1
2022-01-02T08:00,-21.5,63,4.5,0.0,0.0,11
2022-01-02T09:00,-21.2,63,6.9,0.0,0.0,2
2022-01-02T10:00,-20.0,57,8.3,0.0,0.0,0
2022-01-02T11:00,-17.6,49,9.4,0.0,0.0,0
2022-01-02T12:00,-15.0,42,10.8,0.0,0.0,0
2022-01-02T13:00,-12.6,37,13.0,0.0,0.0,0
2022-01-02T14:00,-10.5,35,14.1,0.0,0.0,0
2022-01-02T15:00,-8.9,33,14.4,0.0,0.0,0
2022-01-02T16:00,-7.9,33,13.2,0.0,0.0,0
2022-01-02T17:00,-8.0,35,12.6,0.0,0.0,0
2022-01-02T18:00,-10.0,41,10.1,0.0,0.0,0
2022-01-02T19:00,-10.5,47,13.0,0.0,0.0,2
2022-01-02T20:00,-10.6,48,13.0,0.0,0.0,0
2022-01-02T21:00,-10.7,50,14.4,0.0,0.0,0
2022-01-02T22:00,-10.6,51,15.2,0.0,0.0,0
2022-01-02T23:00,-10.5,52,15.2,0.0,0.0,0
2022-01-03T00:00,-10.3,53,14.0,0.0,0.0,0
2022-01-03T01:00,-10.3,55,12.5,0.0,0.0,12
2022-01-03T02:00,-10.2,56,11.4,0.0,0.0,0
2022-01-03T03:00,-10.2,58,10.1,0.0,0.0,0
2022-01-03T04:00,-10.3,61,8.4,0.0,0.0,0
2022-01-03T05:00,-10.6,65,7.6,0.0,0.0,0
2022-01-03T06:00,-11.2,71,7.4,0.0,0.0,0
2022-01-03T07:00,-11.4,78,6.8,0.0,0.0,11
2022-01-03T08:00,-12.2,79,7.1,0.0,0.0,12
2022-01-03T09:00,-11.4,80,9.7,0.0,0.0,16
2022-01-03T10:00,-9.7,77,10.9,0.0,0.0,0
2022-01-03T11:00,-6.4,64,10.7,0.0,0.0,0
2022-01-03T12:00,-3.2,52,7.8,0.0,0.0,0
2022-01-03T13:00,-0.4,44,10.1,0.0,0.0,0
2022-01-03T14:00,1.6,39,9.8,0.0,0.0,0
2022-01-03T15:00,2.9,36,8.5,0.0,0.0,0
2022-01-03T16:00,3.3,35,7.6,0.0,0.0,0
2022-01-03T17:00,0.9,42,7.8,0.0,0.0,0
2022-01-03T18:00,1.6,41,4.3,0.0,0.0,15
2022-01-03T19:00,-4.2,65,6.4,0.0,0.0,24
2022-01-03T20:00,-6.0,74,7.4,0.0,0.0,29
2022-01-03T21:00,-6.3,75,8.4,0.0,0.0,24
2022-01-03T22:00,-6.6,76,8.4,0.0,0.0,30
2022-01-03T23:00,-6.9,78,8.4,0.0,0.0,12
2022-01-04T00:00,-7.3,79,7.3,0.0,0.0,25
2022-01-04T01:00,-6.1,78,9.7,0.0,0.0,26
2022-01-04T02:00,-5.3,80,12.2,0.0,0.0,30
2022-01-04T03:00,-4.8,79,12.2,0.0,0.0,30
2022-01-04T04:00,-3.8,72,14.4,0.0,0.0,30
2022-01-04T05:00,-3.1,64,17.4,0.0,0.0,30
2022-01-04T06:00,-2.2,59,19.6,0.0,0.0,30
2022-01-04T07:00,-1.8,64,18.2,0.0,0.0,30
2022-01-04T08:00,-1.7,63,17.4,0.0,0.0,33
2022-01-04T09:00,-1.6,62,19.5,0.0,0.0,41
2022-01-04T10:00,-1.1,60,18.4,0.0,0.0,53
2022-01-04T11:00,0.3,54,14.4,0.0,0.0,7
2022-01-04T12:00,2.4,47,15.5,0.0,0.0,33
2022-01-04T13:00,4.0,42,15.0,0.0,0.0,62
2022-01-04T14:00,5.4,37,15.6,0.0,0.0,86
2022-01-04T15:00,4.8,39,20.2,0.0,0.0,21
2022-01-04T16:00,0.7,57,26.0,0.0,0.0,8
2022-01-04T17:00,-3.2,68,29.8,0.0,0.0,50
2022-01-04T18:00,-6.3,74,33.4,0.0,0.0,100
2022-01-04T19:00,-9.7,69,36.7,0.0,0.0,100
2022-01-04T20:00,-10.4,66,39.0,0.0,0.0,100
2022-01-04T21:00,-11.0,63,39.3,0.0,0.0,100
2022-01-04T22:00,-12.4,60,39.7,0.0,0.0,100
2022-01-04T23:00,-13.5,60,38.3,0.0,0.0,100
2022-01-05T00:00,-14.2,60,38.2,0.0,0.0,100
2022-01-05T01:00,-14.6,57,39.5,0.0,0.0,100
2022-01-05T02:00,-15.2,57,38.4,0.0,0.0,77
2022-01-05T03:00,-15.7,57,41.3,0.0,0.0,90
2022-01-05T04:00,-16.2,60,35.9,0.0,0.0,70
