Timestamp,Temperature (deg C),Relative Humidity (%),Wind Speed (km/h),Rain (mm),Snowfall (cm),Cloud Cover (%)
2022-01-01T00:00,1.2,78,18.4,0.0,0.0,88
2022-01-01T01:00,-0.1,79,19.7,0.0,0.0,100
2022-01-01T02:00,-0.6,77,21.0,0.1,0.0,96
2022-01-01T03:00,-1.3,78,20.9,0.0,0.0,100
2022-01-01T04:00,-1.1,76,20.6,0.1,0.0,100
2022-01-01T05:00,-1.4,76,20.9,0.1,0.0,100
2022-01-01T06:00,-2.2,78,23.9,0.2,0.0,100
2022-01-01T07:00,-3.8,75,21.7,0.1,0.0,100
2022-01-01T08:00,-4.4,77,22.1,0.0,0.0,100
2022-01-01T09:00,-5.3,78,19.5,0.2,0.07,100
2022-01-01T10:00,-6.0,88,22.3,1.1,0.14,100
2022-01-01T11:00,-7.1,81,25.9,0.0,0.14,91
2022-01-01T12:00,-7.8,73,27.5,0.0,0.0,100
2022-01-01T13:00,-8.7,68,27.9,0.0,0.0,100
2022-01-01T14:00,-9.1,63,27.8,0.0,0.0,100
2022-01-01T15:00,-9.4,59,26.8,0.0,0.0,91
2022-01-01T16:00,-9.8,57,28.3,0.0,0.0,99
2022-01-01T17:00,-10.1,56,29.6,0.0,0.0,97
2022-01-01T18:00,-10.6,58,28.1,0.0,0.0,90
2022-01-01T19:00,-11.8,58,25.6,0.0,0.0,100
2022-01-01T20:00,-11.7,60,26.0,0.0,0.0,100
2022-01-01T21:00,-11.8,62,26.7,0.0,0.0,84
2022-01-01T22:00,-11.9,64,23.5,0.0,0.0,86
2022-01-01T23:00,-11.9,64,21.6,0.0,0.0,100
2022-01-02T00:00,-11.4,61,23.1,0.0,0.0,100
2022-01-02T01:00,-11.3,60,22.1,0.0,0.0,100
2022-01-02T02:00,-11.6,61,25.8,0.0,0.0,100
2022-01-02T03:00,-11.5,59,25.4,0.0,0.0,68
2022-01-02T04:00,-11.6,58,20.6,0.0,0.0,71
2022-01-02T05:00,-11.9,58,19.1,0.0,0.0,60
2022-01-02T06:00,-11.6,56,18.9,0.0,0.0,60
2022-01-02T07:00,-12.4,60,14.6,0.0,0.0,59
2022-01-02T08:00,-12.6,58,13.7,0.0,0.0,16
2022-01-02T09:00,-12.8,59,15.5,0.0,0.0,0
