Timestamp,Temperature (deg C),Relative Humidity (%),Wind Speed (km/h),Rain (mm),Snowfall (cm),Cloud Cover (%)
2022-01-01T00:00,11.6,65,6.9,0.0,0.0,51
2022-01-01T01:00,10.5,64,7.4,0.0,0.0,19
2022-01-01T02:00,9.9,65,8.9,0.0,0.0,27
2022-01-01T03:00,9.6,66,9.4,0.0,0.0,59
2022-01-01T04:00,9.5,67,7.4,0.0,0.0,35
2022-01-01T05:00,7.7,72,5.8,0.0,0.0,15
2022-01-01T06:00,7.9,67,3.7,0.0,0.0,8
2022-01-01T07:00,8.2,58,9.0,0.0,0.0,25
2022-01-01T08:00,8.1,53,6.6,0.0,0.0,20
2022-01-01T09:00,7.5,52,9.2,0.0,0.0,16
2022-01-01T10:00,7.3,52,9.5,0.0,0.0,11
2022-01-01T11:00,8.5,46,11.3,0.0,0.0,2
2022-01-01T12:00,10.7,31,13.4,0.0,0.0,2
2022-01-01T13:00,11.4,24,14.8,0.0,0.0,1
2022-01-01T14:00,11.9,20,16.2,0.0,0.0,2
2022-01-01T15:00,12.3,18,15.0,0.0,0.0,4
2022-01-01T16:00,12.7,17,11.6,0.0,0.0,1
2022-01-01T17:00,12.9,17,10.2,0.0,0.0,9
2022-01-01T18:00,12.5,18,11.2,0.0,0.0,3
2022-01-01T19:00,11.8,28,8.1,0.0,0.0,9
2022-01-01T20:00,9.1,41,7.3,0.0,0.0,24
2022-01-01T21:00,8.2,45,7.2,0.0,0.0,26
2022-01-01T22:00,8.2,39,4.3,0.0,0.0,0
2022-01-01T23:00,7.9,35,4.6,0.0,0.0,0
2022-01-02T00:00,9.7,20,2.2,0.0,0.0,2
2022-01-02T01:00,6.7,36,5.8,0.0,0.0,7
2022-01-02T02:00,8.0,26,5.8,0.0,0.0,8
2022-01-02T03:00,8.3,25,4.7,0.0,0.0,0
2022-01-02T04:00,7.2,29,5.9,0.0,0.0,0
2022-01-02T05:00,6.2,33,6.4,0.0,0.0,0
2022-01-02T06:00,6.0,33,6.8,0.0,0.0,0
2022-01-02T07:00,7.0,33,6.8,0.0,0.0,0
2022-01-02T08:00,5.3,40,7.0,0.0,0.0,0
2022-01-02T09:00,6.3,34,5.2,0.0,0.0,0
2022-01-02T10:00,5.8,35,5.0,0.0,0.0,0
2022-01-02T11:00,4.4,58,5.6,0.0,0.0,0
2022-01-02T12:00,7.6,38,3.8,0.0,0.0,0
2022-01-02T13:00,9.1,29,5.2,0.0,0.0,0
2022-01-02T14:00,10.1,27,4.3,0.0,0.0,0
2022-01-02T15:00,10.9,26,3.1,0.0,0.0,0
2022-01-02T16:00,11.5,24,4.1,0.0,0.0,0
2022-01-02T17:00,11.9,23,4.1,0.0,0.0,0
2022-01-02T18:00,11.6,24,2.7,0.0,0.0,0
2022-01-02T19:00,10.8,29,4.0,0.0,0.0,0
2022-01-02T20:00,8.4,49,5.0,0.0,0.0,0
2022-01-02T21:00,7.6,54,5.8,0.0,0.0,0
2022-01-02T22:00,7.2,53,5.0,0.0,0.0,0
2022-01-02T23:00,7.6,45,4.0,0.0,0.0,0
