Timestamp,Temperature (deg C),Relative Humidity (%),Wind Speed (km/h),Rain (mm),Snowfall (cm),Cloud Cover (%)
2022-01-01T00:00,7.8,98,9.0,0.0,0.0,87
2022-01-01T01:00,7.8,95,8.0,0.0,0.0,82
2022-01-01T02:00,7.8,92,8.6,0.0,0.0,67
2022-01-01T03:00,7.3,92,7.2,0.0,0.0,35
2022-01-01T04:00,6.8,91,4.7,0.0,0.0,38
2022-01-01T05:00,6.3,93,6.6,0.0,0.0,46
2022-01-01T06:00,6.3,93,8.5,0.0,0.0,47
2022-01-01T07:00,9.0,80,4.3,0.0,0.0,90
2022-01-01T08:00,9.1,67,4.0,0.0,0.0,89
2022-01-01T09:00,8.8,61,4.9,0.0,0.0,31
2022-01-01T10:00,7.5,63,6.1,0.0,0.0,29
2022-01-01T11:00,8.0,68,11.3,0.0,0.0,23
2022-01-01T12:00,9.5,58,12.5,0.0,0.0,5
2022-01-01T13:00,10.4,52,14.3,0.0,0.0,8
2022-01-01T14:00,11.7,48,12.1,0.0,0.0,0
2022-01-01T15:00,12.6,49,5.6,0.0,0.0,4
2022-01-01T16:00,12.9,53,3.6,0.0,0.0,4
2022-01-01T17:00,13.2,55,2.6,0.0,0.0,3
2022-01-01T18:00,13.0,53,4.3,0.0,0.0,4
2022-01-01T19:00,11.3,66,4.3,0.0,0.0,3
2022-01-01T20:00,8.8,83,2.7,0.0,0.0,8
2022-01-01T21:00,8.5,68,3.8,0.0,0.0,6
2022-01-01T22:00,7.7,59,3.1,0.0,0.0,11
2022-01-01T23:00,7.2,55,3.9,0.0,0.0,0
2022-01-02T00:00,6.4,54,5.2,0.0,0.0,0
2022-01-02T01:00,6.7,52,7.9,0.0,0.0,3
2022-01-02T02:00,7.7,54,6.8,0.0,0.0,0
2022-01-02T03:00,7.2,49,8.4,0.0,0.0,0
2022-01-02T04:00,7.2,47,9.9,0.0,0.0,0
2022-01-02T05:00,8.0,38,12.8,0.0,0.0,0
2022-01-02T06:00,7.8,36,13.8,0.0,0.0,0
2022-01-02T07:00,7.2,43,13.1,0.0,0.0,0
2022-01-02T08:00,6.4,44,8.7,0.0,0.0,0
2022-01-02T09:00,5.8,44,6.1,0.0,0.0,0
2022-01-02T10:00,5.8,42,7.3,0.0,0.0,0
2022-01-02T11:00,7.6,48,9.3,0.0,0.0,0
2022-01-02T12:00,10.9,50,8.1,0.0,0.0,0
2022-01-02T13:00,12.8,33,0.8,0.0,0.0,0
2022-01-02T14:00,13.1,37,2.7,0.0,0.0,0
2022-01-02T15:00,13.9,37,1.5,0.0,0.0,0
2022-01-02T16:00,14.6,35,1.5,0.0,0.0,0
2022-01-02T17:00,14.8,34,1.1,0.0,0.0,0
2022-01-02T18:00,14.4,37,1.9,0.0,0.0,0
2022-01-02T19:00,13.2,60,2.3,0.0,0.0,0
2022-01-02T20:00,10.5,57,4.7,0.0,0.0,0
2022-01-02T21:00,9.4,53,6.3,0.0,0.0,0
2022-01-02T22:00,8.4,55,5.4,0.0,0.0,0
2022-01-02T23:00,7.8,56,4.3,0.0,0.0,0
