Timestamp,Temperature (deg C),Relative Humidity (%),Wind Speed (km/h),Rain (mm),Snowfall (cm),Cloud Cover (%)
2022-01-01T00:00,-17.9,77,13.2,0.0,0.0,12
2022-01-01T01:00,-19.3,80,13.0,0.0,0.0,100
2022-01-01T02:00,-19.9,77,14.4,0.0,0.0,100
2022-01-01T03:00,-20.8,75,13.4,0.0,0.0,92
2022-01-01T04:00,-21.9,76,13.2,0.0,0.0,91
2022-01-01T05:00,-22.7,75,13.1,0.0,0.0,100
2022-01-01T06:00,-23.5,75,11.6,0.0,0.0,62
2022-01-01T07:00,-22.9,75,9.2,0.0,0.0,100
2022-01-01T08:00,-23.5,76,11.4,0.0,0.0,86
2022-01-01T09:00,-24.7,77,11.8,0.0,0.0,57
2022-01-01T10:00,-24.6,75,10.0,0.0,0.0,43
2022-01-01T11:00,-24.1,69,13.3,0.0,0.0,47
2022-01-01T12:00,-23.3,66,9.2,0.0,0.0,78
2022-01-01T13:00,-22.3,63,10.4,0.0,0.0,69
2022-01-01T14:00,-21.7,60,10.5,0.0,0.0,34
2022-01-01T15:00,-21.2,60,9.3,0.0,0.0,31
2022-01-01T16:00,-21.2,63,11.9,0.0,0.0,31
2022-01-01T17:00,-21.4,65,7.4,0.0,0.0,34
2022-01-01T18:00,-22.1,73,7.7,0.0,0.0,30
2022-01-01T19:00,-22.8,76,9.4,0.0,0.0,32
2022-01-01T20:00,-23.6,75,7.4,0.0,0.0,3
2022-01-01T21:00,-24.3,74,7.6,0.0,0.0,0
2022-01-01T22:00,-24.7,73,7.1,0.0,0.0,0
2022-01-01T23:00,-26.9,76,10.7,0.0,0.0,0
2022-01-02T00:00,-27.2,77,10.4,0.0,0.0,0
2022-01-02T01:00,-28.2,77,11.8,0.0,0.0,5
2022-01-02T02:00,-28.8,78,12.1,0.0,0.0,5
2022-01-02T03:00,-28.6,78,11.5,0.0,0.0,0
2022-01-02T04:00,-28.8,79,10.6,0.0,0.0,0
2022-01-02T05:00,-29.0,78,10.1,0.0,0.0,0
2022-01-02T06:00,-29.0,77,9.3,0.0,0.0,0
2022-01-02T07:00,-29.3,76,8.0,0.0,0.0,0
2022-01-02T08:00,-29.5,76,8.6,0.0,0.0,0
2022-01-02T09:00,-29.9,76,9.4,0.0,0.0,0
2022-01-02T10:00,-28.3,73,7.1,0.0,0.0,0
2022-01-02T11:00,-25.3,65,3.6,0.0,0.0,0
2022-01-02T12:00,-23.4,62,4.4,0.0,0.0,1
2022-01-02T13:00,-21.5,60,5.6,0.0,0.0,0
2022-01-02T14:00,-19.9,59,5.0,0.0,0.0,0
2022-01-02T15:00,-18.6,58,4.1,0.0,0.0,0
2022-01-02T16:00,-18.1,60,2.9,0.0,0.0,0
2022-01-02T17:00,-19.0,63,5.9,0.0,0.0,0
2022-01-02T18:00,-21.1,69,8.2,0.0,0.0,0
2022-01-02T19:00,-20.2,71,9.6,0.0,0.0,0
2022-01-02T20:00,-19.8,70,10.3,0.0,0.0,0
2022-01-02T21:00,-19.3,69,11.2,0.0,0.0,0
2022-01-02T22:00,-18.4,67,12.3,0.0,0.0,0
2022-01-02T23:00,-17.5,66,12.8,0.0,0.0,0
2022-01-03T00:00,-16.7,65,12.3,0.0,0.0,0
2022-01-03T01:00,-15.8,65,13.0,0.0,0.0,0
2022-01-03T02:00,-14.9,65,13.3,0.0,0.0,0
2022-01-03T03:00,-14.3,67,14.1,0.0,0.0,0
2022-01-03T04:00,-14.0,68,12.4,0.0,0.0,0
2022-01-03T05:00,-13.9,70,11.9,0.0,0.0,0
2022-01-03T06:00,-13.8,72,11.6,0.0,0.0,0
2022-01-03T07:00,-13.5,75,11.4,0.0,0.0,0
2022-01-03T08:00,-13.8,75,10.6,0.0,0.0,4
2022-01-03T09:00,-13.7,76,9.3,0.0,0.0,54
2022-01-03T10:00,-12.3,75,8.7,0.0,0.0,61
2022-01-03T11:00,-10.1,70,6.0,0.0,0.0,49
2022-01-03T12:00,-7.8,66,5.0,0.0,0.0,59
2022-01-03T13:00,-5.7,63,3.6,0.0,0.0,60
2022-01-03T14:00,-4.1,62,5.4,0.0,0.0,58
2022-01-03T15:00,-3.4,66,2.4,0.0,0.0,47
2022-01-03T16:00,-2.4,53,1.8,0.0,0.0,27
2022-01-03T17:00,-6.4,72,8.2,0.0,0.0,16
2022-01-03T18:00,-8.4,76,8.9,0.0,0.0,27
2022-01-03T19:00,-8.3,81,7.5,0.0,0.0,30
2022-01-03T20:00,-10.9,84,9.1,0.0,0.0,30
2022-01-03T21:00,-9.1,82,10.8,0.0,0.0,30
2022-01-03T22:00,-9.3,83,10.8,0.0,0.0,30
2022-01-03T23:00,-9.5,85,10.5,0.0,0.0,30
2022-01-04T00:00,-9.7,85,10.7,0.0,0.0,30
2022-01-04T01:00,-9.8,86,10.6,0.0,0.0,30
2022-01-04T02:00,-9.8,86,10.0,0.0,0.0,30
2022-01-04T03:00,-9.6,86,8.7,0.0,0.0,30
2022-01-04T04:00,-9.8,87,9.2,0.0,0.0,30
2022-01-04T05:00,-9.1,86,9.7,0.0,0.0,30
2022-01-04T06:00,-8.0,85,10.5,0.0,0.0,30
2022-01-04T07:00,-7.7,87,8.9,0.0,0.0,30
2022-01-04T08:00,-6.8,86,11.3,0.0,0.0,30
2022-01-04T09:00,-6.0,85,11.9,0.0,0.0,30
2022-01-04T10:00,-4.8,83,13.5,0.0,0.0,30
2022-01-04T11:00,-3.1,79,14.0,0.0,0.0,77
2022-01-04T12:00,-1.7,77,15.2,0.0,0.0,88
2022-01-04T13:00,-0.5,75,14.7,0.0,0.0,90
2022-01-04T14:00,0.5,74,15.0,0.0,0.0,81
2022-01-04T15:00,1.1,74,18.0,0.0,0.0,80
2022-01-04T16:00,0.9,76,15.2,0.0,0.0,90
2022-01-04T17:00,0.4,79,11.8,0.0,0.0,89
2022-01-04T18:00,-0.6,83,11.0,0.0,0.0,41
2022-01-04T19:00,-2.1,88,8.6,0.0,0.0,100
2022-01-04T20:00,-2.2,90,7.8,0.0,0.0,100
2022-01-04T21:00,-2.3,91,6.5,0.0,0.0,100
2022-01-04T22:00,-2.5,92,8.8,0.0,0.0,100
2022-01-04T23:00,-2.5,92,10.4,0.0,0.0,100
2022-01-05T00:00,-3.6,92,18.2,0.0,0.07,100
2022-01-05T01:00,-5.2,89,20.1,0.0,0.21,100
2022-01-05T02:00,-6.2,86,21.1,0.0,0.21,100
2022-01-05T03:00,-7.8,87,20.2,0.0,0.14,100
2022-01-05T04:00,-10.3,85,19.8,0.0,0.07,100
2022-01-05T05:00,-10.7,85,14.7,0.0,0.07,100
2022-01-05T06:00,-10.9,88,18.9,0.0,0.07,100
2022-01-05T07:00,-9.6,83,17.6,0.0,0.21,100
2022-01-05T08:00,-10.1,79,20.6,0.0,0.21,100
2022-01-05T09:00,-11.1,81,21.1,0.0,0.21,100
2022-01-05T10:00,-11.7,79,20.0,0.0,0.14,100
2022-01-05T11:00,-11.9,76,21.3,0.0,0.07,100
2022-01-05T12:00,-12.1,73,21.5,0.0,0.07,100
2022-01-05T13:00,-12.2,71,21.3,0.0,0.07,100
2022-01-05T14:00,-12.2,71,21.5,0.0,0.07,100
2022-01-05T15:00,-12.4,71,21.0,0.0,0.07,100
2022-01-05T16:00,-12.7,70,20.9,0.0,0.07,100
2022-01-05T17:00,-13.3,71,19.8,0.0,0.07,100
2022-01-05T18:00,-14.2,74,17.7,0.0,0.07,100
2022-01-05T19:00,-14.4,76,15.1,0.0,0.07,100
2022-01-05T20:00,-14.8,75,14.9,0.0,0.07,100
2022-01-05T21:00,-15.2,76,14.6,0.1,0.0,100
2022-01-05T22:00,-15.4,76,15.3,0.0,0.07,100
2022-01-05T23:00,-15.9,74,16.6,0.0,0.07,100
2022-01-06T00:00,-16.4,74,15.9,0.0,0.07,100
2022-01-06T01:00,-16.9,73,15.1,0.0,0.07,100
2022-01-06T02:00,-17.2,73,14.4,0.0,0.07,100
2022-01-06T03:00,-17.6,73,14.9,0.0,0.07,100
2022-01-06T04:00,-18.0,73,15.0,0.0,0.07,100
2022-01-06T05:00,-18.6,74,14.1,0.0,0.0,100
2022-01-06T06:00,-19.1,75,13.8,0.0,0.0,100
2022-01-06T07:00,-20.7,77,12.1,0.0,0.0,100
2022-01-06T08:00,-21.0,76,11.8,0.0,0.0,100
2022-01-06T09:00,-21.4,77,10.9,0.0,0.0,100
2022-01-06T10:00,-21.3,75,11.5,0.0,0.0,100
2022-01-06T11:00,-20.8,72,13.8,0.0,0.0,81
2022-01-06T12:00,-20.1,69,13.8,0.0,0.0,78
2022-01-06T13:00,-19.6,67,13.8,0.0,0.0,95
2022-01-06T14:00,-19.4,65,14.4,0.0,0.0,90
2022-01-06T15:00,-19.4,65,13.5,0.0,0.0,90
2022-01-06T16:00,-19.7,66,13.0,0.0,0.0,82
2022-01-06T17:00,-20.5,69,12.9,0.0,0.0,53
2022-01-06T18:00,-21.9,74,9.8,0.0,0.0,4
2022-01-06T19:00,-23.4,77,8.9,0.0,0.0,6
2022-01-06T20:00,-23.9,76,7.7,0.0,0.0,0
2022-01-06T21:00,-24.4,75,8.0,0.0,0.0,0
2022-01-06T22:00,-25.0,75,7.4,0.0,0.0,0
2022-01-06T23:00,-25.6,75,8.2,0.0,0.0,2
2022-01-07T00:00,-25.9,75,9.5,0.0,0.0,14
2022-01-07T01:00,-26.7,75,7.0,0.0,0.0,1
2022-01-07T02:00,-29.0,77,10.7,0.0,0.0,0
2022-01-07T03:00,-29.3,79,10.0,0.0,0.0,0
2022-01-07T04:00,-29.8,78,8.9,0.0,0.0,0
2022-01-07T05:00,-31.4,78,11.3,0.0,0.0,0
2022-01-07T06:00,-30.8,78,8.9,0.0,0.0,0
2022-01-07T07:00,-30.7,77,8.4,0.0,0.0,2
2022-01-07T08:00,-30.2,78,6.8,0.0,0.0,2
2022-01-07T09:00,-29.8,78,6.3,0.0,0.0,0
2022-01-07T10:00,-29.6,77,4.2,0.0,0.0,10
2022-01-07T11:00,-26.7,68,5.2,0.0,0.0,0
2022-01-07T12:00,-24.5,61,6.1,0.0,0.0,6
2022-01-07T13:00,-22.3,61,7.5,0.0,0.0,30
2022-01-07T14:00,-20.7,61,9.4,0.0,0.0,22
2022-01-07T15:00,-19.5,61,10.7,0.0,0.0,30
2022-01-07T16:00,-18.5,65,11.5,0.0,0.0,30
2022-01-07T17:00,-17.9,70,10.6,0.0,0.0,70
2022-01-07T18:00,-16.5,70,17.3,0.0,0.0,90
2022-01-07T19:00,-16.2,73,19.6,0.0,0.0,90
2022-01-07T20:00,-15.2,72,20.2,0.0,0.07,90
2022-01-07T21:00,-14.1,71,21.7,0.0,0.14,90
2022-01-07T22:00,-13.2,68,25.6,0.0,0.0,60
2022-01-07T23:00,-13.3,67,23.9,0.0,0.0,72
2022-01-08T00:00,-13.3,70,23.3,0.0,0.0,90
2022-01-08T01:00,-12.4,69,24.9,0.0,0.0,46
2022-01-08T02:00,-12.5,67,25.5,0.0,0.0,30
2022-01-08T03:00,-12.1,68,23.5,0.0,0.0,30
2022-01-08T04:00,-11.4,68,22.0,0.0,0.0,31
