Timestamp,Temperature (deg C),Relative Humidity (%),Wind Speed (km/h),Rain (mm),Snowfall (cm),Cloud Cover (%)
2022-01-01T00:00,4.1,89,8.8,0.0,0.0,0
2022-01-01T01:00,4.6,89,8.8,0.0,0.0,0
2022-01-01T02:00,4.1,87,8.7,0.0,0.0,0
2022-01-01T03:00,3.8,82,10.0,0.0,0.0,0
2022-01-01T04:00,4.0,77,10.5,0.0,0.0,0
2022-01-01T05:00,3.9,75,10.5,0.0,0.0,0
2022-01-01T06:00,4.1,68,13.1,0.0,0.0,6
2022-01-01T07:00,3.4,72,11.3,0.0,0.0,16
2022-01-01T08:00,2.8,73,12.3,0.0,0.0,25
2022-01-01T09:00,2.7,71,10.4,0.0,0.0,22
2022-01-01T10:00,0.5,79,11.5,0.0,0.0,5
2022-01-01T11:00,3.2,66,6.9,0.0,0.0,10
2022-01-01T12:00,4.4,63,6.6,0.0,0.0,13
2022-01-01T13:00,6.0,58,6.4,0.0,0.0,0
2022-01-01T14:00,7.3,54,6.3,0.0,0.0,0
2022-01-01T15:00,8.2,52,7.1,0.0,0.0,0
2022-01-01T16:00,8.9,50,6.2,0.0,0.0,10
2022-01-01T17:00,9.2,50,3.6,0.0,0.0,15
2022-01-01T18:00,9.1,51,1.4,0.0,0.0,11
2022-01-01T19:00,8.8,56,1.6,0.0,0.0,3
2022-01-01T20:00,8.3,53,1.8,0.0,0.0,0
2022-01-01T21:00,7.5,56,3.9,0.0,0.0,4
2022-01-01T22:00,4.3,76,8.0,0.0,0.0,0
2022-01-01T23:00,3.9,80,8.8,0.0,0.0,0
2022-01-02T00:00,2.7,85,9.7,0.0,0.0,0
2022-01-02T01:00,1.8,87,10.4,0.0,0.0,0
2022-01-02T02:00,1.2,88,10.6,0.0,0.0,0
2022-01-02T03:00,1.2,89,9.9,0.0,0.0,0
2022-01-02T04:00,1.8,88,7.9,0.0,0.0,0
2022-01-02T05:00,0.5,91,8.3,0.0,0.0,0
2022-01-02T06:00,0.0,93,9.2,0.0,0.0,0
2022-01-02T07:00,0.1,97,7.9,0.0,0.0,28
2022-01-02T08:00,-0.9,99,7.0,0.0,0.0,43
2022-01-02T09:00,-0.4,99,5.5,0.0,0.0,58
2022-01-02T10:00,-0.0,98,4.7,0.0,0.0,68
2022-01-02T11:00,0.9,97,6.3,0.0,0.0,90
2022-01-02T12:00,1.7,95,5.9,0.0,0.0,90
2022-01-02T13:00,3.3,91,6.3,0.0,0.0,90
2022-01-02T14:00,5.2,85,5.4,0.0,0.0,20
2022-01-02T15:00,7.0,80,4.8,0.0,0.0,11
2022-01-02T16:00,8.3,76,4.8,0.0,0.0,2
2022-01-02T17:00,9.3,71,4.4,0.0,0.0,0
2022-01-02T18:00,9.8,70,3.3,0.0,0.0,8
2022-01-02T19:00,9.1,86,2.4,0.0,0.0,30
2022-01-02T20:00,5.5,90,7.0,0.0,0.0,30
2022-01-02T21:00,5.3,90,5.4,0.0,0.0,31
2022-01-02T22:00,6.7,85,3.1,0.0,0.0,32
2022-01-02T23:00,6.3,87,4.2,0.0,0.0,33
2022-01-03T00:00,6.0,88,2.7,0.0,0.0,34
2022-01-03T01:00,5.7,90,4.4,0.0,0.0,34
2022-01-03T02:00,5.5,92,3.1,0.0,0.0,34
2022-01-03T03:00,5.2,94,2.7,0.0,0.0,34
2022-01-03T04:00,3.7,98,5.7,0.0,0.0,80
2022-01-03T05:00,4.5,98,6.1,0.0,0.0,17
2022-01-03T06:00,3.6,97,7.7,0.0,0.0,22
