Timestamp,Temperature (deg C),Relative Humidity (%),Wind Speed (km/h),Rain (mm),Snowfall (cm),Cloud Cover (%)
2022-01-01T00:00,3.4,92,21.4,0.0,0.0,100
2022-01-01T01:00,3.6,94,20.4,0.0,0.0,100
2022-01-01T02:00,4.0,95,17.1,0.1,0.0,100
2022-01-01T03:00,4.4,94,21.9,0.0,0.0,90
2022-01-01T04:00,4.3,95,19.5,0.1,0.0,90
2022-01-01T05:00,4.2,97,20.0,0.1,0.0,94
2022-01-01T06:00,4.3,97,24.7,0.1,0.0,94
2022-01-01T07:00,4.6,90,25.5,0.5,0.0,91
2022-01-01T08:00,4.8,88,29.0,0.1,0.0,50
2022-01-01T09:00,4.2,85,30.7,0.0,0.0,98
2022-01-01T10:00,4.3,89,35.5,0.0,0.0,100
2022-01-01T11:00,4.8,88,33.3,0.1,0.0,98
2022-01-01T12:00,5.0,86,40.8,0.1,0.0,100
2022-01-01T13:00,3.1,91,34.2,2.4,0.14,100
2022-01-01T14:00,4.8,80,36.9,1.1,0.14,34
2022-01-01T15:00,6.8,55,40.6,0.3,0.0,37
2022-01-01T16:00,6.6,50,36.3,0.0,0.0,22
2022-01-01T17:00,5.6,40,34.0,0.0,0.0,0
2022-01-01T18:00,4.2,36,32.7,0.0,0.0,0
2022-01-01T19:00,3.0,50,26.7,0.0,0.0,0
2022-01-01T20:00,1.1,53,21.6,0.0,0.0,0
2022-01-01T21:00,-0.3,57,15.3,0.0,0.0,0
2022-01-01T22:00,-1.3,63,7.9,0.0,0.0,0
2022-01-01T23:00,-2.6,70,9.1,0.0,0.0,0
2022-01-02T00:00,-3.2,69,10.5,0.0,0.0,1
2022-01-02T01:00,-3.5,68,11.5,0.0,0.0,1
2022-01-02T02:00,-3.6,67,10.9,0.0,0.0,30
2022-01-02T03:00,-2.5,65,8.6,0.0,0.0,30
2022-01-02T04:00,-2.4,62,10.0,0.0,0.0,20
2022-01-02T05:00,-3.0,64,10.3,0.0,0.0,1
2022-01-02T06:00,-3.8,69,12.6,0.0,0.0,0
2022-01-02T07:00,-3.5,77,17.7,0.0,0.0,0
2022-01-02T08:00,-3.1,67,18.5,0.0,0.0,0
2022-01-02T09:00,-2.8,55,16.2,0.0,0.0,0
2022-01-02T10:00,-2.1,53,16.5,0.0,0.0,0
2022-01-02T11:00,0.1,46,16.0,0.0,0.0,0
2022-01-02T12:00,1.9,39,16.1,0.0,0.0,0
2022-01-02T13:00,4.1,34,16.4,0.0,0.0,0
2022-01-02T14:00,5.9,31,16.3,0.0,0.0,0
2022-01-02T15:00,7.1,31,16.2,0.0,0.0,0
2022-01-02T16:00,8.0,32,15.3,0.0,0.0,0
2022-01-02T17:00,8.7,31,15.2,0.0,0.0,2
2022-01-02T18:00,8.7,31,14.4,0.0,0.0,22
2022-01-02T19:00,6.8,34,8.4,0.0,0.0,20
2022-01-02T20:00,3.7,45,9.3,0.0,0.0,28
2022-01-02T21:00,2.9,47,11.3,0.0,0.0,25
2022-01-02T22:00,2.1,49,10.2,0.0,0.0,9
2022-01-02T23:00,1.5,50,10.1,0.0,0.0,1
2022-01-03T00:00,1.1,50,10.8,0.0,0.0,28
2022-01-03T01:00,0.9,47,11.5,0.0,0.0,17
2022-01-03T02:00,0.6,46,11.9,0.0,0.0,0
2022-01-03T03:00,0.3,46,11.9,0.0,0.0,0
2022-01-03T04:00,-0.0,46,11.9,0.0,0.0,0
2022-01-03T05:00,-0.4,47,11.9,0.0,0.0,0
2022-01-03T06:00,-0.9,48,10.8,0.0,0.0,0
2022-01-03T07:00,-1.6,54,10.1,0.0,0.0,19
2022-01-03T08:00,-1.7,53,11.2,0.0,0.0,28
2022-01-03T09:00,-1.4,50,11.5,0.0,0.0,29
2022-01-03T10:00,-0.3,46,13.3,0.0,0.0,12
2022-01-03T11:00,2.9,40,14.2,0.0,0.0,20
2022-01-03T12:00,5.5,34,10.6,0.0,0.0,4
2022-01-03T13:00,7.4,33,9.6,0.0,0.0,27
2022-01-03T14:00,8.9,33,8.9,0.0,0.0,5
2022-01-03T15:00,10.4,32,9.7,0.0,0.0,11
2022-01-03T16:00,11.2,31,10.1,0.0,0.0,29
2022-01-03T17:00,11.5,31,8.8,0.0,0.0,30
2022-01-03T18:00,10.7,33,8.8,0.0,0.0,30
2022-01-03T19:00,8.5,39,8.8,0.0,0.0,1
2022-01-03T20:00,5.4,42,8.0,0.0,0.0,0
2022-01-03T21:00,6.0,37,9.8,0.0,0.0,0
2022-01-03T22:00,5.8,37,9.6,0.0,0.0,0
2022-01-03T23:00,3.9,44,7.8,0.0,0.0,0
2022-01-04T00:00,4.5,40,9.4,0.0,0.0,0
2022-01-04T01:00,3.6,43,11.2,0.0,0.0,0
2022-01-04T02:00,3.1,48,10.7,0.0,0.0,0
2022-01-04T03:00,5.3,43,7.7,0.0,0.0,0
2022-01-04T04:00,5.2,45,9.5,0.0,0.0,0
2022-01-04T05:00,3.3,53,10.3,0.0,0.0,0
2022-01-04T06:00,3.0,51,10.0,0.0,0.0,0
2022-01-04T07:00,6.0,39,8.2,0.0,0.0,0
2022-01-04T08:00,5.8,37,8.6,0.0,0.0,0
2022-01-04T09:00,3.4,41,9.8,0.0,0.0,0
2022-01-04T10:00,3.5,45,9.5,0.0,0.0,0
2022-01-04T11:00,8.4,34,6.9,0.0,0.0,0
2022-01-04T12:00,11.6,26,7.0,0.0,0.0,0
2022-01-04T13:00,13.3,21,8.3,0.0,0.0,0
2022-01-04T14:00,14.6,18,12.3,0.0,0.0,0
2022-01-04T15:00,15.2,17,13.4,0.0,0.0,0
2022-01-04T16:00,15.2,19,12.5,0.0,0.0,0
2022-01-04T17:00,14.8,23,9.9,0.0,0.0,0
2022-01-04T18:00,14.5,22,11.0,0.0,0.0,0
2022-01-04T19:00,12.0,21,11.2,0.0,0.0,0
2022-01-04T20:00,9.3,20,12.0,0.0,0.0,0
2022-01-04T21:00,9.0,16,12.3,0.0,0.0,0
2022-01-04T22:00,7.4,17,10.7,0.0,0.0,0
2022-01-04T23:00,6.1,20,13.2,0.0,0.0,0
2022-01-05T00:00,7.4,18,11.2,0.0,0.0,0
2022-01-05T01:00,7.4,18,9.7,0.0,0.0,0
2022-01-05T02:00,8.8,16,6.4,0.0,0.0,0
2022-01-05T03:00,8.4,18,5.7,0.0,0.0,0
2022-01-05T04:00,8.4,21,5.1,0.0,0.0,0
2022-01-05T05:00,8.1,23,4.6,0.0,0.0,0
2022-01-05T06:00,7.4,25,3.6,0.0,0.0,0
2022-01-05T07:00,6.6,26,4.0,0.0,0.0,0
2022-01-05T08:00,6.7,25,4.0,0.0,0.0,0
2022-01-05T09:00,6.8,23,4.8,0.0,0.0,0
2022-01-05T10:00,7.4,22,3.0,0.0,0.0,0
2022-01-05T11:00,8.7,27,2.5,0.0,0.0,0
2022-01-05T12:00,10.7,23,1.1,0.0,0.0,0
2022-01-05T13:00,12.1,24,2.3,0.0,0.0,0
2022-01-05T14:00,13.4,24,3.5,0.0,0.0,0
2022-01-05T15:00,14.3,23,6.4,0.0,0.0,0
2022-01-05T16:00,14.9,22,8.2,0.0,0.0,0
2022-01-05T17:00,15.0,21,10.0,0.0,0.0,0
2022-01-05T18:00,14.2,22,14.8,0.0,0.0,0
2022-01-05T19:00,12.6,28,11.6,0.0,0.0,0
2022-01-05T20:00,10.0,30,10.8,0.0,0.0,0
2022-01-05T21:00,8.7,32,9.8,0.0,0.0,0
2022-01-05T22:00,6.6,38,12.3,0.0,0.0,0
2022-01-05T23:00,5.8,40,12.9,0.0,0.0,0
2022-01-06T00:00,5.7,41,12.4,0.0,0.0,0
2022-01-06T01:00,5.5,42,12.2,0.0,0.0,0
2022-01-06T02:00,4.4,48,14.2,0.0,0.0,0
2022-01-06T03:00,5.8,44,10.8,0.0,0.0,0
2022-01-06T04:00,7.4,39,9.3,0.0,0.0,0
2022-01-06T05:00,5.9,44,10.1,0.0,0.0,0
2022-01-06T06:00,4.0,50,12.4,0.0,0.0,0
2022-01-06T07:00,6.0,41,10.4,0.0,0.0,0
2022-01-06T08:00,7.0,38,9.6,0.0,0.0,2
2022-01-06T09:00,6.4,40,9.5,0.0,0.0,8
2022-01-06T10:00,5.7,47,9.7,0.0,0.0,9
2022-01-06T11:00,10.4,37,6.9,0.0,0.0,6
