Timestamp,Temperature (deg C),Relative Humidity (%),Wind Speed (km/h),Rain (mm),Snowfall (cm),Cloud Cover (%)
2022-01-01T00:00,8.4,76,17.6,0.0,0.0,100
2022-01-01T01:00,3.6,56,20.6,0.0,0.0,100
2022-01-01T02:00,2.8,52,22.5,0.0,0.0,100
2022-01-01T03:00,0.6,59,21.5,0.0,0.0,100
2022-01-01T04:00,-1.1,65,22.5,0.0,0.0,100
2022-01-01T05:00,-1.8,64,24.0,0.0,0.0,100
2022-01-01T06:00,-2.7,65,22.2,0.0,0.0,100
2022-01-01T07:00,-6.2,75,23.5,0.0,0.07,100
2022-01-01T08:00,-7.4,76,25.6,0.0,0.42,100
2022-01-01T09:00,-8.2,73,29.1,0.0,0.07,100
2022-01-01T10:00,-8.2,67,30.8,0.0,0.0,100
2022-01-01T11:00,-8.4,62,29.4,0.0,0.0,100
2022-01-01T12:00,-8.0,55,27.3,0.0,0.0,13
2022-01-01T13:00,-6.6,49,31.4,0.0,0.0,6
2022-01-01T14:00,-6.2,45,34.1,0.0,0.0,52
2022-01-01T15:00,-6.6,44,33.6,0.0,0.0,18
2022-01-01T16:00,-7.5,45,33.1,0.0,0.0,47
2022-01-01T17:00,-8.4,47,32.1,0.0,0.0,86
2022-01-01T18:00,-9.0,48,32.5,0.0,0.0,100
2022-01-01T19:00,-12.6,59,29.8,0.0,0.0,100
2022-01-01T20:00,-11.8,57,28.8,0.0,0.0,100
2022-01-01T21:00,-11.1,59,29.5,0.0,0.14,100
2022-01-01T22:00,-10.9,61,28.8,0.0,0.07,100
2022-01-01T23:00,-10.5,60,29.1,0.0,0.07,100
2022-01-02T00:00,-9.9,59,31.2,0.0,0.0,100
2022-01-02T01:00,-10.2,60,29.4,0.0,0.0,91
2022-01-02T02:00,-10.3,62,26.1,0.0,0.0,79
2022-01-02T03:00,-10.1,63,22.9,0.0,0.0,14
2022-01-02T04:00,-10.1,63,23.5,0.0,0.0,15
2022-01-02T05:00,-10.0,62,19.9,0.0,0.0,19
2022-01-02T06:00,-10.0,62,18.5,0.0,0.0,0
2022-01-02T07:00,-11.1,68,13.8,0.0,0.0,0
2022-01-02T08:00,-11.4,71,13.1,0.0,0.0,0
2022-01-02T09:00,-11.1,71,13.5,0.0,0.0,0
2022-01-02T10:00,-9.2,61,13.4,0.0,0.0,0
2022-01-02T11:00,-6.4,50,14.3,0.0,0.0,0
2022-01-02T12:00,-3.7,41,15.4,0.0,0.0,0
2022-01-02T13:00,-1.2,35,15.5,0.0,0.0,0
2022-01-02T14:00,0.8,29,13.1,0.0,0.0,0
2022-01-02T15:00,2.3,25,10.1,0.0,0.0,0
2022-01-02T16:00,3.4,21,11.3,0.0,0.0,0
2022-01-02T17:00,3.9,20,11.3,0.0,0.0,0
2022-01-02T18:00,0.2,26,10.8,0.0,0.0,0
2022-01-02T19:00,-3.0,36,9.7,0.0,0.0,0
2022-01-02T20:00,-3.4,37,8.9,0.0,0.0,0
2022-01-02T21:00,-3.0,35,10.8,0.0,0.0,0
2022-01-02T22:00,-2.5,33,12.7,0.0,0.0,0
2022-01-02T23:00,-2.4,33,13.0,0.0,0.0,0
2022-01-03T00:00,-2.6,32,13.1,0.0,0.0,0
2022-01-03T01:00,-2.8,32,12.5,0.0,0.0,0
2022-01-03T02:00,-2.9,31,12.4,0.0,0.0,0
2022-01-03T03:00,-2.9,29,12.2,0.0,0.0,0
2022-01-03T04:00,-2.9,27,12.6,0.0,0.0,0
2022-01-03T05:00,-2.9,27,12.8,0.0,0.0,0
2022-01-03T06:00,-3.2,28,12.1,0.0,0.0,0
2022-01-03T07:00,-3.6,32,12.6,0.0,0.0,0
2022-01-03T08:00,-4.0,32,14.5,0.0,0.0,0
2022-01-03T09:00,-3.6,30,14.6,0.0,0.0,0
2022-01-03T10:00,-1.0,24,16.8,0.0,0.0,0
2022-01-03T11:00,2.4,19,12.4,0.0,0.0,0
2022-01-03T12:00,6.1,15,9.4,0.0,0.0,0
2022-01-03T13:00,9.7,12,10.3,0.0,0.0,0
2022-01-03T14:00,11.9,12,19.4,0.0,0.0,0
2022-01-03T15:00,12.2,12,21.0,0.0,0.0,0
2022-01-03T16:00,12.0,12,23.9,0.0,0.0,0
2022-01-03T17:00,10.6,13,22.3,0.0,0.0,0
2022-01-03T18:00,7.5,15,22.5,0.0,0.0,0
2022-01-03T19:00,5.1,22,21.6,0.0,0.0,0
2022-01-03T20:00,4.3,25,23.4,0.0,0.0,0
2022-01-03T21:00,3.7,33,24.5,0.0,0.0,0
2022-01-03T22:00,3.7,39,26.7,0.0,0.0,0
2022-01-03T23:00,3.6,42,26.6,0.0,0.0,0
2022-01-04T00:00,3.5,43,26.8,0.0,0.0,0
2022-01-04T01:00,3.6,44,26.8,0.0,0.0,0
2022-01-04T02:00,3.9,43,27.9,0.0,0.0,0
2022-01-04T03:00,3.6,43,29.4,0.0,0.0,0
2022-01-04T04:00,3.0,43,28.0,0.0,0.0,0
2022-01-04T05:00,2.8,42,27.9,0.0,0.0,7
2022-01-04T06:00,3.0,40,29.9,0.0,0.0,26
2022-01-04T07:00,3.9,36,29.8,0.0,0.0,30
2022-01-04T08:00,3.6,36,28.9,0.0,0.0,30
2022-01-04T09:00,3.0,36,25.1,0.0,0.0,29
2022-01-04T10:00,4.5,31,25.2,0.0,0.0,29
2022-01-04T11:00,7.7,22,23.1,0.0,0.0,27
2022-01-04T12:00,10.7,16,20.6,0.0,0.0,29
2022-01-04T13:00,13.4,13,20.5,0.0,0.0,30
2022-01-04T14:00,15.4,12,19.4,0.0,0.0,28
2022-01-04T15:00,16.1,15,19.3,0.0,0.0,24
2022-01-04T16:00,16.1,17,17.9,0.0,0.0,19
2022-01-04T17:00,14.4,23,10.9,0.0,0.0,25
2022-01-04T18:00,9.1,35,10.6,0.0,0.0,27
2022-01-04T19:00,9.9,38,9.1,0.0,0.0,27
2022-01-04T20:00,6.7,47,10.1,0.0,0.0,29
2022-01-04T21:00,5.7,48,10.2,0.0,0.0,24
2022-01-04T22:00,3.5,54,8.6,0.0,0.0,17
2022-01-04T23:00,4.1,47,13.4,0.0,0.0,30
2022-01-05T00:00,5.7,34,15.9,0.0,0.0,30
2022-01-05T01:00,4.2,39,11.2,0.0,0.0,30
2022-01-05T02:00,2.2,46,8.7,0.0,0.0,22
2022-01-05T03:00,1.8,49,12.6,0.0,0.0,23
2022-01-05T04:00,1.3,57,15.7,0.0,0.0,14
2022-01-05T05:00,-0.1,65,17.1,0.0,0.0,5
2022-01-05T06:00,-1.5,69,14.6,0.0,0.0,14
2022-01-05T07:00,-2.7,74,17.0,0.0,0.0,18
2022-01-05T08:00,-4.0,75,9.5,0.0,0.0,17
2022-01-05T09:00,-4.9,76,7.2,0.0,0.0,25
2022-01-05T10:00,-3.1,64,10.9,0.0,0.0,30
2022-01-05T11:00,-1.5,47,11.0,0.0,0.0,5
2022-01-05T12:00,-0.2,38,9.2,0.0,0.0,10
2022-01-05T13:00,1.1,32,8.3,0.0,0.0,27
2022-01-05T14:00,2.0,28,10.2,0.0,0.0,0
2022-01-05T15:00,2.7,26,12.6,0.0,0.0,0
2022-01-05T16:00,2.9,25,13.0,0.0,0.0,6
2022-01-05T17:00,2.6,27,12.7,0.0,0.0,15
2022-01-05T18:00,0.9,35,11.5,0.0,0.0,0
2022-01-05T19:00,0.0,46,16.6,0.0,0.0,29
2022-01-05T20:00,-1.1,51,19.9,0.0,0.0,29
2022-01-05T21:00,-1.8,53,20.4,0.0,0.0,25
2022-01-05T22:00,-3.1,48,22.2,0.0,0.0,39
2022-01-05T23:00,-4.0,43,23.6,0.0,0.0,26
2022-01-06T00:00,-5.6,42,25.0,0.0,0.0,25
2022-01-06T01:00,-6.7,43,22.5,0.0,0.0,29
2022-01-06T02:00,-7.1,42,23.9,0.0,0.0,32
2022-01-06T03:00,-7.7,45,24.0,0.0,0.0,38
2022-01-06T04:00,-8.2,53,25.3,0.0,0.0,23
2022-01-06T05:00,-9.0,57,24.3,0.0,0.0,26
2022-01-06T06:00,-9.4,58,22.7,0.0,0.0,20
2022-01-06T07:00,-11.3,65,26.3,0.0,0.0,95
2022-01-06T08:00,-11.5,60,26.0,0.0,0.0,58
2022-01-06T09:00,-11.7,59,24.9,0.0,0.0,53
2022-01-06T10:00,-11.0,54,24.2,0.0,0.0,41
2022-01-06T11:00,-10.1,48,23.8,0.0,0.0,33
2022-01-06T12:00,-8.9,43,20.7,0.0,0.0,31
2022-01-06T13:00,-7.6,39,21.3,0.0,0.0,28
2022-01-06T14:00,-6.6,35,18.1,0.0,0.0,29
2022-01-06T15:00,-5.8,33,17.7,0.0,0.0,29
2022-01-06T16:00,-5.4,32,15.9,0.0,0.0,29
2022-01-06T17:00,-5.6,33,11.7,0.0,0.0,30
2022-01-06T18:00,-6.3,35,8.9,0.0,0.0,30
2022-01-06T19:00,-8.4,44,6.2,0.0,0.0,29
2022-01-06T20:00,-8.8,45,6.1,0.0,0.0,29
2022-01-06T21:00,-9.1,45,7.9,0.0,0.0,29
2022-01-06T22:00,-9.6,47,9.3,0.0,0.0,21
2022-01-06T23:00,-10.2,48,9.1,0.0,0.0,2
2022-01-07T00:00,-10.5,50,11.1,0.0,0.0,0
2022-01-07T01:00,-10.5,50,10.9,0.0,0.0,8
2022-01-07T02:00,-10.7,50,12.7,0.0,0.0,19
2022-01-07T03:00,-10.8,51,14.3,0.0,0.0,18
2022-01-07T04:00,-10.9,52,12.6,0.0,0.0,10
2022-01-07T05:00,-10.8,53,11.1,0.0,0.0,28
2022-01-07T06:00,-10.9,54,12.5,0.0,0.0,22
2022-01-07T07:00,-12.2,62,15.3,0.0,0.0,20
2022-01-07T08:00,-12.2,62,12.3,0.0,0.0,28
2022-01-07T09:00,-11.8,60,11.0,0.0,0.0,30
2022-01-07T10:00,-10.1,54,13.5,0.0,0.0,30
2022-01-07T11:00,-7.8,46,20.0,0.0,0.0,29
2022-01-07T12:00,-5.0,41,22.2,0.0,0.0,4
2022-01-07T13:00,-2.5,37,23.6,0.0,0.0,2
2022-01-07T14:00,-0.8,34,23.7,0.0,0.0,0
2022-01-07T15:00,0.5,32,25.0,0.0,0.0,0
2022-01-07T16:00,1.3,31,26.3,0.0,0.0,0
2022-01-07T17:00,1.2,32,25.4,0.0,0.0,0
2022-01-07T18:00,0.2,36,21.9,0.0,0.0,0
2022-01-07T19:00,-2.0,45,19.8,0.0,0.0,0
2022-01-07T20:00,-2.2,47,20.2,0.0,0.0,0
2022-01-07T21:00,-2.2,46,20.0,0.0,0.0,0
2022-01-07T22:00,-1.9,46,21.3,0.0,0.0,0
2022-01-07T23:00,-1.1,45,20.3,0.0,0.0,0
2022-01-08T00:00,-0.4,46,20.6,0.0,0.0,0
2022-01-08T01:00,0.3,46,25.6,0.0,0.0,0
2022-01-08T02:00,1.3,48,29.7,0.0,0.0,0
2022-01-08T03:00,2.0,49,30.7,0.0,0.0,0
2022-01-08T04:00,2.3,51,31.0,0.0,0.0,0
2022-01-08T05:00,2.6,53,31.1,0.0,0.0,0
2022-01-08T06:00,3.2,53,31.4,0.0,0.0,0
2022-01-08T07:00,3.5,53,33.2,0.0,0.0,0
2022-01-08T08:00,3.7,52,33.6,0.0,0.0,0
2022-01-08T09:00,3.8,49,33.0,0.0,0.0,0
2022-01-08T10:00,5.3,43,32.2,0.0,0.0,0
2022-01-08T11:00,7.4,38,24.7,0.0,0.0,29
2022-01-08T12:00,10.0,33,27.4,0.0,0.0,12
2022-01-08T13:00,12.8,29,26.0,0.0,0.0,13
