Timestamp,Temperature (deg C),Relative Humidity (%),Wind Speed (km/h),Rain (mm),Snowfall (cm),Cloud Cover (%)
2022-01-01T00:00,-5.2,40,3.0,0.0,0.0,0
2022-01-01T01:00,-4.3,37,3.3,0.0,0.0,0
2022-01-01T02:00,-3.7,35,2.8,0.0,0.0,0
2022-01-01T03:00,-3.4,34,1.3,0.0,0.0,0
2022-01-01T04:00,-4.4,37,5.5,0.0,0.0,0
2022-01-01T05:00,-5.7,41,4.7,0.0,0.0,0
2022-01-01T06:00,-5.3,40,3.4,0.0,0.0,0
2022-01-01T07:00,-7.2,46,6.5,0.0,0.0,0
2022-01-01T08:00,-7.0,43,6.1,0.0,0.0,0
2022-01-01T09:00,-8.2,46,6.8,0.0,0.0,1
2022-01-01T10:00,-9.4,50,7.4,0.0,0.0,1
2022-01-01T11:00,-9.4,49,7.8,0.0,0.0,1
2022-01-01T12:00,-9.6,50,8.0,0.0,0.0,2
2022-01-01T13:00,-10.3,53,8.4,0.0,0.0,42
2022-01-01T14:00,-9.8,51,8.3,0.0,0.0,89
2022-01-01T15:00,-6.3,39,5.4,0.0,0.0,74
2022-01-01T16:00,-7.1,41,4.8,0.0,0.0,52
2022-01-01T17:00,-8.0,44,5.1,0.0,0.0,37
2022-01-01T18:00,-11.7,57,6.8,0.0,0.0,52
2022-01-01T19:00,-12.4,60,6.6,0.0,0.0,37
2022-01-01T20:00,-13.2,64,8.9,0.0,0.0,46
2022-01-01T21:00,-11.2,55,7.9,0.0,0.0,34
2022-01-01T22:00,-9.0,47,7.8,0.0,0.0,58
2022-01-01T23:00,-7.0,40,7.9,0.0,0.0,70
2022-01-02T00:00,-6.0,37,8.1,0.0,0.0,63
2022-01-02T01:00,-5.2,35,6.0,0.0,0.0,21
2022-01-02T02:00,-4.5,33,5.0,0.0,0.0,7
2022-01-02T03:00,-4.3,32,7.0,0.0,0.0,1
2022-01-02T04:00,-5.0,34,5.2,0.0,0.0,0
2022-01-02T05:00,-5.3,35,3.1,0.0,0.0,1
2022-01-02T06:00,-5.7,36,3.0,0.0,0.0,0
2022-01-02T07:00,-5.9,37,0.8,0.0,0.0,1
2022-01-02T08:00,-6.0,38,2.8,0.0,0.0,0
2022-01-02T09:00,-6.1,38,4.0,0.0,0.0,1
2022-01-02T10:00,-6.2,39,4.5,0.0,0.0,0
2022-01-02T11:00,-6.4,39,4.1,0.0,0.0,0
2022-01-02T12:00,-6.7,40,3.0,0.0,0.0,11
2022-01-02T13:00,-7.5,43,2.9,0.0,0.0,11
2022-01-02T14:00,-8.2,45,1.4,0.0,0.0,5
2022-01-02T15:00,-8.5,46,3.1,0.0,0.0,1
2022-01-02T16:00,-9.2,48,3.6,0.0,0.0,13
2022-01-02T17:00,-9.6,49,3.6,0.0,0.0,14
2022-01-02T18:00,-9.8,50,4.4,0.0,0.0,10
2022-01-02T19:00,-13.4,64,7.7,0.0,0.0,2
2022-01-02T20:00,-13.4,66,7.6,0.0,0.0,17
2022-01-02T21:00,-9.5,50,5.3,0.0,0.0,33
2022-01-02T22:00,-7.1,41,4.0,0.0,0.0,1
2022-01-02T23:00,-5.3,37,3.8,0.0,0.0,11
2022-01-03T00:00,-4.0,34,3.4,0.0,0.0,11
2022-01-03T01:00,-3.2,32,3.2,0.0,0.0,25
2022-01-03T02:00,-2.6,30,3.2,0.0,0.0,5
2022-01-03T03:00,-2.5,30,3.7,0.0,0.0,4
2022-01-03T04:00,-3.6,34,4.3,0.0,0.0,4
2022-01-03T05:00,-4.2,34,4.7,0.0,0.0,0
2022-01-03T06:00,-4.3,34,1.9,0.0,0.0,0
2022-01-03T07:00,-4.6,36,1.9,0.0,0.0,0
2022-01-03T08:00,-4.8,36,3.1,0.0,0.0,0
2022-01-03T09:00,-5.4,38,3.7,0.0,0.0,0
2022-01-03T10:00,-6.8,42,5.3,0.0,0.0,0
2022-01-03T11:00,-8.8,49,7.3,0.0,0.0,0
2022-01-03T12:00,-9.8,53,8.0,0.0,0.0,0
2022-01-03T13:00,-9.3,51,7.4,0.0,0.0,0
2022-01-03T14:00,-8.7,48,6.8,0.0,0.0,0
2022-01-03T15:00,-9.0,48,6.9,0.0,0.0,0
2022-01-03T16:00,-7.4,41,5.8,0.0,0.0,0
2022-01-03T17:00,-8.5,45,5.8,0.0,0.0,6
2022-01-03T18:00,-7.5,41,5.3,0.0,0.0,0
2022-01-03T19:00,-7.4,42,1.8,0.0,0.0,0
2022-01-03T20:00,-7.7,43,1.6,0.0,0.0,0
2022-01-03T21:00,-8.3,47,2.9,0.0,0.0,0
2022-01-03T22:00,-6.5,39,6.6,0.0,0.0,0
2022-01-03T23:00,-4.7,34,9.2,0.0,0.0,0
2022-01-04T00:00,-3.2,31,10.0,0.0,0.0,0
2022-01-04T01:00,-1.9,29,11.0,0.0,0.0,6
2022-01-04T02:00,-1.3,27,13.2,0.0,0.0,20
2022-01-04T03:00,-1.3,27,14.2,0.0,0.0,19
2022-01-04T04:00,-2.7,31,12.6,0.0,0.0,10
2022-01-04T05:00,-5.5,39,8.2,0.0,0.0,5
2022-01-04T06:00,-3.6,34,1.8,0.0,0.0,11
2022-01-04T07:00,-2.9,33,4.3,0.0,0.0,0
2022-01-04T08:00,-3.8,35,1.3,0.0,0.0,12
2022-01-04T09:00,-4.5,38,3.4,0.0,0.0,0
2022-01-04T10:00,-5.4,41,5.4,0.0,0.0,0
2022-01-04T11:00,-4.9,40,3.9,0.0,0.0,0
2022-01-04T12:00,-5.2,40,4.0,0.0,0.0,2
2022-01-04T13:00,-5.7,42,5.4,0.0,0.0,0
2022-01-04T14:00,-9.1,54,7.1,0.0,0.0,0
2022-01-04T15:00,-9.4,55,6.2,0.0,0.0,1
2022-01-04T16:00,-8.3,50,4.7,0.0,0.0,43
2022-01-04T17:00,-11.6,64,8.0,0.0,0.0,30
2022-01-04T18:00,-10.2,57,2.6,0.0,0.0,85
2022-01-04T19:00,-12.7,70,6.7,0.0,0.0,90
2022-01-04T20:00,-11.6,63,3.6,0.0,0.0,83
2022-01-04T21:00,-10.9,60,6.5,0.0,0.0,90
2022-01-04T22:00,-9.8,56,3.5,0.0,0.0,90
2022-01-04T23:00,-8.5,52,7.3,0.0,0.07,90
2022-01-05T00:00,-7.0,47,9.4,0.0,0.0,43
2022-01-05T01:00,-4.9,41,9.0,0.0,0.0,5
2022-01-05T02:00,-3.1,37,9.3,0.0,0.0,2
2022-01-05T03:00,-2.0,34,10.1,0.0,0.0,0
2022-01-05T04:00,-2.6,36,8.2,0.0,0.0,3
2022-01-05T05:00,-5.3,44,7.7,0.0,0.0,5
2022-01-05T06:00,-3.4,38,2.6,0.0,0.0,5
2022-01-05T07:00,-4.8,41,5.7,0.0,0.0,23
2022-01-05T08:00,-7.0,48,7.6,0.0,0.0,19
2022-01-05T09:00,-7.7,51,9.8,0.0,0.0,4
2022-01-05T10:00,-8.5,54,9.5,0.0,0.0,4
2022-01-05T11:00,-9.3,58,9.3,0.0,0.0,0
2022-01-05T12:00,-10.2,61,8.8,0.0,0.0,0
2022-01-05T13:00,-10.9,66,8.3,0.0,0.0,0
2022-01-05T14:00,-10.8,67,6.9,0.0,0.0,0
2022-01-05T15:00,-10.8,65,6.3,0.0,0.0,0
2022-01-05T16:00,-9.6,58,4.2,0.0,0.0,0
2022-01-05T17:00,-9.6,57,2.3,0.0,0.0,0
2022-01-05T18:00,-9.6,56,2.6,0.0,0.0,0
2022-01-05T19:00,-10.6,58,1.8,0.0,0.0,0
2022-01-05T20:00,-11.0,60,4.3,0.0,0.0,0
2022-01-05T21:00,-9.8,55,3.3,0.0,0.0,0
2022-01-05T22:00,-8.0,48,3.9,0.0,0.0,0
2022-01-05T23:00,-6.0,42,4.9,0.0,0.0,0
2022-01-06T00:00,-3.8,39,5.9,0.0,0.0,4
2022-01-06T01:00,-1.8,41,9.0,0.0,0.0,23
2022-01-06T02:00,-0.8,42,8.4,0.0,0.0,11
2022-01-06T03:00,-0.6,41,8.1,0.0,0.0,1
2022-01-06T04:00,-1.9,40,8.9,0.0,0.0,0
2022-01-06T05:00,-4.7,46,8.1,0.0,0.0,0
2022-01-06T06:00,-2.9,40,1.1,0.0,0.0,1
2022-01-06T07:00,-2.8,39,3.8,0.0,0.0,2
2022-01-06T08:00,-3.3,41,3.6,0.0,0.0,0
2022-01-06T09:00,-3.7,47,3.0,0.0,0.0,0
2022-01-06T10:00,-3.6,53,4.0,0.0,0.0,0
2022-01-06T11:00,-3.3,56,3.3,0.0,0.0,10
2022-01-06T12:00,-3.3,60,5.2,0.0,0.0,26
2022-01-06T13:00,-3.8,65,4.9,0.0,0.0,0
2022-01-06T14:00,-4.4,70,4.5,0.0,0.0,0
2022-01-06T15:00,-4.9,73,3.6,0.0,0.0,0
2022-01-06T16:00,-5.7,76,4.7,0.0,0.0,0
2022-01-06T17:00,-6.2,76,5.0,0.0,0.0,0
2022-01-06T18:00,-6.6,75,3.4,0.0,0.0,0
2022-01-06T19:00,-7.3,78,1.6,0.0,0.0,0
2022-01-06T20:00,-7.6,79,3.1,0.0,0.0,0
2022-01-06T21:00,-7.2,79,1.8,0.0,0.0,0
2022-01-06T22:00,-5.7,71,3.4,0.0,0.0,0
2022-01-06T23:00,-3.9,65,4.6,0.0,0.0,1
2022-01-07T00:00,-2.2,60,3.3,0.0,0.0,4
2022-01-07T01:00,-0.9,57,4.9,0.0,0.0,24
2022-01-07T02:00,-0.4,56,6.6,0.0,0.0,32
2022-01-07T03:00,-0.5,56,7.4,0.0,0.0,1
2022-01-07T04:00,-1.7,59,7.6,0.0,0.0,29
2022-01-07T05:00,-4.5,69,8.2,0.0,0.0,29
2022-01-07T06:00,-4.2,66,4.4,0.0,0.0,30
2022-01-07T07:00,-4.1,68,1.3,0.0,0.0,33
2022-01-07T08:00,-4.3,71,1.8,0.0,0.0,32
2022-01-07T09:00,-5.1,72,3.1,0.0,0.0,25
2022-01-07T10:00,-6.1,74,3.1,0.0,0.0,20
2022-01-07T11:00,-6.6,75,4.1,0.0,0.0,31
2022-01-07T12:00,-8.7,81,6.4,0.0,0.0,35
2022-01-07T13:00,-9.3,84,7.4,0.0,0.0,52
2022-01-07T14:00,-8.8,84,6.6,0.0,0.0,86
2022-01-07T15:00,-8.0,83,6.0,0.0,0.0,90
2022-01-07T16:00,-7.3,81,5.6,0.0,0.0,90
2022-01-07T17:00,-5.6,74,3.8,0.0,0.0,90
2022-01-07T18:00,-5.5,72,1.8,0.0,0.0,90
2022-01-07T19:00,-6.0,77,0.8,0.0,0.0,90
2022-01-07T20:00,-6.1,77,2.1,0.0,0.0,90
2022-01-07T21:00,-5.8,76,2.8,0.0,0.0,73
2022-01-07T22:00,-4.3,68,1.3,0.0,0.0,85
2022-01-07T23:00,-2.9,57,2.3,0.0,0.0,90
2022-01-08T00:00,-1.9,50,3.2,0.0,0.0,90
2022-01-08T01:00,-1.0,45,3.4,0.0,0.0,85
2022-01-08T02:00,-0.3,42,3.4,0.0,0.0,29
2022-01-08T03:00,0.1,40,3.7,0.0,0.0,3
2022-01-08T04:00,-0.2,40,1.6,0.0,0.0,1
2022-01-08T05:00,-0.6,41,1.8,0.0,0.0,2
2022-01-08T06:00,-1.0,43,2.5,0.0,0.0,1
2022-01-08T07:00,-1.3,44,3.1,0.0,0.0,27
2022-01-08T08:00,-2.3,48,5.1,0.0,0.0,67
2022-01-08T09:00,-3.8,53,5.2,0.0,0.0,24
2022-01-08T10:00,-4.0,53,5.2,0.0,0.0,33
2022-01-08T11:00,-4.9,55,5.6,0.0,0.0,30
2022-01-08T12:00,-5.6,56,6.0,0.0,0.0,30
2022-01-08T13:00,-5.5,55,5.6,0.0,0.0,31
2022-01-08T14:00,-4.8,51,3.9,0.0,0.0,37
2022-01-08T15:00,-4.9,51,4.2,0.0,0.0,30
2022-01-08T16:00,-5.1,51,2.3,0.0,0.0,33
2022-01-08T17:00,-5.3,52,0.4,0.0,0.0,54
2022-01-08T18:00,-5.6,53,2.1,0.0,0.0,74
2022-01-08T19:00,-8.6,70,6.2,0.0,0.0,86
2022-01-08T20:00,-7.9,67,3.9,0.0,0.0,89
2022-01-08T21:00,-7.7,67,3.6,0.0,0.0,63
2022-01-08T22:00,-6.0,62,2.6,0.0,0.0,90
2022-01-08T23:00,-4.0,54,6.2,0.0,0.0,85
2022-01-09T00:00,-2.6,49,9.2,0.0,0.0,90
2022-01-09T01:00,-1.4,44,11.5,0.0,0.0,90
2022-01-09T02:00,-0.5,42,12.0,0.0,0.0,90
2022-01-09T03:00,-0.0,40,13.4,0.0,0.0,90
2022-01-09T04:00,-0.6,37,15.4,0.0,0.0,90
2022-01-09T05:00,-2.3,37,16.6,0.0,0.0,90
2022-01-09T06:00,-3.1,39,13.6,0.0,0.0,90
2022-01-09T07:00,-3.4,43,11.9,0.0,0.0,90
2022-01-09T08:00,-3.8,49,11.8,0.0,0.0,72
2022-01-09T09:00,-4.3,55,10.4,0.0,0.0,79
2022-01-09T10:00,-4.8,62,8.2,0.0,0.0,81
2022-01-09T11:00,-5.4,65,6.0,0.0,0.07,90
2022-01-09T12:00,-5.9,69,3.3,0.0,0.07,100
2022-01-09T13:00,-5.7,69,1.8,0.0,0.07,100
2022-01-09T14:00,-6.2,72,2.7,0.0,0.07,89
2022-01-09T15:00,-7.8,78,7.0,0.0,0.0,23
2022-01-09T16:00,-9.3,78,7.5,0.0,0.0,21
2022-01-09T17:00,-10.0,76,7.1,0.0,0.0,17
2022-01-09T18:00,-10.7,75,4.8,0.0,0.0,6
2022-01-09T19:00,-10.3,71,3.7,0.0,0.0,0
2022-01-09T20:00,-10.6,74,3.4,0.0,0.0,0
2022-01-09T21:00,-8.5,63,4.3,0.0,0.0,0
2022-01-09T22:00,-6.5,57,2.5,0.0,0.0,0
2022-01-09T23:00,-4.3,51,7.5,0.0,0.0,0
2022-01-10T00:00,-2.7,44,15.1,0.0,0.0,0
2022-01-10T01:00,-2.1,43,18.0,0.0,0.0,0
2022-01-10T02:00,-1.6,42,17.6,0.0,0.0,0
2022-01-10T03:00,-1.3,42,16.7,0.0,0.0,0
2022-01-10T04:00,-2.0,45,13.4,0.0,0.0,0
2022-01-10T05:00,-4.6,55,9.0,0.0,0.0,0
